这时长，我愿称你为最强
前方高能
前方高能
燃起来了
泪目
二柱子还有当年啊
这个bgm要命了啊
超恐怖时长
这时长  绝了
打不过 就开挂
是你打不过九尾
白：开了开了，裁判你看到了没，他开了
nbnb
不愧是你
太牛啦
不看弹幕，不知道这时长。一看吓一跳。
你币有了
全是回忆啊
你敢剪我不敢看啊呜呜呜
哭了
下雪了，白是你在哭吗
木叶飞舞之处火亦生生不息
我要看博人传降降温
电影？？？？？
比博燃
这次一定
卡卡西
白是男是女？
就是缩短全集火影啊
燃气来
青春回来了
视频时间太长了
男的
爷青回
会这样说假的吧
如果这都不是爱
看博人传的你够了
男的
宇智波·华伦天奴·佐助
爷青结
万恶的资本家－1
所以这时候的卡卡西怎么这么菜
我始终坚持白是女的。
lm了
哭了哭了这bgm
爷青回
燃起来了
好怀念这时候
这一幕哭了
三联为敬
亲爱的，活下去。
这进度条吓死。
好流畅
大电影啊
这才是爱情
我尼玛，燃起来了。。
男的
你以为五五开的称号白来的？
赞赞赞
这时长是不是要带我看完疾风传
柱子开启二勾玉
搞得我以为，弹幕屏蔽了
爱了爱了
超爱
你做到了
看到这个致死量已经三连了
当时看到这个正式开始入坑
不相信白不是女的
哀与悲
太卷了
牛
若不是热爱，谁有能坚持
卧槽
2币给这时长！辛苦了！
火影这里第一次流泪的地方
dna动了
感情  七百二十集  全剪进去了
绝了
好熟悉的BGM
握草，燃起来了
音乐一响，我就是三连了
鬼人  再不斩
记住吧，这可以全程用手结印的战斗
男男才是真爱么
完了。转起来了。
出现了，木叶下忍
两个小时，真是辛苦了
这场战斗是看下去的动力
加油加油加油加油加油
先收藏，明天再看
这还是小学时候看的了，时间过的真快
这特么离谱
致死量
进度条感人
博人出来看跌
nb
不是青鸟 我必赞
好家伙 你搁这儿放电影呢！
就是背景音乐有点吵
下面魔鬼
呜呜呜呜呜呜呜我哭了
没人说还一直看牛B2小时
一分多钟了，进度条还没动
画质好评
bgm爷青回
当时我初中，现在我30
旗木五五开，和谁打都五五开
开挂
我仍然希望白是女生…
看了进度条我有点慌
收藏吃灰系列
2046m流量，你值得拥有
吖叻q米
可怜的白，直接面对这么强的对手，
心疼白
恐怖时长
白是男的
“鬼人”再不斩
好家两个小时
wind
这时长，惊了
Bgm可以
看简介
辛苦了
最漂亮的白
回忆啊
第一眼以为是4分钟！
认真一拳
妈妈我遇上了外挂
青春啊
我去，把主线减出来了？
卡卡西这时候真帅
我斑愿称你为b站最长
忍道不同，但心有余温
那会儿还能看见血色
给你一张过去的cd
爷青回
冲这时长也必须三连了
真不戳
来了
yyds
两个小时太长了，但我还是投个币
白是男的
白是女的
佩恩：不好意思我也打不过……
看到时长，我就知道，今天这币，保不住了！
 让我想起魔兽火影图
冗长了
泪了呜呜呜
旗木五五开 可不是浪得虚名
表白白
这令人窒息的时长
打不过就开挂是吧
没有条过半，放心食用
如果这都不算爱
500多人，有人在吗
顶
再不斩能吹一辈子了，脚踢六代火影，拳打因陀罗阿修罗转世，在虐个百豪女。
看过留下
火影yyds
给老子火起来
币投起来
1/526报到
就算天王老子来了，白还是个女的。
你的忍到是开一家一乐拉面
有生之年能不能看到卡卡西的脸
这一下可让鸣人追了好多年
这个踢头的是谁啊
钓鱼
说实话这第一话的ed是最吸引我的
看到时长我瞬间怂了
第一战确实很棒
有被感动到
前期的火影真的是精彩
牛逼
我不管，就是女的！！！
再不斩这里好帅，太好哭了T﹏T
bgm来了
白雪纷纷落桃地，此间红尘再不斩
真两个小时看全集。
前面的这里才一勾玉
有一天你喜欢上了你讨厌的人
初中时候看的  现在都特么毕业多少年了
BGM燃起
说白是女的不如回去重看
看这时长就值两币
要走上开挂的道路
他是谁不重要，重要的是他死了
我半夜两点点开这个怕是不想睡了，三连了以后看
白设定成男的就离谱
前面放屁的那个你成功让我出戏了
前面放屁的那个你成功让我出戏了
跳过动画原创剧情，必须三连呐
这才是热血漫画该有的样子
upnb
三连了，毕竟是我的青春啊
在？进度条为什么不动
时长就很爽
十五年了
赶紧连上wifi插上电
结果白居然是男的！！
危！
结印多好的设定 后面都不咋使用
爷青回
燃起来了 燃起来 天哪 他真的燃起来了!!!!
官方说是男的 但是在我心中就是女角色
出现了12小强
童年女神红豆姐
悲与伤
就白的这张脸你告诉我是男的？
火影选拔考核
比博燃（？）
好家伙  进度条吓死人
事实证明到了2021年火影依旧很火
投币
白关键是男的
把他脚剁了
白是男的？我诶
沃日
时间太长
窝泥抹
1080高清还双语字幕太难得了
卧槽
赤犬直呼内行
124？？？
首页通知书qwq
哭了
小学看的
就这种上头的剂量，直接三连
好家伙
你敢剪我就敢看
泪目
作为没看过多少集火影的表示很懵逼
确实是“慢”剪
确实是“慢”剪
确实用心了
真用心，两个小时
bgm泪目
NB
白穿过裙子，女的
c，放这歌就绷不住了
白是男生
耽起来了
这就是真-火星剧场版
燃起来了
up辛苦了
柱子争气了
这个时常只得一个三连
再见
这就离谱，卡卡西专业掏心。再不斩比白高那么多。
燃
看完有点难，但是选择三连。
等下，时长是2小时？
白，是你在哭泣吗
以前鸣人九尾化的时候可激动了！！
你币有了
青春啊
火钳刘明
先点赞投币哈哈哈哈
歌一起就泪目了
泪目了
林更
没事大家都打不过
两个小时我出息了
白是个男的！男的！！！
木叶下忍yyds
我泪目了
鸡皮疙瘩起来了
只要你不吹博人，我们就是好朋友
这时长就离谱
踢头的我记得好像是个路人…商人…雇主？
有什么好说的， 直接投币了
才发现时长两小时
好感动
bgm
下雪了，白，是你在哭吗？
玩不起  动不动就带挂
吆西
白，咱不玩了，和挂比玩没意思
大学看的 现在都毕业十五年了
好柔弱
好家伙，剪出来了个大电影
我在B站看电影
这不三连我觉得我有点过分
火影前段是真的精彩啊
这不比博燃
确实 火影的剪辑还是配火影的bgm最好
第一次九尾化
燃起来了
白
真用心啊
把鸣人和佐助逼成这样 白的实力约等于一个大筒木吧
川木教你们做人
火影我觉得最最精彩的一段
然后就开始大爹吧喲
L
她男女已经不重要了
给你赞一个
队友祭天，法力无边。
手断了用不了忍术，死的太可惜了
燃起来了！！！
画女硬说男
又找到了当初追火影的感觉！
未解之谜白的性别
这首ed是我觉得最不好听的那首。。。。
给我看破防了，淦
1743正在看
这时长。。。绝对是用心了
帅
剧情全回顾
这是博人他爹
中忍考试太经典
我的天啊！
三连了三连了
开挂了开挂了
