那么健康那么年轻，就这样变成了一盒骨灰，好难过
1
1
1
1
1
1
2
2
致敬
留下的才是最痛苦的
愿你们每次出任务都能平安归来
致敬
泪目
谢谢你们
致敬
中国蓝盔无敌
强忍泪水的样子太帅了
天呐！！！！
致敬
致敬英雄们！
致敬
都已经满脸是血了，还要先救队长！
蓝盔
抱着骨灰盒的士兵，要憋不住泪了
泪目
点错了，应该三连的
英雄们
两山轮战蓝剑—B行动
致敬
你不去，我不去，谁来保家卫国？
致敬
戏子！！戏子！！戏子！！208万一天的戏子！！这辈子最恨的就是戏子！
致敬
心痛
致敬
致敬
向人民子弟兵致敬！
英雄不朽！
这双眼睛
泪目
致敬！
致敬～
不收藏，看了难受
我其实挺疑惑为啥消防退出兵种
很幸运，我的青春有橄榄绿。敬礼
致敬
他们为了我们 我们也要为了他们
感恩中国英雄！
致敬！！！
明朗晴天，看不到已故战士的笑容，但在夜晚星空，你能看见他们在天空中默默守护着你!
唉火太快了直接引爆了
致敬
我不是不想哭，我泪流干了。我不是不想哭，我心在哭泣。
天津那次实在太惨了
他们真的很帅
致敬               致敬                    致敬
致敬中国英雄
致敬
致敬
致敬
哭死了
先救队长，这眼神
致敬
致敬
兰剑b
致敬
哭了
时刻记着我们的和平生活都是英雄们换来的
维和部队也有、
致敬
致敬
我真的好怕会离别的工作，所以我从未考虑过想做这些工作，但他们想的估计是为了守护人民和拯救人民吧…
致敬
致敬
致敬
致敬
致敬
致敬
致敬
看不得看不得
致敬
好男儿当自强，民族的男儿有血气，民族才有未来！
致敬
血肉长城
致敬
英雄！
英雄们的心理健康大家也要多关心呀，很多战士在灾难结束后都ptsd了
3
致敬
这才是我们真正的偶像啊
感恩
鞠躬
最可爱的人
卧槽！惊的我一身汗
致敬！
致敬
致敬
敬礼
致敬
致敬
奋不顾身的坎坷
致敬
眼睛里面掉了砖头
感恩 致敬
感谢有你们为我们遮风挡雨 致敬 
致敬
致敬
致敬
致敬
致敬！！
致敬
点赞三连转发
这些才是真的帅
致敬
致敬
致敬！
呜呜呜哭了
致敬
致敬英雄
真是控制不住哭了
我看不得这个，哭了
我的教官――
被这个坚定眼神震撼到
谢谢你们，
我受不了，我看不得他们流泪
谢谢
致敬
致敬
 都给我哭 
泪目
致敬
一生平安
伟大
泪目啊
致敬
致敬
致敬
致敬
军航
致敬
致敬
致敬
致敬
最可爱的人
致敬
捧着战友的这位绷不住了
致敬哭了
2
致敬
致敬
致敬英雄
致敬
致敬
偶像
泪目
致敬
哪有什么岁月静好，只是有人在替我们负重前行
致敬
感谢！致敬
致敬
致敬
致敬
感恩
敬礼
想起天津港事件，一个支队啊
致敬
致敬！
致敬英雄，平安英雄
致敬
致敬
致敬！ 最可爱的人
加什么投票，坏气氛，你三连没了
我们欠他们的
致敬
致敬！
致敬
致敬
致敬
致敬！！！！
致敬所有英雄
666
致敬
致敬
看不下去了，眼泪已经模糊视线了不忍心在看了
敬礼！
致敬
致敬
致敬
谢谢谢谢谢谢你们，真的谢谢谢谢谢谢
致敬
致敬
