哇，第一个三连的视频
有故事了
哎呦不错哦
刀
哈哈哈哈哈哈哈讨厌
啊……消失了
好悲伤……
很台
厉害！
底鼓
用心了
我哭了
卧槽这个对音乐的理解真的是神
投币投币！
ohhhhhhhhhh
好棒啊
哈罗单车
太好听了吧
Ji予
太有才了啊啊啊好听
这就是人生吗
ji予
ohhhhhhhhhhhhhhhhhhhhhhh
太牛了
和声
有点泪目
三连了
翻云覆雨
好棒！！！
亿个伴
太棒了！
太厉害了
影子
Nb
三连了，我们首页见
求乐器
超喜欢的语调诶！
太可爱了！
好调皮的up呀
不三连就很机车喔
哎呦，不错哦
支持这种高创
好厉害
非常棒！
哇
太棒了吧
哇塞
好厉害哦
呃啊我永远喜欢音乐！！
哇
音色
很厉害！
带制作啊！
泪目
首页通知书
真的很支持这种原创，将音乐拟人化
太棒了
颖子
莫名喜感
哈哈哈
加混响
貌似是我看了这么久b站给的第一个赞！
好喜欢这个文案啊！
心跳
泪目了
很可爱啊
厉害
蛮喜欢的
火钳刘明
哇
好可爱哈哈哈哈哈哈哈哈哈
很厉害
好棒
好治愈诶
我竟然傻笑了起来，可能这就是音乐的力量叭
6666666
万籁俱寂
泪目
做的很好!
幻想曲2000
太有感觉了
币比赞多
厉害
太牛了！
除非你是我，才可与我常在。
爽
哇哦
牛批
好久没投币了，给你俩哈哈哈
很厉害
点赞一直在变哈哈哈哈
666
一视频一定火
火前留名
大发
不要打了不要打了，你们不要打了
火钳刘明
三连了，很有感觉的一个视频
火钳刘明
有有有 返回来看第二遍
首页通知书
真的厉害诶
听音考试正式开始
喜欢
火钳刘明
好厉害
牛啊
妙啊
是亲人
很强
这个科普好形象啊，太棒啦
鸡皮疙瘩起来了
小提琴没有听出来吗.......
头皮都麻了好牛啊
太棒了！！！
太酷了
报批龙可还行
音符可以看做一个正弦波
治愈
我的妈好棒
宝批龙
宝批龙
呵呵哈哈哈哈哈
牛逼
哈啰单车
哈啰单车
我也是做编曲的，这个影片好有感觉
泪目
这是哈罗单车
这是哈罗单车
心电图
天呐头皮发麻了
可以做音游了
Kid哈哈哈哈
首页通知书
有点东西
硬 币 比 赞 多
太强了
有意思
好厉害啊啊啊啊啊啊啊啊
牛逼
很厉害！！
我哭了
友情和音乐，好有创意
太棒了
哈哈哈哈哈哈哈哈哈哈
太强了
泪目
再来一遍
看到十几秒的时候就已经三连了，真的太爱了
nbnbnb
你超棒的！！！！！！！！！！
火钳刘明
拉回来夸！太棒了你
你币有了
超棒的！！
牛皮
这一段好有大逆转的感觉！！！
厉害厉害
逐渐泪目
好厉害！
up太厉害了！
太棒了!
火钳刘明
出生 长大 而又慢慢老去
生动形象介绍了
哈喽单车？
永远没被换掉的是主旋律...
zbc 
NB
很有意思啊 三连三连
妈妈我看两个矩形打架看哭了
再来亿次
太可爱了吧
？？？？？
好厉害啊
太棒了
太好听了吧
很厉害欸！
哈哈哈哈哈
好听！
好可爱啊！！！
我男朋友就是这样一冷战就发b站
不是巴赫
给我看哭了
小哥哥声音我好爱！
555
太秀啦！！！
怎么了森美了
怎么了怎么了我们edm又做错什么了
鸡皮疙瘩一地！震撼
好可爱！
好厉害
好厉害！
很喜欢！
神仙up
第一次看到有人把编曲写的这么通俗易懂
所以爱会消失对吗
卧槽
和编程好像
哈哈
爸爸
很棒啊！
宝批龙
太棒了吧
好好听
好厉害
？？？？？？？？
答应我看到最后
这就是卡农
好悲伤
因为用的是简单三和弦式旋律，所以编曲比较上手
青年大学习
支持
绿字别走！
只有自己
爱会消失，对吗
火钳刘明
常态
泪目
再来一遍
卧槽！！
我可以（对不起我是ji）
太可爱了啊！！！！！
就好有意思哦
孤独
厉害
是家人
牛
这个音乐叫啥名字呀？
想哭
屏幕里的帅哥是我
超厉害的
好棒的！
草牛逼
好厉害好厉害
天啊太棒了
值得回味的作品
ntr
wow
真的做得太棒了！！超级喜欢！
好棒！！
天啊
好有意义
很喜欢！
牛
泪目呜呜呜
6666
太棒了
牛逼牛逼牛逼牛逼牛逼
火钳刘明
+鲁特琴？？
哈哈哈
雨晴你在看吗
火钳刘明
火钳刘明
+马林巴？+中提琴？
哈哈哈哈
+钢琴
啊 有意思
突然哭了
还是羽管键琴？？
心跳
很酷耶！
哇
不行，那里不可以
首页通知书
音色
牛逼
好好听啊
？？。
太牛了！
是要怎样啦
所以愛會消失對嗎
已哭
好棒啊
爸爸妈妈
宝批龙
洗衣机？
这是卡农的方法来
超级棒。
这个drum绝了，想要
后 现 代 可 视 化 编 译 器
音乐阿
嗷呜！
太厉害啦
好棒
爱了！
哭了呜呜呜
投币
哇塞
劫和他的影子
泪目
所以爱会消失对吗
好棒
牛逼！！！
心电图的声音！我崩不住了
说话很清楚啊
好厉害
喜欢这种风格！希望多出
是小提琴！！
太棒了！
？？？
泪目
宝批龙的我真的笑死了
这个调好听！
做什么呢
哇
非常棒
ohhhhhhhhhhhhhhhhh
声音有点味道
我币没了
火钳刘明
哇哦
雷鬼
有库乐队内味了
合体
你币有了
这是自己写的吗好棒
创意很棒
我喜欢！！！
好开心哦
同款眼镜
好帅！！！
有感觉了
赞！
看完点赞加了两千
哈哈哈哈哈对
音频可视化
太好了吧
回忆杀
太棒了！
泪目
你好棒！
非常喜欢！！！！！
nbnb
网抑批力
包罗万象
手机
主旋律
呜呜呜呜呜呜呜太棒了
太厉害啦！！
nbnbnbnb
好可爱哈哈哈
再来一遍呜呜呜
这神仙不火?
沙雕
我是fw呜呜呜呜呜呜
妙啊
泪目泪目
好厉害啊！
收藏夹吃灰去吧
up说话很清楚
太棒了！
有点意思啊
808
文案好强啊
太喜欢了！
一站封神
这个好棒
爱了爱了
老子直接三连
 太厉害了
概念太好了吧
厉害
好可爱喔！！！
哈啰单车
看不见你们的弹幕
泪目
鼓=欢快 钢琴=温馨
太强了
强啊
自然辩证法
这里好厉害
太棒了
周杰伦
太爱了
ohhhhhh
我可太爱大提琴了
牛的
我悟了
太厉害了
答应我看完
哇
世界要是没有音乐，就没有灵魂
已经三连
棒诶
哇哦
牛逼
牛逼
哇哦
牛逼
有趣
牛逼
好强
再来一遍
有点意思了
看亿次都不够
新闻联播的感觉
喜欢
哈哈哈哈哈哈
神仙啊
乔碧萝
太棒了！
太厉害了！
绝了
啊啊啊啊啊啊啊啊
前方高能
太赞了
喜欢！
超厉害的
想跳舞了都，哈哈哈哈
但是歌曲可以单曲循环啊
不要啊！！！！
好治愈啊
有些很机车诶
我喜欢这段。
好帅！！！！
金色传说
所以爱会消失对不对
好呀
好棒啊！
我的天，突然难过
很形象！！！
6666666
这个声音有一丶丶像青峰
哇啊啊
学习了
好可爱
泪目
好赞哇
宝批龙
内涵电子乐 
哇
哈哈哈哈哈哈哈我喜欢这个
好棒！
TENET
泪目
二胡（不是）
空气
泪目
！！！！
泪目
好棒啊
太厉害了
我的选择？
鼓爱了
东方红，太阳升
喜欢喜欢喜欢喜欢
律动
我，帅哥
好厉害
很有创意
牛
您好棒!
再来一次
所以爱会消失对吗
是爱情吗
好听耶
我的影子
秒啊
太牛了太牛了
你把它拉长
你把它缩短
你把它缩小
很喜欢
永远爱音乐
你的选择 决定了这个声音的故事
右手
通过时间改变了它的长短 高低和大小
emm……没有感觉吗？
那如果能改变它的颜色呢？
超棒
音色
还是你感觉这个声音有点孤单
好开心哦 找到一个旅伴 一个可以自然沟通的人
还是可以做自己就好了
不，爱会转移
但是感觉就很合得来
不同颜色 长短 高低和大小
有些朋友在一起的时候，会感觉很勇敢
有些真的很讨人厌
有些感觉像（想）跳舞
好神奇
在需要的时候 给予关怀
袜
你知道那个时时刻刻在一起的是谁 对吧
有才
手机
能不能好好说话啊啊啊啊啊aaa
以前不是这样的啊
影子
可可爱爱
emm…没关系 就一点点妥协 没事
好棒啊！
这是什么感觉？
？？
魔法？？
这是谁？
颜色改变了 不是当初的声音啊
为什么你还是认得？
大不大
厉害
牛逼
音乐的力量！
哈喽大家好～我是一月制作人
太厉害了卧槽
所以声音就是语言对不对
超级棒耶
时长
如果你想要赞助我做未来的影片 谢谢你（*/∇＼*）（施工完毕）
音色
好牛逼！！
牛逼！！！！
那只是你的记忆而已
很棒！
宝批龙
这次一定
厉害
宝批龙笑死我了
可可爱爱
很生动，劳斯太强了！
1bit
66
卧槽我悟了
哦吼！
火钳牛明
好牛
喜欢！！！
up我喜欢
超棒
有点意思啊
太强了TT辛苦了/
再来亿遍
泪目
划
十姑娘
一开口就是划
三连了。真的很好
梗小鬼确实多多少少沾点
起鸡皮疙瘩，我哭了
泪目
突然泪目
好棒啊
太可爱了吧
最终都还是一个人呢
是洋葱，我加了洋葱。
很厉害！
周杰伦？
超级喜欢
牛逼牛逼
厉害
要火要火
！！！！！！！！！！！！！！！！！！！！
音乐的力量！
好好听叫什么名字
NB！！！！！！！！！！！
太牛了！！
哈哈哈哈
给我火
泪目
为什么我想哭
这是小三
有内味儿了
牛逼
哈哈哈哈哈哈哈哈
好嗨哟
好厉害哇！
喜欢！超爱！
泪目
是我
好开心哦
我天 悟了！！！好棒！
你这样子说话很机车哎
我也回来体会人生了
卧槽
为什么有种想哭的感觉，明明心里暖暖的还是笑着的
wow
好棒
是你，士兵76号
怎么有个大帅比在看我
打碟吗？???
魔法
心电图
很喜欢！
三连了
啊啊啊啊啊这视频质量太高了
薇尔莉特
你 导演
信条的等等我
哇，好棒啊
总会离开的
太强了
每个人都是一个音符，后来你遇到了你人生中的另一个音符，刚开始你们组在一起可能会不搭，你们为了彼此改变自己的音高和大小，甚至改变自己的音色，再加入一些编曲，最终你们变成一首美妙的曲子
ohhhhhhhhh
宝批龙的泥垢了。。
没弹幕的吗
i
这声音有点像孤独的美食基
808我爱
哇
很厉害！！！！！
好喜欢
火钳刘明
很厉害！
泪目
特别厉害啊啊啊
争吵的感觉
火钳刘明
很喜欢。！
太棒了
太牛了本周必看见
别呀
上面的西珍妮哈哈哈
我知道，是手机
我悟了！
哇
你借样子说话真的很机车诶
很机车哎
可视化
生了生了，是对龙凤音！！！
好嗨呦~好嗨呦~
超机车得捏
淦  很舒适欸
