中国boy菜！
看到这条弹幕你已经不是第一
哈哈哈哈
高产？？爷青结
我来啦
中国菜
你还知道更新？
我菠萝吹雪，吹的不是雪，是血
哈哈哈
哈哈哈哈哈
前
一播放12点赞
登高
会   玩
热乎的！！
哈哈哈哈哈哈哈哈哈
呕…呕呕死了…
我吹雪哥排面！
《太 多 了》
中国拜怒开团
草莓？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
热乎的
鱼腥草？
！！！！
诶诶诶 怎么感觉没有开头少了点啥
没有意思
这个真的好吃
康达姆机器人
康达母机器人
这个很火的
康达姆机器人
哈哈哈哈哈哈笑死了
康达姆机器人
热乎
梅开二度
哈哈哈哈哈哈哈哈哈哈哈哈哈
《康达姆机器人》
有毒
必修三
原来小潮还记得我的世界啊！
你好短啊
弟一
前排围观
哈哈哈哈哈哈哈
折耳根
《兄  弟》
菠萝赛东
博爱哥哥！！！！！
哈哈哈哈哈哈哈哈哈哈
啊这
《 男 朋 友 的 秘 密 》
钢达姆机器人
徐大虾
徐大虾
承包弹幕
哈哈哈
原来我是第一
吹雪！！
康达姆机器人
这叫擎天柱
阿巴
蟹霸
猝不及防
鱼腥草
左手狙神
噫吁嚱危乎高哉
你真幽默
哈哈哈哈哈哈
康达木机器人
哈哈哈哈哈
him
仌
iPhone3GS！！！
him
尬死
瓜瓜蛙
你的虾王重现江湖
啊哈哈哈哈哈哈
《哈哈哈》
第一条，康达姆机器人
him
哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
不学无术马浩宁
礼礼知道
《你真幽默》
《兄 弟》
我来了
哈哈哈哈哈哈哈哈
康大木机器人
康达姆机器人
刷起来了
潮笑
故技重施
来早了没弹幕
哈哈哈哈哈哈哈哈哈
节目效果这不就曝炸了吗
？？？？？？？？？
herobrine
你可真幽默呀中国boy
lsp
这不是李白？
练过的蟹老板
菠萝吹雪
擎天柱
康达姆机器人
哈哈哈哈哈哈哈哈哈
手残联盟排面
哈哈哈哈哈哈哈哈
还真不是雷神
him
幸运方块：他是ohhhhhh
康达姆机器人
徐大虾:你觉得你很幽默？
呱呱蛙
擎天柱！！！
《徐大虾》
拉利
康达姆机器人
文化沙漠
him
。。。
事实上是iphone iphone 3g iphone3gs
哇
梦幻联动！！！
。。。
方胖子排面
him
一分zh
不想兄弟好
徐大虾
这段要了
草？
这不是动感超人吗
遇事不决猜逆风笑
他是主角之一啊哈哈哈哈哈哈哈哈嗝
鬼针草？？
him
换女友了？
康达姆机器人
仌
力元君
菠萝吹雪
这尼玛
我的世界好评！！！
鱼腥草
ham
男朋友的秘密？？？
哈哈哈哈哈被疯狂画画的杜甫
哈哈哈哈哈哈哈哈哈哈哈哈哈
him
钢达姆机器人
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
闪客快打！
him
噫吁嚱
必修三高一下学
大虾：感觉有被冒犯到
白内障史蒂夫
没上过高二
闪客快打
力……
蛇草莓
莎普爱思滴眼睛
龙虾Larry
Him
him
标题离谱
河豚~~~~~
闪客快打
Herobrine!参见吾王
菠萝吹水
Herobrine
哈哈哈哈哈哈哈哈
高二我们学校课程全部结束了
康达姆机器人
黄...黄力元？
闪客快打！！
哈哈哈哈哈哈！
Herobrine HIM是herobrine in minecraft（herobrine在我的世界里）的简称
him啊
拉利
雷霆嘎巴
鱼腥草，折耳根。
him
！！！笑笑
你说谁游戏区呢！
你还蒙对了你蒙对的东西
知识盲区
康达姆机器人。
哈哈哈哈哈哈
虾中霸王！
这是鱼腥草？
康达姆机器人
哈哈哈哈哈哈哈哈哈哈哈
哈哈
啊这
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
吹雪
herobrine吧
303！（doge）
必修三登高人教版
热乎
闪客快打！
him
威斯克呀
哈哈哈哈哈哈哈哈哈哈哈哈
笑笑
真就仌啊？
这哪像力元君了
力元君？
逆风笑：我才三岁
力元君
战地2142
him
蟹老板
boy萝吹雪
哈哈哈哈哈哈哈哈哈哈哈哈哈
英雄盐水（Herobrine）
him
虾霸哈哈哈哈
语文课本人教版
语文，高一，必修1
菠萝吹雪
人教版必修一
哈哈哈哈哈哈哈哈哈哈哈哈哈
康达木机器人
狼人
巧了我有
鬼针草，植物课没白上
菠萝赛东
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这不力...
iPhone35G版〔doge〕
herobrine
安迪洛
我唯一一个猜对的。。。
him
文化沙漠
仌
这个重要吗
哈哈哈哈哈哈哈哈哈哈哈
中国拜好帅
hhhhhhhhhhhhhhhhhhc
康达姆机器人～
哈哈哈
呱呱蛙
卧槽！！这时候的笑笑好瘦
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
语文必修四？
闪客快打
文化沙漠
没意思
我们这叫泡泡，熟了红果子很好吃的
菠萝吹雪
你在吗
哈哈哈哈哈哈
真梦幻联动
你的童年我的童年好像都一样~~
重要
哈哈哈哈
him！
鱼腥草，中国boy以前还录过呢
him！
每个版本必须移除，老梗了哈哈哈哈
双厨狂喜
康达姆机器人
莉莉
折耳根
露屁屁外星人
登高
是HeroBrine啊喂
「BW人 太 多 了」
康达姆机器人？？？？
哈哈哈哈哈哈哈哈
闪客快打，老同年了
覆盆子？
白内障的史蒂夫
？？？？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈
登高这首诗吧
闪客快打！
陈子豪排面！！！！
him！
呱呱蛙？
折耳根
恰饭？
哈哈哈哈哈哈哈哈哈哈哈
boy哥哥！！！！！
？？？？？？？？？？？？？
战地2142!
折耳根
菠萝赛东！
康达姆机器人
哈哈哈哈哈哈哈哈哈哈
金龟次郎
菠萝吹雪
龙虾恶霸
金龟次郎呀
？
菠萝吹雪
鱼腥草嘛
康达姆机器人
哈哈哈哈
哈哈哈哈哈哈哈哈
哈哈哈哈
方风笑
?
闪客快打3
菠萝吹雪
打开中国植物志！
战地2142
西门吹雪啊
.+
折二根
现在是新版了
高一吧
闪客
菠萝吹血
菠萝赛东
炼药有了河豚就有了，挺早的
本人也是！
回来看屁股
出的蛋不香吗
哈哈哈
我爸以前用过
哈哈哈哈哈哈哈哈哈
我菠萝吹雪 吹的不是雪 是血
笑笑!
手残联盟当时还有服务器的
2142    2142！
G11改造
九折？
him你不认识？
新酱！
笑笑啊！好帅！
你妹听过him？
不熟
希望boy以后玩mc人没事
楼上我记得是一个绿色的小憨憨这样数数
菠萝吹雪，吹的不是雪，是血
菠萝吹水
你们不知道每个学校教学进度和顺序都不一样嘛
力元君
《没有意思》
大白鸟用过
死神，来丢人了
菠萝吹血【雪】
诶
徐大虾
him
这个我会，菠萝吹雪
哈哈哈哈哈哈哈哈哈哈哈哈哈
擎天柱！！！！！！！！
拉力
《十二礼：康达姆机器人》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
热乎的
哈哈哈哈哈哈哈哈哈
退回去看屁股
莉莉？
哈哈哈哈哈哈哈哈各位快倒回去听 笑声和音乐卡上节奏了 哈哈哈啊
双厨狂喜！！！！
雷霆嘎巴那个笑死我了，哈哈哈哈哈哈哈后
him，吾王
笑笑排面！！！！
来了
哈哈哈哈哈哈
鱼腥草
《语文》
him
绿？
我永远单推爱拍原创！
@无穷小亮
哈哈哈哈哈哈哈哈哈
水葫芦？
绿色健康！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
冀教版也有！！
风笑？
上面的  是陆小果这样数数的
野草莓
哈哈哈哈哈哈哈哈哈哈
虾霸，最近刚好在看海绵宝宝
拉里
画重点，闪客快打2
herobrine
菠萝吹雪
背背   背背背起了行囊
雷霆嘎巴
这个吃了能回血（doge）
不至于不至于不至于
这个是闪客快打二
him
登高！
hhhh
绿色健康小清新
呱呱蛙
变形金刚（礼礼色）
him
热乎的
菠萝吹雪
樟脑丸
《草》
威斯克？
登高
不是莉莉吗
几！
我也是 从小就吃
参见吾王
鱼腥草
绿  色  健  康
逆风笑排面
我的第一部智能手机就是3GS
十二礼：康达姆机器人
光屁屁外星人
子美先生！！超爱他
康达姆机器人
猝不及防
哈哈哈哈
康达姆机器人
呱呱蛙
Herobrine
允星草
手残联盟爷青回
菠萝吹雪！！！
康达姆机器人
? ? ? /
鱼腥草
呱呱蛙
热乎
七年级
龙虾恶霸
菠萝吹雪
好可爱
上期节目没看吗？不是就有答案吗？
必修三
金龟次郎
菠萝吹雪
草(一种植物)
condom的太秀了
3gs那時候iphone紅起來的 要知道應該算是正常的吧
擎天柱！！！
博爱哥哥！！
菠萝吹雪
第一个智能机是诺基亚5800
哈哈哈哈哈哈哈哈哈
你们不对劲啊
him
哈哈哈哈哈哈哈哈哈哈
拉里
哈哈哈哈哈哈哈哈哈哈哈哈哈
《嗯》
重要！！！！！
承接上文
路边的野花哈哈哈哈
him
菠萝赛东
必修二！！！
erobrine
康达姆机器人
哈哈哈
菠萝吹雪
蜀道难是李白的hhhhhhhh
看不起生活区是不是
笑笑的初中同学：好像就没见过那么瘦的，初中的时候就胖了。。
哈哈哈哈哈哈哈哈哈哈哈
him
折耳根
震怒
鱼腥草
汤达人
菠萝吹雪
哈哈哈哈哈哈姐姐
陈子豪牌面
菠萝吹雪？
him
永远的神
康达姆机器人
him
菠 萝 赛 东
菠萝吹雪。
河豚
him
boy要吃小孩了
食物，可好吃了，吃了会给buff
哈哈哈哈哈哈哈哈哈哈老4399了/doge
四川人最爱，外省可能受不了，哈哈哈哈哈
营销号
?
河豚啊
《不熟》
呱呱蛙
我也是双子座
叫做《逆风笑的*毛》（手动滑稽）
 哦嘞哇刚大木哒！！！
十二礼：这个我熟
哈哈哈哈哈哈哈哈太狠了
为什么我都知道哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
闪客快打2
情侣小游戏
鱼腥草
himbrine希姆布林
Him
大啊好
威震天
菠萝吹雪
him
，雷霆嘎巴
菠萝吹雪
菠萝吹雪！
牛爷爷
康达姆机器人
擎天柱
him
豪哥牌面
热乎滴
菠萝吹雪
哈哈哈哈
这么老？
左手狙神-陈子豪
爷青回
菠萝吹雪！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
我也是老师用过！所以知道哈哈哈哈哈哈哈
诶呀，超纲了
我也不知道这是啥
豪哥排面
woc
˶⍤⃝˶꒳ᵒ꒳ᵎᵎᵎ
闪客快打
这不是情侣游戏嘛
太真实了
我也忘了看过但忘了
搞联动
瞎吧
哈哈哈哈哈哈哈哈哈哈哈
康达姆机器人
康达姆机器人
哈哈哈哈哈哈
哈哈哈哈哈
你还记得手残联萌？
him
必修三
应该是手残联萌吧我记得
笑笑排面啊
2142！
高一 我课本上恶搞他被骂一直记得
boy是因为节目才记得杜甫的吗hhh
龙虾拉里！
吹雪粉大哭
穿越火线？
白上吹雪
4399闪客快打
菠萝吹雪
刚打木机器人
登高
我的妈呀！小潮也是笑笑粉丝！？
刀锋
康达姆机器人
震怒
康达姆机器人 无敌的影子
则耳根
哈哈哈哈哈哈哈哈哈哈哈
仌
笑笑牌面！！！
高二必修2...？
擎天柱
水葫芦
boy！
哈哈哈哈哈哈哈哈
我菠萝吹雪，吹的不是雪，是血，是我剑上的血
康达姆机器人
石楠花？
热乎
哈哈哈哈哈
陈子豪
哈哈哈哈哈哈
哈哈哈哈哈
哈哈哈哈哈
刚大木
钢达姆机器人
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
俺也一样
