卧槽，我是第一个看的
都来试玩我的bug
哈哈哈哈哈哈
我是第一个？
《前几天》
《后坐力挺好》
第二个播放量
刚刚。，。
第一第一
《十年代码没有bug》
不懂就问，巨人在这是磕头拜堂嘛
养弹幕
二爷：我的报纸！！！！！！！！
它的血量也有三千，非常的耐揍（）
爬树功能
super面筋人
僵尸都有对象了可是你没有
读指令其实是在ai上偷懒的方式
《准备动手》
大哥打累了卡个bug怎么了（恼）
巨人：这招，无用！
《发光蘑菇地》
撅地僵尸
刚热乎
《拉 身 运 动》
《火箭筒》
草
《老当益壮》
哈哈哈哈哈
空瓶是我的啦
根本没骨骼doge
《super面筋人》
僵尸都有对象 （苦涩.）
柔软无骨
四分钟前
就是谏山创（
向朋友疯狂安利的你↓
说藏话了
卖家秀
《特殊召唤》
《时代变了》
《橡皮人》
好解压
M木糖M军械库限时返场
面筋人
尼卡形态戴夫
《退休3天，僵尸治好了我的精神内耗》
《daydaydream》舟厨狂喜！
烫死了
《真·所有骨骼》
达成成就：谁才是僵尸？
这就是你分手的借口～
bug关卡(幻听)
正好带了（发出虫的声音）
我来证明你开了弹幕
电子火箭炮
太阳神·尼卡形态
屁？
草，走，忽略！
第一个看完
全才呀
要不试试皮筋（doge)
军火商M木糖M
僵尸都有对象，你看看你(
《帅气》
帅啊
放屁（确信）
你在没有火 也没个见  感情就是一个桶啊
狂扁小朋友即视感
这戴夫不跳芭蕾真是可惜了（doge
卢登的回声
正片开始
爆米花特效
这破甲不挺好的吗
《牛牛戴夫》
骨骼惊奇
《  氚  氙  钾  》
为啥这么带感
帅啊
那么如何让僵尸不是死掉的（智将）
《电音DJ戴夫》
梦回马里奥
？？？
《失手了》
Hunter?
《放屁》
僵尸都有那么多对象（悲
pvz跑男
李宁踹开线了
《要》
撅腚僵尸
《猪突猛进》
刚刚
小推车（确信）
翻译:更新点bug，修复点游戏
黑鲨牌手机
大型泪城守卫是吧
肉身开团？
音乐区新工具
僵尸：有点硬，但很管饱
所以这个枪举起来是干什么用的
7000+
咻～boom
传下去：木糖家是军火库
哈哈哈哈哈哈
zombies rush（纠正）
把渣男放在前景
狮子狗（幻视
咻～boom
去请专业配音员（
????你是谁？？？？
《舞王僵尸》
横冲直撞
刚刚，我出息了
少林功夫好啊
好爽啊
感觉很正常甚至有点好玩(doge)
腿好疼
酷哦
撅埊殭尸
什么武神强踢
ddd好耶（
狂～浪～是一种态度狂～浪～在起起伏伏
绝技:飞踢
送报的大爷
掘地求生？doge
太燃了，我手机都冒烟了
腾讯：来上班
说吧录了多少次
残血巴巴托斯帝王形态（幻视）
《放 屁》（doge）
随时准备上架STEAM，敬请期待
双厨狂喜
《塑性形变》
帅啊
亿脚焯人
这是着急去厕所吗？
哈哈哈哈哈哈
山治直呼内行
《为了节约性能》（因为懒）
子孙无穷
《808鼓》
无尽bug
疯狂的二爷
有割草的快乐了
非设备行动
《食用性》
水了快三四分钟了
“关于我关注的UP都是JO厨这件事‘
什么极速追杀生化版
《之前那个阿婆主》
出现了吃了恶魔果实的大夫
资本家看了流泪
-8米？？
戴夫：给大家来一个横向托马斯
礼貌小僵尸：你吗？
戴夫：爷会飞！！
电音的感觉
这一脚 踢出了整个盛夏
勇敢勇敢我的朋友~~~
空中芭蕾
二爷卖报
两个脑花
7000＋
什么无双
宫崎老贼
有人抄袭他游戏说是游戏厂商制作的还故意骗人
问：这一段他打了多长时间
《宿伞之魂》
被扔了还在笑的屑小鬼僵尸
撅地僵尸
狮子城点了个赞
手机玩家狂喜！
哇，帅
僵尸都有对象，看看你/doge
14.7（远古记忆错乱）
你是金刚腿~金刚腿~
ios震怒
给大家整个活儿
下载链接在哪呀，我想逝一逝
开始乱杀
钢铁左臂
oh hunter hunter hunter!!
BUG里作游戏
盖布神
《 分 手 了》
分手的借口
从哪儿下载呢
好家伙7000+人同时观看
荡气回肠
少侠好腰
我和你荡秋千，荡到那天外天
尼卡形态戴夫
弹棉花~呀~弹棉~花~
《炸膛》
斯巴达草鞋
doom
金刚不坏神功这是
《蜘蛛侠》
《脚艺人》
绝地僵尸
爷爷您关注的up主更新了
哇潮！！真不戳！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
什么刘翔大战僵尸
太过正常以至于不正常了
《当你发现了一个简单又好用的招式》
安卓玩家的我：绝了
好秀啊
这么还挺好玩的
一步杀十尸，千里不留行
芜
太牛逼了
《前几天》
丝滑
我去有点帅
神皮使徒
他的血量也有三千，非常耐揍
疯狂的戴夫
《顶尖芭蕾》
这打击感，甚至比大多数手游的力反馈都做得好
《光遇的飞行翻滚》
《麦克雷》
哈哈哈哈哈
优雅！实在是太优雅了！
哈哈哈哈笑死
提醒：您的进度条还有一半
吃不到脑子就吃土的屑气球僵尸
哈哈哈哈哈哈哈哈
为啥子关注了都没刷到
仙女棒
终于出手机游戏了
哈哈哈哈哈哈哈哈哈
P评分
