好早
我也是
烫烫烫
一播放！
心酸啊
支持谭sir
出息了
到二仙桥
1播放489赞
二仙桥（即答）
大哥好人啊
天啊，好惨啊
2分钟前
谭警官很好，还是蹲着给人交谈的
专用车，买不起有错吗！
哎。人啊
好好活
自力更生
心酸
太心疼了
加油
又一位福贵大叔
谦虚的老实人
好好地活
敬礼
刚刚
5分钟，熟乎
我哭了呀sir
致敬每一个奋斗的打工人
人间疾苦啊
想看后续 现状
泪目
爷青回
我哭了，他真的是天使
泪目了
祝好
现在他怎么样了？
先码后看
自力更生了不起
苦命人
《士兵突击》
心酸
这个地方是双流牧华路，胜利往双流县城方向
祝好
《士兵突击》
唉，苦命人
梦想成真倒计时开始了
士兵突击
泪目！也不知道他现在怎么样了，祝好
砸，哇录多！
世界上只有一种病，“穷病”
愣着干嘛，三连啊
看不得啊，一看就冒眼里
为了这句话，投币了
这人还在吗？帮帮他
愣着干嘛，三连啊
蹲下好评
因为买不起
后方靓仔强势围观
这句话说的真好
匍匐不是屈服，那么十八年后，故事的结局.....（2005）
愣着干嘛，三连啊
许三多之语录
活着
很真实
何不食肉糜?
有点像本山大叔的落叶归根
爷青回！！
愣着干嘛？还不赶快三连！
爷青回
街边卖艺
谭警官很自然的蹲下了
泪目
心态好好啊
爷青回
谭sir的眼神！！
艰难的生活，，，
……？
“往前看”
好好活
花了3天时间把存货都看完了，一刷新谭sir上新货了
致敬（谭sir和这位老哥）
唉。。
感谢高清版
刚才的特写是尿袋
笑得好心酸
我卡了吗
血书求这位兄弟的现状（1/1000000）
黑屏了
真的是人间疾苦啊
爷青回
谭sir好温柔
许三多
谭警官真的好温柔啊
从来也相信有转机，望好事好像一出戏，别为了这世界太过伤悲
好帅
-5000
道法自然，如来
活着
这个时期谭sir好青涩啊
没有赔偿吗
泪目
好帅啊，谭sir
好年轻的sir
泪目
突刺刺
还是自食其力 没乞讨
许三多语录
内个兵，内个兵
爷青回
许三多
太苦了
现在的新闻哪还有这种真实的新闻
后边的帅哥记得一键三连
苦命人
唉，没办法，但谭sir该说的话还得说，只是肯定不会要求整改了，希望这位兄弟以后能越过越好
爷青回
泪目
你卡了
怎么好意思告谭sir侵权呢
这他妈才是真实的生活
真的愣住了忘了三连
希望好人一生平安
泪目了
好年轻的谭sir
被打伤的
好人啊，好人一生平安
这应该是谭sir故意引话的。
许三多
没人管管吗
我的团长我的团-士兵突击
面包没了为什么不吃蛋糕呢
美团出来挨打
这样的遭遇，想的是自立根生，尊重
他还怕给别人添麻烦
大叔在后面哭
节目回归了！！！我们胜利了！
就算有赔偿能赔多少，能用得了多长时间
真实
投币了
泪目
人家能不知道？ 知道也得问啊
煤矿洞
爷青回
说得好！
心酸
到二仙桥
好好滴活
太帅了，谭警官
