青铜局闪现李白细节
很用心!!!
敌我差距
我了九月五
梦龙!
肝帝
这吕布怎么这么dio（恼
好牛啊啊啊
打野惩戒
收下膝盖
看到我你就不是第一了
Dio布
闪现李白？这家好.....厉害
颜料笔：我要着火了
太厉害了太太！
UP主，安琪拉大招的盾的血条忘画了
这个效果拉满
好真实啊救命
666
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
屏幕都给你搓掉
刚刚画的也太丝滑了
李白不应该带惩戒吗
太真实了哈哈
哈哈哈，真实
666
这不得三连
曲对白嫖（doge）
来～肝～
下意识减音量
太牛了吧！！！！
《二人转》
快没电了
我也喜欢这首歌
恭喜你发现宝藏
可能懒得画野区吧，哈哈哈
1.名字变成戈娅了
miui!
红米note5？
大制作
最爱！！！
NB
怎么只有妲己有皮
右上角的倒计时没有变
奇犽！
工程量巨大
你也是鸿蒙？
逐渐增加的点赞数
细节不到位
猎人呢
曹操打野
火了赞我
这里肯定不对，你必然不是房主啊
农！
666
没有同款壁纸吗
太肝了
让你抢发育路，被单杀了吧！
tql
这个壁纸直接炸我！！！
奇犽！！
vivo
没弹窗差评
奇犽！
丝滑
优秀优秀
您
这工作量太离谱了，太强了
可恶我币没了
好牛
shots好评
甚至结尾都用笔画
边路李白？
收好我的两枚硬币
反客为主
三连回本
这么流畅
666
好牛呀
卧槽奇犽
不容易给你投个币压压惊
有创意
一帧就是24张画，挺狠
卡的一下很细节
你这背景太假了（doge）
破解版是吧
太对味了！
直接开摆是吧
新号就三币，全给你了
辛苦了
我只能说6666666
大佬nb
厚礼蟹
好卡
我还以为李白拿的篮球
进房间直接当房主？
全是李白的技能
牛啊
这吕布怎么一脸dio样（恼）
没人吗
奇犽
我突然发现技能图标好像没改。（Doge）
这张纸配置好高啊，什么处理器？
我超，农
火钳刘明
？？
笑死我了这个李信好普信
好家伙
你右下角的妲己呢！
奇犽
大制作，点赞，点赞。
牛
明凯？
应该是看的队友视角，自己还是李白啊，总不能看谁视角是谁技能啊↑
你红点呢，你弹窗呢
太强了
曲对币有
全职猎人啊！！！
真的是强啊
雾山五行需要你
下次试下原神
全英雄共用李白技能了属于是
有没有一种可能是在拉视角
咱就是说 属实很牛！
6
可以啊，为你点赞
高达五帧的屏幕，恐怖如斯
有没有一种可能，只是李白的视角而已...
我给你跪下行不行
好友右边的感觉好熟悉
woc
话筒下面的聊天栏应该会有字（我不是故意的）
打野不带惩戒是吧，等着被举报吧
肝上长个人
甚至抢位置
火了撅我！（迫不及待）
火了撅我
给币
要VIP
李白大招永远亮着
恭喜你发现宝藏
奇犽
微区的？
倒计时没走（doge）
倒计时不会动
开始偷懒了，哈哈哈
李白带现
别的英雄都是蓝色血量是李白拉视野了
丝滑
我想问，你是不是王者美术组的
少女阿狸，曙光守护者
妲己宝宝不见了
厉害了
比我手机配置都高
经典卡顿
我c，献上膝盖
好牛
牛牛牛
酱紫转场？
拉三指现场
好厉害
这吕布怎么感觉这么年轻
