为什么一播放45个赞
看到我你就不是第一了
《你打撒，你打我撒》
背景真人是特效
欧耶，一播放174赞
看到我，你又不是第二个了
确实假
口干舌燥可以喝背景里的水
确实可以换下一个梗了
这个视频刚发出去一分钟就有这么多第一了。
哈哈哈哈哈
拖鞋：我免费了
鬼畜区的兄弟们，来活了
假的肯定是假的
哈哈哈哈哈哈哈哈哈哈哈哈
1234赞，不忍打破
一千一百五十四赞，计录一下
那就当拖鞋哥吧（dog 
拖鞋：我免费了
椅子支架不错我要了（）
哈哈
好耶
nice job
↑你没猜错
节目效果
买一送一
↑预言成功
哈哈哈哈哈哥 实在不行咱下次换个更假的好不好
省流：真扔拖鞋
说得有气无力了
哈哈哈哈哈哥 实在不行咱下次换个更假的好不好
直播效果拉满
预言家刀了
我仿佛已经猜到了
11分
鞋子：你清高你了不起wd nmd
现在压力给到了b站鬼畜区
为什么他总和自己的假背景过不去呢
真烫
@动画公司
拖——孩——
↑刀了刀了
鬼畜区，开工
虎躯一震
盒盒盒
损失惨重哈哈哈哈
这个时候不应该凳子陷下去吗
hhhh哈哈哈哈哈哈哈哈哈哈哈
↑你没有猜错↑
哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
确实假
哈
40分钟
拖鞋：你干嘛？
讲道理刚才有一瞬间真觉得是假背景
为什么可以这么快涨粉
省流：俩鞋都没了，有新梗了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
笑拉了
好了，已制成下一个梗了。
哈哈哈哈哈哈哈哈哈哈
曲对币有
是怎么做到每次都这么戏剧的呀？[笑哭]
好一个弧度扔鞋
新  素  材  [doge]
买一送一预警
晒鞋子
这个帽子男很烦
这个拖鞋扔几遍才能这么准呢
笑死了
《鬼畜新素材》
哈哈哈哈哈哈……悲剧了
又可以玩了
你不捡东西都假
哈哈哈哈哈哈哈
同款拖鞋
真的好像假背景啊
这个真的有点假
↑预言家刀了
丢的好准
同款拖鞋()
呵呵
鬼畜区来活了
这特效拼接的挺好的
涨粉狂魔
胡子是不是长了
哎呀～全是石头，哎呀，我(一种植物)
很的好像假背景
造型越来越犀利了
直接找到新的鬼畜素材
好了换梗
哈哈哈
《拖鞋也该换了》
哈哈哈
他真的，我哭死
猜到结局
666
《  好  事  成  双  》
买一送一
鬼畜区准备
好哈哈哈哈哈哈哈哈哈哈哈
我怀疑你是演的
除了人都是真的
哈哈哈哈哈哈哈哈
你这人也是假的
233333
真扔鞋子了，哈哈哈
同款拖鞋
你这也没换梗呀
祖传拖鞋
这人长的好像我们班主任
此处无声胜有声
感觉有新素材了
完了，这事过不去了
努力踮起的jiojio
哈哈哈哈
真的很好笑哈哈哈哈哈
这不得再问摄像小哥借个鞋来够拖鞋？
说假扔鞋
物理 脸黑
哈哈哈哈哈哈哈哈哈哈敲啊素材之王
真的扔鞋子了
此时无声胜有声
拖鞋：你打我撒
《1000+》
旧的不去新的不来
哈哈哈哈哈哈哈哈哈哈哈哈
上链接
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
长胡子了 
这个更像假的了
可是看起来还是像假的(doge)
《好事成双》！
秒换背景
哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
我猜对了结局
确实很假
哈哈哈哈哈哈哈
真的
真的
真的
你打我撒（幻听）
确实假
一点也不假，挺好的。适度玩梗
哈哈哈哈
bgm也可以换了
哈哈哈
哈哈哈哈哈哈
然后两只鞋都搭上去了
鞋子：你打我撒～
芜湖！～
越看越假（doge）
真扔鞋子了
放生拖鞋，爱了爱了
拿书包砸树上的书包
一米吧
惊起却回头
哈哈哈哈哈哈哈哈哈up像我同学
盲猜这只拖鞋也上去了）
背景是假的
可是真的很假啊（哭
邪魔！（怒）
笑死
哈哈哈哈哈哈哈
新素材
哈哈哈哈，真的很假啊
笑死
真的很假，对不起
哈哈哈哈哈太可爱了
盒盒盒盒
当代甘地
哈哈哈哈哈哈哈哈
辛苦了
哈哈哈哈
哈哈
拿根棍子
哈哈哈哈哈哈哈哈哈
你这拖鞋是假的
笑死我了这个转头
笑死我了这个转头
我就知道
注意休息老铁
这个绝对是假的，看得出来
盲猜两只鞋子全在上面了
哈哈哈哈
看着确实假，对比度的问题。
葫芦娃救爷爷
真的假
这里好像很好玩诶
《双喜临门》
同款拖鞋 
真的很假家人们
红红火火恍恍惚惚或或
身高150
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
身高155
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
堂堂七尺男儿
哈哈哈哈哈
哈哈，不行了
嘎子偷狗
哈哈哈哈哈哈哈哈哈哈哈哈
@特效小哥
葫芦娃救爷爷
此处无声胜有声
国士无双
葫芦娃救爷爷
zzz
哈哈哈哈
等我有钱了去一波新疆玩
这建模可以，还能互动
哈哈哈哈哈哈哈哈
同款拖鞋
这个涨粉狂魔
不能跳吗？
你打我啊，你打我啊，你打我啊
头发变了，证明他头发是p的
这后面的树一看就是假的
脚心和其它地方不是一个肤色
我感觉更假了哈哈哈，老哥自带属性
惊起却回头
这背景确实假
这是尉犁县 罗布人村寨景区里 玩的真花
特效师哪里请的，技术不错啊
省流:两双鞋都上去了
往返自然，焯！
哈哈哈哈哈哈
新的梗已经出现，怎么能够停滞不前
可是真的像假背景啊
这次真的假
真的好像P的
这个树为什么不动
哈哈哈哈哈哈哈
原神找神瞳
外场援助我同学，一个非常帅的小哥哥！
你打死它 你打死它.......
前面那个光速反应啊
解锁新发型
五五分好可爱
哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
我去，这个背景更假，真的我第一眼觉得是p的
：
绝命毒师是吧？
三天之内我要看到鬼畜
人有点假
为什么我会以为他会把凳子扔上去
好事成双
此时无声胜有声
这个我懂：双鞋！鞋鞋》谢谢！
你打我撒你打我撒你大我撒
柯基
哈哈哈哈哈哈哈
我嚓 这你怎么捡？
好好的鬼畜资源被戴帽子的毁了
又双叒叕
真的扔鞋子了
这不我拖鞋吗？
我以为他又要喝水了
破防了
鬼畜区新素材
拖鞋终结者（确信）
他们团聚了
鬼畜区又有新素材了(doge)
阿里木の新生
他整个人都像是假的
鬼畜区新素材
注意安全啊
跳一下
bgm  《你打我撒》
烂
同款拖鞋
哈哈
剧情需要
化合反应
《你打撒，你打我撒》
你打s它～你打s它～～～
完了
梅开二度
官方吐槽
笑死了
弄个扫把吧
《你再说我扔鞋子了哈！》
这是玩梗，你学学人家嘎子
你说换就换啊
哈哈哈哈哈哈哈哈
《此时无声胜有声》
哈哈哈
是怎么做到每次都这么戏剧的呀？[笑哭]
同款拖鞋
后面的沙绝对是假的！
就离谱！笑死了。哈哈哈哈哈哈哈哈哈哈
哈哈哈
这不假吗
好事成双
一会两个拖鞋不会都在上面了吧
所以有没有可能，他的拖鞋是假的（doge
丢的真准
有直播天赋的是怎么看出来的
葫芦娃救爷爷
你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～
你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～
你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～你打我撒～
师傅你是做什么工作的
老玩这个梗就没意思了
鞋help鞋
鬼畜区有新素材了
不过真的好像假的啊哈哈哈
省流：亏了两只鞋
哈哈哈哈哈哈哈哈哈这个回头
涨粉狂魔
笑死
你人是假的（bushi）
你再说我扔鞋子了啊
纯纯dinner
很蓝的啦~
好了，可以换新鞋了
啊，是真的啊
哈哈哈哈哈哈越看越好笑
《一家人就要整整齐齐》
哦豁
这么一看，确实挺假的
《梅开二度》
《好事成双》
为什么他真的好像p上去的！
涨粉狂魔
真对了，楼上的
这个阿婆主太虚拟了
短腿特效怎么开的？
帅哥猛回头
背景是真的人假的
建模可真好
为什么UP主总能与他的背景格格不入
猛回头
哈哈哈
一箭双雕（预感
帅哥猛回头
更像了
莫名踩点了哈哈哈哈
一打啊打啊打啊，一打啊打啊打啊打啊
《军 火 展 示》
省流：背景是假的
《蓦然回首，那鞋却在，水上茅顶处》
你打我撒，你打我撒（幻听）
哈哈哈哈
哈哈哈
这比例很假耶
背景真的啊！
拖鞋————
前文的扔鞋子
豆瓣怎么评分？
哈哈哈哈哈哈哈
赶紧把预言家刀了
哈哈哈哈哈哈哈哈
bgm:gentlemen
匡威牌的帽子
真的很像假的
哈哈哈哈哈哈哈哈哈哈
《涨粉狂魔》
跳一下不行？
【鬼畜区狂喜】
新的梗
几天不见成野人了
拖鞋：你打我撒？你打我撒！
节目效果拉满
你打我撒  你打我撒
3D合成dage
看吧 这下好了
哈哈哈哈哈
我刚提的新鞋啊（
成双成对
这地方好好呀
这次不假
人是假的（doge）
哈哈哈哈哈哈
猛回头
忧伤
鬼  畜  区  新  素  材
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈BGM真的好魔性
一打啊一打啊一打一打
人是好人，梗是烂梗
《你捡拖鞋的样子真的很狼狈》
说的鞋都没了，彻底成为拾荒者
买一送一
：
豆瓣不想…
自带描边的男人
天呐，你咋做到与背景这么不合呢
罗布人村寨
莫名可爱（雾）
哈哈哈哈哈哈哈哈哈笑疯了
自觉使用BGM
胡子都有点长了。
神农架野人
