啦啦
热乎的
承包空屏
来了
好美啊，今天
来了来了
小宁子最美
我也是最期待
我是第一？
好家伙我也是3份
小宁子侧颜太好看了吧
老婆老婆
铺天盖地的宣传
我擦，我还以为是故意弄黑的
我住在这
fufufufuf
哈哈哈哈哈
警惕消费主义陷阱
我昨晚也变光头了
还是买3090
小宁子一副好气哦的表情
看直播的时候bug确实多，自己玩的时候除了有一个场景拿枪之后不能动了，其他还好
《我心如火》《黑梦》
玩家们对这款游戏的期待过高了
啊……
喜欢这个口红的色号
老婆漂亮
为什么不用PC
调设置还可以
所以跳票近半年是干嘛去了
黑梦。。。
说的有道理
配置不一样
代入感很强
我还以为表现形式
哈哈哈哈哈哈哈哈
凡尔赛
富婆
富婆
就算没疫情，这游戏差不多也得跳一整年，根本没做完
那么直接的嘛
Gf直呼专业
竟然还获得了成就
哈哈哈，真进电梯
虽然不知道为什么 但是我觉得gf应该过来挨打
暴力
游戏内容可以又怎样？主机版很多人都不能正常游玩，你剧情，游戏性再好有什么用？
富婆
是个半成残次品
感觉就是匆匆上架
富婆
不能说一定闪退，但人多掉帧的厉害，闪退几率也直线飙升，有些任务简直是闪退地狱
警惕显卡升级陷阱
芜湖
我都碰见了
满脸写满了失望
电脑配置好就应该直接买pc版
是cdpr用欺诈让玩家期待过高，不是玩家傻
有深度了
合理
这个黑屏我没有体验到，还有点遗憾
ohhhhhhhh
巫师3刚出来的时候是完成品吗？
Dlc啊
我也投了三次币了
对游戏期待高，我们就会讨论游戏内容。而不是质量，这是最基础的东西，太不合格了
镜头切得有点频繁了，观感不太好啊
筷子的我也有
我pc版也听不到主角声音
bug是真多，好玩是真好玩
你这么严肃搞得我都不习惯了
cdpr就是吹出来的公司 被游戏耽误的广告公司
富婆
nerdy 八错
只能使出钞能力了
QA
退钱警告！（rnm，退钱。gif）
对对对 我当时以为就应该是这样的，直到我重新读档
富婆
？？？？？，有钱啊
2070只有50多帧 玩得真难受啊
那是一群拿上世纪配置玩次世代游戏的人出现的问题
一样
巫师三起码不影响游玩，而且观感极好
up画质真好
上世代全面拉胯
暗示戴帽子的人都是秃头.doge
小宁子衣服上为啥写个nerdy...
3080游玩没啥问题
我也以为是艺术效果hhh，蠢驴快tm的更新啊
ps4只有20帧怎么玩？
一样
我挺不喜欢巫师3，我只喜欢小宁子
现在阉割了一样
再给他一年时间啊，玩家又不愿意等
我以为就是这样的
从最后生还者2开始，我就已经开始警惕了
相当于延期
蠢驴背后母公司估计是显卡
老婆
那这是做不到
