直播间在逃观众
双厨狂喜
热乎的
散散！！！前排！
哈哈哈哈哈哈哈哈哈哈哈可爱
好帅
散散！
来了
老分流大师了
梦 幻 联 动
帅哥！！
神仙联动
诶呦不错哦
好看好听
散散唱的好好听
我来组成弹幕
呼呼呼
1分钟！热乎的！
好听
说唱散爱了爱了
卧槽好听！！！
好听啊啊啊
一分钟
散散！散散！！！！啊啊啊啊啊！！
双厨狂喜！！！！！！
哦，有点意思啊
好听好听
针不戳
wo w
边听歌边看直播、nice！
首个看完！
热乎的！
卧槽有点东西啊！！！
翠花牛牛牛！
哈哈哈哈哈哈哈哈
好耶！
双厨狂喜
再来一遍！
刚下直播
棒棒棒
好听好听好听
我永远喜欢逍遥散人
双厨狂喜！！！！！！
好听好听
散人的米其林笑死我了
哈哈哈哈哈哈哈哈哈
这也太可爱了吧
牛牛牛！
袜好听
好好听
啊啊啊啊啊太好听了！
哈哈哈哈哈哈哈哈哈哈
双厨狂喜
下播来看
好聽！！
这段太好听了叭！
啊啊啊啊啊啊
刚下直播，就来了
不知道为啥总想笑
太短了！！！
来啦来啦
热乎的！！
双厨狂喜
散散！！！！
奶味rap哈哈哈可爱
好听好听好听
好听好听
来的好早
双厨狂喜！！！
哈哈哈哈哈米其林～
再来一遍
梦幻联动
有缘
哈哈哈哈哈哈哈
哈哈哈哈哈这歌词
前方高能
哈哈哈哈
可爱可爱可爱
热乎
不忘初心
救命 这也太撩了
哈哈哈哈哈感情两个人都是拼的
好耶
不错子
太好听了！
好耶！！！
极致演技
呜呜呜我循环1017遍！
不错不错
天津口音终于憋不住了hhh
哈哈哈哈哈
好家伙
天津味儿
好有意思这歌
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我没了无数次！！这个太绝了！！！！！
我永远喜欢逍遥散人
啊啊啊啊啊啊！
牛牛牛！！！！
哇哦！
好听
缘分呐！！！裙子在一起吧！！！
哈哈哈哈哈
我的妈 太好听了
好听！
哦呦
...........
散散好棒！！！！！！！！！！！！啊啊啊啊啊啊啊啊啊
哈哈哈哈哈
0:00
hhhhh
哈哈哈哈哈哈这不巧了吗
有内味了哈哈哈哈哈
牛牛牛
双厨狂喜
好听！
哈哈哈哈哈哈哈
挺好挺好
哦呼！
极致演技 震撼人心
呜呜呜真好听
0：00
可以的啊！！！
好可爱！！！！！！
哈哈哈哈哈哈哈哈哈哈哈哈
这个结局好棒
米其林！
哇，梦幻联动
2333333
来了
哈哈哈哈哈哈哈
我懂了这就是翻车现场！！狗头
哈哈哈
妹妹的声音我爱了
啧啧啧有意思了
好听
哇
双厨狂喜
pv好看
散人的胸画的到位
故意挑选的位置  我知道你看的到
散人突然会唱歌了！
你是…？
我是街头霸蛙～
好好听啊
棒棒棒
pv超爱！
好好听啊啊啊啊啊啊好心动
好耶！梦幻联动
哇
出大问题～
哈哈哈哈哈哈哈哈哈哈
我永远喜欢逍遥散人
震撼人心
哈哈哈哈哈俩人撞见了
啊哈哈哈哈哈哈哈哈哈哈hi
散老师好棒!
出事了出事了
梦幻联动！！！！
hhhhhh
好好听！！！！！！
好可爱
再来亿遍
很有趣
讽刺的好棒
热乎的！！
哈哈哈哈哈哈哈米其林
极致演技
牛的
有相声内味了
4
来咯
巧了
！ 双厨狂喜 ！
好听hot！
这不是巧了嘛
哈哈哈哈哈哈哈哈哈哈
真好听
这个词和这个剧情有点想嗑
哈哈哈哈哈哈哈哈哈哈
好棒！
哈哈哈哈哈哈哈哈
哈哈哈哈这首歌好有意思！
我已经循环1017遍啦 好听
13分种！:
好听QAQ
阿磕听！
hhhhh
哈哈哈哈哈哈哈
你演我？
我好早！！
开头见
新鲜的！
哇哦，好棒！
再来亿遍
多面散是你的谎言！！
三连后看，养成习惯！
互相骗 有房石阳明那两下子吗
好听
还热乎，我来辽
好听！！！
嗨，介不似巧了嘛！
双厨狂喜
心动
哈哈哈哈哈哈哈
真好听呜呜呜
哦豁，真是一个好故事
哈哈哈好意思
哦豁
好好听啊啊啊
和小姐姐声线很搭，很好听！爱了爱了，多面散果然是你的谎言。
红红火火恍恍惚惚
双厨狂喜！！！！
有点东西啊
这不是巧了么这不是
“你轧我脚了”
好听
双厨飞升了呜呜呜呜呜呜呜呜呜呜呜
这都能联动
牛牛牛！好听
卧槽好听！
看你昨天还在成都  显眼的黑桃A
tkyl
