芜湖，烫手
亿点
独占空屏
自组电池教学
承包空屏
1340
13:30
啊这
6666666
8888
封面巨帅
亿点细节
牛啤（破音）
牛批牛批
成品空降 13:30
空降 13:30
我曾经也有一个这样的梦
小米6永不为奴
小米6永不为奴（滑稽）小米永远滴神
厉害啊
啊~
红蓝闪耀 牛皮啊 不怕被骂？
？？？
?????
爱了
好家伙，打火机螺丝刀
高端玩家
牛逼
加油
哈哈哈哈哈哈xs
江灵夏草，永远滴神！
来人拷走
赛博朋克
真不错
草
噗嗤哈哈哈
自组电池教学.jpg
哇，天秀
吊床
C4
up胃不好
13:30
可怕的rgb污染
爷关更
？？
大佬厉害
吊床？
躺这里干活啊
牛皮牛皮
开通云电脑是不是还要花钱
赛 博 朋 克 2 0 7 7
太强了
虽然看不懂，但还是NB
电脑目测联想小新
这。。。。。。
碧蓝之海？
little end的歌好评
没驾照，不准开车
刀剑ui，浓度有点高（赞赏）
这么牛逼的视频没有弹幕？
看不懂不知道评论
（本片段由哇哈哈冠名播出）
你要赛博朋克吗
哆唠呦
牛逼
......
亿点点
哈哈哈哈哈哈
哇哈哈打钱！
up真技术流
同款斐讯硬盘盒
对于这种分享技术的视频，投币少不了
动手能力太强了
BGM逐渐高能
先赞后看
3D打印机
没有弹幕，是因为大家都在认真看
好棒
太硬核了
大佬操作，不会的还是不要试了，不小心戳破了会爆的
卧槽
牛逼牛逼
哇哦
夜以继日啊，这就是热爱吗？
哇靠
看不懂连弹幕都不知道发什么
这是工业级打印机吗？？
这个我好想在ku安看过  主机是小米6的835主板吧
理工科的浪漫
俺也一样
一代神机小米6！！！
什么玩意闪的我烟花
能显示战斗力吗
强啊
酷安 自组电池教程.jpg
2077
2077
战斗力眼睛
我的米6还是那么的完美
牛
深夜刷屏，期待有更好的设计
炒面了。。。（扶额）
大佬
有点硬核
这闪的我癫痫了
调参没调好
大哥申请专利啊
h1 不要了把壳给我
你这是开的太吗，你这是飞的太低
前面的 我不敢试啊，只敢瑟瑟发抖
亿点小细节
这
外放人员前方请开启静音
不会用着用着就boom了吧
第一眼看成Minecraft还有救么
战斗力测试器
宿舍？好家伙
这家伙的战斗力 只有5
哈哈哈，飞，都可以飞
这.......
可以看清我的战斗力吗？
厉害了我的小米6
？？？？？
？？？？？？？？
哉 亚 连 接  器
这个大学才上的有意义，不是天天在寝室打英雄联盟
突然开车
不对劲
同款笔记本电脑
aaa you have
