一播放17点赞B站特色doge
好家伙
出现了，撑船跳！
帅
ohhhhhhhh
foNB!
这次一定
老师：？？？
白       嫖          课
明示白嫖
帅
这次一定！！！！！！！！！！！！！！！！！！！
FoFTG
FoFTG
村民:我**你**
"fo,yyds"
老师：？？？？？
ohhhhhhhhhhhhhhhhh
??你是在暗示什么
谁tm上学打龙啊
666666
但情况不一样，一个正在被追杀
剪刀不是用来挖干草块的，锄头才是.....
BGM：dusk till dawn
fo为防止老师被僵尸打死，自己先动了手，感人啊
所以说学校呢（doge）
帅
25
丝滑
帽子不错
逐渐忘记标题
大制作
别死吹dream了
FoFTG辛苦了
53分
丝滑
带善人！
woc
温柔
这次一定
NB!!!!!!!!!!!!!!!!!!!!
芜湖，起飞
来了
不高考啦
封面笑死
很秀，不过三分钟了，还是要迟到
FoFTG受到了动能（doge）
FONB（破音！）
上个学，顺便解放末地
看懂了，刚刚是在打卡
牛顿快乐岛
我是2020个点赞
气死人
真就dreamxxs新跌呗
卡点舒服
帅
Fonb
2
BGM:Dusk Till Dawn
看到我是你已经是8032以后了
你行你上？
《跋山涉水上学路》栏目组邀请您
禁止白嫖
nb
Fo yyds
ohhhhhh
fo太帅啦~
FoFTG yyds!!
时间到，你迟到了
这次一定
这次一定
飞，起飞，诶
ohhhh
sia！！
FoFTG！
这次一定
没见过ICU的操作，还是你N
WOC
带恶人
不要ky谢谢合作
你们好
应该是放大花世界
6
视频已经两分钟了（手动滑稽）
点赞了
投币了
看简介
额。。ICU是谁
这次一定
看起来好像放学回家更费劲
a\
65746
放学了
首页通知书
这学不上也罢
fonb！！
我是来听SIA歌的
电脑首页通知书~！！！
村民：我爱你
FoFTG yyds
ohhhhhhhhhh
麦块就dream一个大佬？怕不是！没去YT看过其他大佬
烟花加鞘翅等于
你已经迟到三分钟了
只好奇这上学不就迟到了
首页通知书
你迟到了
帅！
Fo哥哥辛苦了
首页通知书
真不错
你已经迟到了
迟到了，所以不投币（doge）
/tp
火钳刘明
FO帅帅帅，FO帅帅帅，FO帅帅帅，FO帅帅帅
火钳刘明
bgm好评
ohhhhhhhhhhhhhh
上个学还要去趟地狱
这波是由重力势能转换为动能/dog
ohhhhhhhhhhhhhhhhhh
Ohhhhhhhhhhhhh
怕不是穷困山区去上学
你迟到了
ohhhhhhhhhhhhh
ohhhhhhhh
ohhhhhhhh
素质3连
导弹视角
上学要把全部地形都走一遍
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhh
这转场了？
ohhhhhh
