啊，我受不了了，再听下去要哭了，我溜了
泪目
人生赢家们
KCL
青春啊
泪目
怀念
哭了
爷青回
啊这，高中的雅思大佬
开始的开始我们都是孩子
哭了
好好好
ohhhhhhhhhhhh好美
好美啊
暴露年龄
第二段真的泪目
泪目
声音好好听
规划前辈！
泪目
好美
这句话真的太真实了
姐姐好帅！
突然泪目
当时6年级
泪目
wc dream collage
感动
毕竟学校就不普通
我初中最爱的一首歌啊
泪目了
全是大佬
泪目
鸡皮疙瘩掉一地
真爷青回
泪目
可是我们20毕业生连毕业照都没有
卧槽
高材生
爷青回
听的时候是三年级现在高三了还有一百多年高考
重新填词了？
考研加油！
哭了
真的爷青回了
唱的时候我高一，现在已经研二。
回来了
重新填了
十年了？
我可以！！！
南京外国语中学去查查就知道多厉害了，，
泪目
雅思…
泪目
当初一遍又一遍的听的唱的歌啊
好家伙
我可以！
破防了QAQ
又美又有才华
国王
wow！
江西的跪着看完的江西没好的大学撑门面
十年了
呜呜呜呜改词了
名校的孩纸都不看b站嘛
我就是普通人，和他们这些人无关，与他们的声音有关，六楼的兄弟过年喝酒啊
感动
DNA动了
爷青回
10年我才10岁
爷青回
十年后的歌
爷青回
毕竟高中就不普通
方丈我爱你
这哥有点帅啊
呜呜呜北京东路
哭了
老师们都很好！
"顾萍！乌龟,"
说国外的，南外学生基本不参加高考
方丈到底是谁
南外
歌词改了
青春啊
初中的时候唱歌比赛班级唱了这首歌
泪目
泪目
真怀念呀
爷青结
这是在看南非世界杯吗
新歌词！
全员学霸
气质
十年
泪目
好怀念上学的日子
泪目
牛批
都好厉害
双非的哭了
谁带着谁的孩子这句....
我听的时候是初二，现在研二了
诸葛大力本力
泪目
这广告再来一打
这句话戳中泪点
爷青回
卧槽
爷青回
破防
高三已经离我五年了
学姐！
刚大学毕业，想回去读书了。考研吧
全是学霸啊
伦敦国王学院！！！！！！！！
唉，生来不同啊，农村孩子表示我理解不了这样的人生
卧槽 没听过这句
泪目
在南京读大学现在回家乡的人看到这里好亲切
高一班歌，转眼七年了
荣耀牛批
哭了哭了
爷青回！
都太优秀了吧！
555555.我的小破湖
新歌词
感人感人
去个911
南师附中毕业六年发来贺电
！！！！！！！
十年了
泪目
一个班的荣耀
时间过得真快
泪目
泪目了
泪目
泪目
哭了
十年了
你币有了
哭了
上外学姐！
我想你们了
谁能想到十年之后，我从北方的一座老城来到了南京，这座学校背后就是北京东路
初中元旦唱过
哭了
不理解  加一
这句真的眼泪掉下来了
南外nb！
要哭了，这句话太戳人了
最后的最后渴望变成天使
泪目
瞬间泪目。
爷青回啊
爷青回
青职啊
哇 都是大佬啊
！！！！！1
泪目
爷酸了，为什么他们这么优秀
泪目
高中时的班歌
上外
泪目
姿态
泪目
青春联动
感觉这个小姐姐要哭了
高中跟着班级的同学唱这首歌，现在回想起来，，颇有感慨。
泪目
真美
爷青回
好喜欢这个姐姐！！！
卧槽 克兰布鲁克牛x
喜欢梁竞元的刷起来
声音好好听
学霸
保送个锤子，南外申请没有那么强
含泪打卡
一群大佬
爷青回
太厉害了
呜呜呜
梁竞元最美了！
这个画面好好看啊
泪目
爷青回
这个真是爷青回
牛牛牛
天科大排面！
泪目
哇 上外！
南外在南京被称为“无冕之王”
芜湖
中大排面
爷青回
当时唱这首歌，全班都疯了一样
南外和家庭条件关系不大，是南京最好的生源
啊啊啊啊梦回高中时代
还记得这首歌我四年级就知道了
想哭
十年后“原来我们真的独自浪在中国外国不同地点”
爷青回
好有个性的设计师小姐姐
爷青结
余本义！！
我可以
在海外看到母校大门真的想哭
我的青春啊，泪目了
也太牛逼了
学姐
泪目
顾萍乌龟大师呜呜呜我好想你们
泪目
wtybill
泪目
哇校门口！泪目
泪目
南京市二十九中毕业4年发来贺电！
高中毕业5年，不知不觉走出了好远
爷青回
泪目
啊泪目呜呜呜呜
泪目
就是忍不住
泪目
泪目
这句爆哭！！！
我去，这产品经理这么帅的嘛！？
爷青回
这就是疫情新闻里常说的大学
曼彻斯特大学表示熟悉
曼彻斯特大学表示熟悉
姐姐好酷
是走程序还是直接哭?
明年也要从whu毕业了！
泪目
荣耀牛逼！尽管与华为离婚了，祝前程似锦！
都是逆生长
北京东路的人泪目了
爷青回
现在大二，泪目
鸡皮疙瘩起来了
BQ1632报道 不会忘的放心吧
爷青回。
哭了卧槽
这句好有词好应景
今年大学毕业
爷青回
泪目
！
太飒了
金陵中学毕业三年打卡
汕大nb
这个班的人好少，小班制果然出人才
泪目
类目
我的校服也是白色，但是去年设计了新校服已经完全变了，感觉回忆要没有了
南外申请没那么强是我没想到的
泪目
时间真是不经意间跨过我的人生
他们笑得那么开心，我却哭花了脸
泪目
泪目
哇 农大
救命 我在这都能看到雅思我服了……
好美
泪目
泪目
爷青回
看见弹幕高中 我觉得我老了 爷是初中
2014级淮阳一高27班同学们留念
那年我在邯郸市永安中学读初中
上外啊
这就是原作者改编的了
哭了
泪目
泪目
泪目
