前排报道
来了来了
热乎！
来啦~！
热乎
592
终于等到你
来了来了
nb
反复鞭尸
有矿
先投再看！
好耶
来了来了
富婆
AMD NO
haoye
2060s呢
大脸盘子来了
来啦！爱啦
来了来了
ohhhhhhhhhhhhhhhhhh
来啦
Ohhhhhhhh
来了来了
surface 玩2077秋梨膏！
1660ti和1660s差不多呗
牛逼！
跟我一样手柄玩家
虚空卡可还行
虚空显卡哈哈哈哈哈哈草
ohhhhhhhhhhhhhh
16落泪
我没开弹幕？
壕狸
盘姐姐好
战地BGM
热乎
打脑壳好评
来了来了
A卡呢？
ohhhhhhhhhhhhhhhhhh
Ohhhhhh
650ti落泪
760
来了来了
直接三联先
老婆好
ohhhhhhhhhhhhhhh
终于！1660ti排个队
ohhhhhhhhh
1070ti不慌
r热乎的
基本没牺牲画质啊
来了来了
+。30
哈哈哈哈虚空可还行
ohhhhh
热呼
666
dlss yyds
3090党狂喜
ohhhhhhhhhhhhhhhhhhhhhhhh
来啦 热乎的。。。。
高产
nice
虚空卡 仰望
都认真看的，哪还有时间发弹幕
阿狸狸
rx580
这句话啥意思？
我爱你阿狸，你太棒了
3080等待已久
打脑壳
脸盘姬
头疼的意思
我960M呢
阿狸狸
rx580呢
我的就是1060
1066来了
3090:我还需要优化？
ohhhhhhhhhhhhh
爷青回
3090  4k狂喜
祖传BGM
千呼万唤始出来
哈哈
终于等到你
580怎么办
2080s 怎么办
来了来了
A卡呢
刺客信条英灵殿的优化了 等好久了
终于来了！
来了老婆
580何在
好耶
ohhhh
就是让人头疼的意思
来了来了
超梦有好的吗？
来了
哇哦(・◇・)
大脸盘子姐姐好
玩了，我是9100
580呢
战地bgm？
虚空显卡：指30系6000系
爱了爱了
太好了
那gta5呢
....
终于来了
萌萌哒
580能玩吗
战地4
我核显呢？
啊 原来是这个干的好事
gta5以前说过
战地BGM。。。
打脑壳!
好好听
1070
OHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!
体积云和体积雾在很多游戏里都是帧数杀手
OHHHHHHHHHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!!!!!!!!
阿血巨讨厌这个景深！
2070S狂喜
0
阿狸好漂亮！
HD630呢
欧霍
BGM一出就在摇头233333
好耶
我要2k呀
ohhhhhhhh
太nb了原生都胡优化竟然不胡了
爱了爱了
就等这期呢
666666
ohhhhhhhhh
Z
我无脑全开最低
来了！
老婆好
终于等到你～
1660s呢
这个恐怖的推镜
还在用970
就等着看你的优化呢
我的2060super呢？
i了i了
3080同问
460请求出战
终于等到你
gta5看之前的视频，有讲
等你好久
GT610 4k可以吗
我480呢？
牛
亿点点
太强了
蝶1bgm?
哈哈，打脑壳
男友4音乐，爱了！
亿点点
ohhhhhhhhhhhhhhh！
终于等到了~！！！
！！！！！！
战地！！！
我说呢老有拖影！
ohhhhhh
来了
ohhhhhhhhhhhhhhhhhh
先三连
来了来了神优化
反复鞭尸哈哈哈哈
BGM去COD现代战争三部曲找 我记不得是4还是6的了
？
爱了爱了 我的2060super
阿狸nb
1660s用户落泪
有救了！！
1660super在此
3090就不需要优化了
暴涨
580呢
2080s要怎么设置
6666
！！！？？
？！
3090同问
590能m么
ohhhhhh
OHHHHHHHHHHHHHHHH
来自虚空的科技
ohhhh
老婆流批
盘子姐姐好
万岁！
我真的哭了 有救了
750ti呢
1070tu
来啦
rx580稳定30针
终于等到你
rx550低头路过
让人打脑壳
你是老爷！你们都是老爷！
哈哈哈
信条式优化
终于来了
ohhhhhhhhhhhhhhhhhhhhhhhhh
我就是小可爱！！
ohhhhhhhhhhhh
750ti倒了
Ohhhhhhhhhh
960来学习一下
MX150 前来挑战
哇塞
吐槽姬已阵亡好几期了
580?
2080ti
哦hhhhhhh
2070s狂喜
2070 GAMING Z路过
3080狂喜
牛
1050能玩吗？
2070S正好需要优化方案，赞
1070ti呢
3090怎么设置才能最高画质稳定60
2060想2k有点想多了。。
我2060有救了
老婆好
同款2060！！！
太好了！
1080ti 已被开除卡籍
终于等到我老婆发的优化指南了
鬼知道这句打脑壳我听了多少遍
2070？
我RX580表示不服
2060勉强能玩
老婆我来啦
终于等到你！
980TI
ttaibag
阿狸狸
3090开全高我只有80帧，需要
+
++
1660s终于来了，泪目，看了好多都抛弃了1660s
CPU真的得i7me
666
1080ti呢
亿点点
我爱你！
580呢
580很生气
1080呢
1070ti
ohhhhhhhhhh
终于等到了
好耶
2060s呢
2070呢
起飞！
光追有嘛？
750t能玩吗。。。
2070，关了屏幕空间反射，直接起飞。谢谢老婆~~~
普通的2070呢
来了来了
750同问
Ohhhhhhhhhhhh
1066的用户正在专心一致的听讲中
热乎的
来了来了就等着呢
DLSS ON
盘子姐姐么么哒
980ti呢
NB
300块钱升级显卡不好吗。
1050ti泪目
ohhhhhhhhhhhhhhhhhh
爹4主题曲好评
2077显卡才能玩2077
老婆！！！
同为成都人，我觉得你的打脑壳很可爱
960可以吗
1070照着1060调就行了
我特么970
1050
这个挺明显的
专业
90系怎么玩2077...
来啦
来了
老婆
来了哦
COD6的OST
盘盘好
1660ti表示不慌
1660ti：明白了，这就去跟2077对线
大脸盘纸
爱了爱了
哈哈哈哈哈你好像我们英语口译老师，漂亮
离谱！！
大脸盘姐姐好
老婆好
光追个人觉得关了好，低端显卡来说
2080ti来了
我还以为你的主流卡是普普通通亮机卡1080ti起步呢
2060勉强
580呢
我上电视了
1070???
750Ti呢
1080TI！
6600gt呢
590能60帧嘛
确实，把体积雾体积云开低之后效果好很多
2090
2060
2070落泪
投币了
阿狸牛的！！！
666666
我的天！币到！
Ohhhhh
nb
584呢
1066狂喜
终于来了
如何显示帧率
卧槽
584可以玩吗
战地祖传放屁电音
ohhhhhhh
我290X
588
来来来
588哭
体积雾关了怎么感觉看起来更舒服了？
!
"7890+,"
哇 终于来了
我2060S毫无牌面
NV1能60帧吗
ohhhhhhhhhh
3060ti狂喜
感动到哭
我1050
2070s无所畏惧
笔芯！！！！
580？
大脸牛逼！！！！！！
960怎么说
虚空显卡哈哈哈哈哈哈哈
亿点点帮助
头大的意思
这些人是怎么搞到3080的！！！
超极本核显能玩吗？
开了dlss超级性能
你只要说1050 1060 就行了，后面那些...
uhd630能玩吗
脸不大啊啊啊！
太好了有3090
580 ne ???
这个评测才是玩家想看的
我970能玩吗
我只有70帧
RX580
580？
165
、
首页通知书
1050ti还能继续战斗
580
明天试试我的470试试
这次就光追狂吃
四川话
580来一个秋梨膏！！
我1060已经全低特效了还是ppt老离谱了
580秋梨膏
听到这个音乐戰地風雲4走起
打脑壳就是“头痛”
1050ti来啦
这里的bgm是啥
590~~
580怎么说
2060想开光追
卧槽，配置完全一样
1060狂喜
讲道理我的960还能再战五年
1070ti很疑问？
全关70
ohhhhhhhhh
老婆
说到重点了。给你投币。体积雾、屏幕空间反射，AO一共三个。
哼，哼，啊啊啊啊啊啊啊啊啊啊！！！
哈哈哈哈虚空显卡
祖传刘海
来了来了.听到我的请求了
2080S求问
68xt????
3070来了
2080S枯了
果然还是2K性价比高
2070s狂喜
1660ti
我3080也就2k60
阿狸666
预计热门之内
960M别无选择。。
588可咋整
fqy
ohohhhhhhhh
收藏了，真的有用
+
啊狸nb！！！
3070来了
老婆老婆
大盘子
580落泪
来了来了
4000
我970明明还能战！快扶住我！！
RX580
1050 2g欲哭无泪啊
Rx580
