肖恩翻译得好好！
好听
不能说翻译，应该说填词填的很棒
好听好听！
哭了
Singing more 
美丽！
Nice!
down*3那里太好听了
beautiful voice
Wonderful
好仃~
词填的也太好了吧 唱的也让人起鸡皮嘎达 宝藏！
姐姐弟弟的音乐天赋都绝了！
好听啊啊啊啊
crazy like l am now
真的好棒
wow
马上就去复习电影！
好好听
哈哈哈 自己给自己和声 好优秀
I love this!!!
好好听
好棒
鸡皮疙瘩
so beautiful
棒呆！
love you
I'm coming！
词好棒！！！
感动
太好听了
哇这段！
鸡皮疙瘩
好好听
太爱了，Love that！
高音太好听了吧！！！！
好听好听
开头见
有感觉了！Felt！
好嗓！
太好听了啊啊啊啊
OMG！！！！！
唱的好好！！！！！
哇偶哇偶
低音也好好听！！！
比肖恩声音还好听
和声是中文版的词
Sooooo beautiful
好听！
wooooo!beautiful!(≧∇≦)ﾉ
GOOD!!!!!
GOOD！！！！！
好听！！！
ohhhhhhhhhhhhhhhhhhhhhhhhh
太强了吧
amazing!!!
太美了
"your voice make me lost my mind, eveything is so beautiful"
填词好棒！
great
好有感觉
好听
Great!
爱了
来听啦！！！
太好了听了！！！！！
后脑壳发麻！太好听了
肖恩的填词绝了！
妹妹好漂亮啊  兄妹俩人颜值高就算了唱歌还这么好听
好美！
可以的
唱得好好听
绝了！太好听了
肖恩的填词真的好棒
太厉害了！！
好厉害！
这个值得上首页啊，朋友们
哇哇哇
❤❤❤
茉莉花超棒！！！！！
好棒ヾ ^_^♪
作词好棒！唱的好棒！
好好听啊
太棒了
"OMGGG, ITS SO GOOD "
太好听了
NIUB
瘦下来绝对美
太太太太太太太好听
全身发麻
好！
好听
！！！！来了来了
忘了原唱是啥了。。。。。。
终于更新歌啦
good
you are so amazing
ohhhhh好听
the lyric is awesome
好听
这段太爱了！
so great!
厉害的。
尾音好棒
可以出专辑了
天籁之音
好听，谢谢
卧槽，鸡皮疙瘩
词填的很好，唱的也很好听，支持
好好听！
Woooooo
背景里肖恩的和声也好好听
好听
我币没了
nice
你应该穿的像一朵花，颜色艳丽才配得上你
词填的特别好
填词好棒唱的也好棒！！！
sooooooo beautiful !!!!!!
amazing!!!
fantastic!!!
我看懂填词了
Into my heart
词写的好，唱得也很棒
就问大家这是第几遍
好听
love
○○○
好听哇咔咔咔
太有赶脚了
amazing song！
唱的也太棒了！！！AWESOME
i love this !
好有力量的声音
赞一个～
进我的收藏夹吃灰
好听啊
超级好听！
bravo!
666
shaun填词真不错
天使吻过的嗓子
nbnbnb
妈呀，我的鸡皮疙瘩
好棒
两个宝藏up
赞赞赞
太好听了吧1
你真的好棒！好喜欢你!
鸡皮疙瘩起来了
热门预定
音乐没有界限！
有点紧张
鸡皮疙瘩一阵一阵的
啊啊啊啊啊啊啊啊！！好听！！原地飞升！！
good
太好听了，天使吻过的嗓子
fabulous！！！
这个填词i了i了！！！
amazing voice
I love it!!!
天籁之音，填词超棒
nice necklace
jasmine i love you so much
哥哥这时出来拿帽子收钱就完美了
开口跪
"i  kinda want to name my new doll jasmine, like after you"
太好听了
音乐无国界啊
是天使吧
鸡皮疙瘩
高音稳
大佬牛批
♡♡♡
不错子
i love this soooo much！
好听！~
梦幻组合
美美哒
好听
眼睛亮闪闪的像星星一样
今晚我就要在网易云上听到这首歌！听到没有！
hao !!!!
nice
哥哥词作得好好哇
voice is so good
火前留弹幕
好好听
"6p6p,词和歌都超棒"
唱得好歌词也好
这句词太绝了
ohhhhhhhhhh
好好听
it's very nice
nice
好听呀
渔民报道
❤️
音色好空灵
美！
wow
very nice
忘了原唱了
这个音色真好啊！
鸡皮+1
好听，词也改的不错
太好听啦！
welllllllll
wow
666
词填得不错哟
预定了o
6666
大佬
填词太棒了
挺棒的
bravo
这身材，这脸蛋！！！
太棒了
nice
amazing
歌词厉害了
太棒了
好温柔
渔民觉得好听！
i lost my heart in the significant voice
好棒啊！哥哥也是！
哇，这不错啊
感觉升几个调会好一点
再来一遍
洗涕心灵
必须赞一个
好好听
好听
为什么我哭了
盖里老哥？
太好听了
好听，加油
这大妹子有点东西啊
音乐没有界限
真的赞
很可以的
啊啊啊啊
goooooood
能复习英语唉～
gorgeous
填词真的好棒！唱的也好！
good
还是觉得邓紫棋的更好叮
闭上眼睛想象浩渺宇宙
The voice of an angel's kiss❤️❤️❤️ ❤️❤️
肖恩的词真棒
好听~
三连！！
这个又得火了
Jesus
还可以
Amazing
好听！
好听
天呐
Bravo 
太好听了！
wow
太棒了！
好听
中 英歌曲都可押韵，咋就韩国 日本的听的像断句
开口脆
头皮发麻
Amazing!
good  i  like 
三连
牛皮
填词厉害，唱的也棒
可以的
歌词中化的很好，不然他唱不了
唱的很好听啊
好轻松
挺好，就是爆发力不够
