一个弹幕
我想知道歌名！
民风淳朴哥谭市，人才辈出阿卡姆
民风淳朴哥谭市，人才辈出阿卡姆
。
最美的人，用最美的方式，最美的结束
生日快乐
致敬
如果这几个小丑到一个元宇宙的话，那世界早就毁灭了。
民风淳朴哥谭市人才辈出阿卡姆
哈哈哈他的枪好长啊
Why so serious…
让我高兴万分
希斯莱杰永生
莱杰的笑声和杰昆的跳舞无人超越！
牛逼
火钳刘明
"民风淳朴哥谭市,人才辈出阿卡姆"
丑爷，2022了。你什么时候才能醒过来
很棒，看了一部，很喜欢
白嫖失败
小丑撑起了整个DC
嘿嘿！ 你不杀的哈   一切交给你所谓的正义
赫然呢？[doge]
恭送丑爷
不是蝙蝠侠赢了
Why is it so serious? （为什么这么严肃？）
致敬丑爷
断背山就熟悉了
失币之举
致敬
民风淳朴
演小丑的演员都是天才
生日快乐丑爷
致敬，希斯莱杰
小丑！
奥斯卡欠希斯莱杰一个金人
疯起来吧，hahahahaha
参见丑爷
巜好人》比比皆是
士大夫、
生日快乐
有很多人都喜欢你
一路走好
小丑先生～ 生日快乐
希斯莱杰
演技绝了 小时候看黑暗骑士都觉得可怕
致敬
火钳刘明
丑爷，永远的神。
一路走好
走好
小丑与其他反派和英雄不同，他只是个有着悲痛过去的普通人而已
希斯莱杰之后再无小丑！
你从哪里掏粗来的
哥谭噩梦呢？
人才辈出阿卡姆
敬犯罪，敬丑爷
杰罗麦
每天一遍，快乐无限
走好
一路走好！
论演技，历代小丑都是神
走好
致敬希斯莱杰
生日快乐
希斯莱杰
恭喜你发现宝藏
我只爱杰昆杰克
哈哈哈哈哈哈哈哈哈哈哈哈
敬犯罪       敬犯罪        敬犯罪
敬犯罪
看到希斯·莱杰作品是我一生的荣幸
每天亿遍
梦开始的地方
致敬永远的小丑  希斯莱杰一路走好
最爱小丑了，因为我就是小丑
抓住人心的反派
丑爷才是主角，蝙蝠侠才是配角
hahahahahahahaha
丑爷，一个和蝙蝠侠约战无数次，多次在战役中取得优势
承包凤凰叔
42年了！
致敬
生日快乐
这歌叫什么？
终于可以发言了
希斯莱杰社会我丑爷
他不只是小丑，他是我们心中的英雄
生日快乐
致敬
我要这币有何用
唉！！！！！！！
希斯莱杰丶荣获传奇称号《永远的小丑》
再来亿遍
爱了爱了
承包杰罗姆杰罗麦了！
这个剪辑我吹爆
进站两年 头一次真的这么想投币
为卡梅隆增加弹幕
up剪的很棒啊
300w助攻
天妒英才
吹爆
太棒了吧
是阿卡姆之城
1.25倍数贼好看
1.25倍数，全新世界贼好看
此生无悔入DC
神仙转场！！！
吹爆！！！
敬犯罪
好舒服
再来亿遍
新电影《小丑》是一个独立宇宙，不是主宇宙
内皮尔，DC新作《小丑》缘起的主角
建议1.5食用.....
建议1.5食用
1.5食用超爽
节奏感十足哦！
火钳刘明
帅帅帅帅帅帅帅帅帅帅帅帅！！！
踩点爽
棒
疯狂踩点
帅
我爱杰希斯菜杰，真的帅，确实演的好，偶像！
带感~~
每日亿刷
致敬
硬币送上
up加油
每日一刷
表白joker们
Here is to crime
敬犯罪
杰罗麦这把刀在哪里买
再来亿遍
我最喜欢的小丑之最
杰罗姆！！！
三连奉上
全程燃点
杰罗麦吧
杰罗姆小天使
踩点儿好评
阿福！哥谭阿福！
优秀的踩点
牛B哦
先投币再看
马上新的小丑出来必须要刷啊
哥谭镇的小丑那？
好喜欢希斯莱杰小丑舔嘴唇的动作！！大爱！
啊啊啊啊啊啊我爱这个！！！
再来亿遍
丑爷也太帅了吧
I'm the boss
抱走哈莉！
莱杰生日快乐！！！
帅的一塌糊涂
太爱这个枪声了
我爱这个！！！！
节奏非常好
这个摇摆好骚
1.5倍，很给力
啊啊啊！杰罗姆！！！
杰罗姆好帅！！！！！！
表白哈利
再来亿遍！！！！
66666
每个人心里都住着一个小丑
莱托吹爆
RIP
希斯莱杰！！！
期待小双双回群，看到了回去一下呗！迷途立
啊啊啊啊啊啊，莱托少爷好帅！
最爱莱托少爷，超帅！
我还是最爱丑爷
帅
断背山
走好
莱托少爷♡♡♡
每日亿遍
人杰地灵哥谭市
民风淳朴哥谭市
莱托我吹爆！
莱托少爷！！！【破音】
踩点太棒
吹爆希斯莱杰
最后一遍就滚回学校了
再来看十遍
敬犯罪
踩点狂魔
踩点
好燃
感谢up
希斯莱杰的情圣很好看
UP好厉害
太爱这个转场了！！
再来亿遍
杰克牛壁
人杰地灵哥谭市
每天亿次
小丑只是不想玩了，他只是先去帮蝙蝠侠搭理一下哥谭市而已
杰罗麦是我的！
帅
莫名同步了
敬小丑
杰罗姆啊
动画 和 游戏的小丑都有 厉害了
莱托少爷巨帅
希斯莱杰
I'm the boss.
火钳刘明
这里衔接太棒了！！
每一代小丑都好出色呀
我也笑了
难以超越
今天，就是小丑粉的过年！
BGM：《Lock Me Up》 - The Cab
全体起立致敬，真正的丑爷
流弊啊
表白小丑
泪目
致敬
生日快乐
此生无悔入dc
小丑真的帅！
生日快乐，敬小丑，敬希斯莱杰，敬他的一个个经典，敬他用生命铸就传奇
小丑会不想玩，他最爱和蝙蝠玩了
无限循环
永远的希斯莱杰
表白
帅.
大爱小丑
好多变的演员
真的带感
这踩点好爽
走好
he is legend
拥有伟大成就的演员~~~
已三连，生日快乐
麦哥哥！
谢谢带麦哥玩！
致   希斯.莱杰
杰罗姆小天使！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
疯狂踩点
awsl
好帅
刚才还在摇头晃脑，现在泪目了
再来亿遍
戏路超级广
火钳刘明
致伟大的演员
尼科尔森最经典
强势表白杰罗姆啊！！!
人间本是上帝考验人的地方，上帝看希斯莱杰太棒了，提前把他带回了天堂。
这踩点
dc dc dc dc dc
致敬永恒的希斯莱杰
生日快乐
生日快乐
生日快乐
赞
每天刷
每天几刷
生日快乐
生日快乐
生 日 快 乐
真帅
OMG
生日快乐
求BGM
生日快乐
走好
生日快乐
1.5新世界
迟来的生日快乐！
1.5倍新世界
up辛苦了！
希斯莱杰社会我丑爷
生日快乐
迟来的，生日快乐
吹爆我出租车乐队
断背山活到最后的人
生日快乐
鼓掌声踩点了
生日快乐
生日快乐
杰罗姆杰罗姆杰罗姆
生日快乐
生日快乐
生日快乐
生日快乐 双面人
三连致敬
生日快乐！
生日快乐希莱斯杰
生日快乐希莱斯杰
生日快乐
生日快乐！！
生日快乐
生日快乐
迟到的生日快乐
跪求bgm
BGM:LOCK ME UP
舒服
我终于可以发弹幕了
这个小丑是哪部的呀
hqlm
此生无悔入DC
希斯莱杰，丑爷，走好，愿天堂快乐
DC 漫威我都爱
DC 漫威我都爱
生日快乐
那么严肃干嘛，孩子?
那么严肃干嘛，孩子?
踩点
那么严肃干嘛，孩子?
生日快乐
表白小丑女
生日快乐
生日快乐
生日快乐
生日快乐
断背山
我要这银币有何用
生日快乐
踩点满分
永远的希斯莱杰
生日快乐
