点错了
乔家五个倒霉蛋的歌？！
弹幕冲！
《什么事都见过》
萌萌送的手套从未换过
火速赶来
节奏太好了，这就叫专业
哭炸
占个前排！！！燃就完事儿！
刘丹老师的演技真的教科书了
泪目了
5
5
5
5
5
5
5
5
5
放开我
5
5
5
5
5
5
5
《准备药检》
电影的节奏~！！比看电视剧更有代入感！！
5
5
5
5
5
5
5
5
5
5
配乐绝了
5
5
5
5
5
5
5
5
5
剪出了 双循环 的感觉！！
5
5
一定要看到最后！！
5
5
4k 画质 我焯！现场拍的吧~
绝了绝了
5
5
5
5
5
5
被人像垃圾一样，清扫~诶
5
双线循环
吓我一跳 以为要炸
5
5
5
5
堕入濒死空间
5
5
5
5
5
这里魔改了！
5
5
改写 双线故事
5
5
5
5
5
5
5
5
5
5
5
5
5
5
腹黑小河鱼！
5
5
5
5
5
2
5
5
5
5
5
5
5
5
5
5
5
你币有了
周深！！
刘鹏，这里终于有你的镜头了
面对死亡！谁又不是第一次碰到呢！！
up主爆肝剪的视频！
火钳刘明
张警官太好了
BGM犯规了
剪的真的炸，这个三连很难不给你
谁炖肉呢
是你拍的吗？？？？
准备药检
这个地方！是贝多芬的月光变奏曲！
哇
我的天
我的老张！！！
回到光亮了呜呜呜
啊啊啊啊啊啊倒放！
哈哈梦回乔家
BGM:周深《生活总该迎着光亮》
周深又唱歌了
罗永浩？
锅姨演的太好了
不三连都对不起这个神剪辑
火钳刘明
刘鹏太不容易了，颁奖典礼都没有邀请他
bgm生活总该迎着光亮 乔家的儿女主题曲
这歌犯规了
小白成反派了？
太燃了！！
牛
周深！
是月光
？突然出现周深
剪的太好了
老张——！！
呜呜呜泪目
太牛了
双厨狂喜【小声】
“你要爆炸？来爆一个试试？”
乔家的儿女
活下来并不是被解救
鸡皮疙瘩
倒放诶
响了十二秒的电话没有接
剪太好
又想哭了
卡农
剪得太好了
剧中的每个角色都塑造的很饱满
我在想李诗情的辅导员是不是也进过循环
火钳刘明
大片
绝
那个疯子教你这么剪片的？
迫害完帕赫贝尔又来迫害德彪西
你要爆炸？你炸一个我看看！（doge
电影大片既视感
我关注了吗？
周深！！！！
哈哈哈哈周深的歌串台！！
大光亮！
哇，这个歌词好合适，一家人，包容，体谅
丹姐就是NB
好棒！
那时候锅姨眼里充满了善良
周深生活总该迎着光亮
带耳机！
生活总该迎着光亮
都是正午阳光的
78tuio
+\\-+
BGM正午阳光《乔家的儿女》主题曲《生活总该迎着光亮》
双循环不该是王德兴为了保住李诗情又能伸冤吗？
老张才是这部剧的核心~
火钳刘明
牛啊
吓到我了
卧槽
呜呜呜呜呜呜
你是怎么认识萌萌哒
bgm让节奏一下子转变了 好评！
woc 这里bgm太神了  在心上点了一下的感觉
很牛！
魔改什么？这是蒙太奇手法
恭喜你发现宝藏！
火钳刘明
好牛啊
149
哇这个回头剪辑我的鸡皮疙瘩
