一播放四十赞哔站特色
恭喜恭喜
恭喜十三
这个感觉更难
关上前10分钟的大门
好帅！！！
要保重身体啊
加油啊 永远支持你
他们可能会超越你的成绩，但超越不了你付出的努力
好帅
NBNBNBNBNBNB
助力每一个梦想
好耶！是十三
不用被别人认可，自己喜欢就好
助力每一个梦想
恭喜十三
十三帅啊！
恭喜，十三
油~菜~花~
你长这样的脸还蒙什么面 帅的可以
芜湖
三三加油
恭喜恭喜
半小时
我要这硬币有何用
牛
恭喜恭喜
加油！
恭喜恭喜
梦想实现往往需要日积月累的磨炼
格局大了
卧槽排面
加油
助力梦想
助力梦想
助力
没戴面罩。。。
硬币不投，要之何用
我永远挺你！
恭喜
致敬
前面的，可能怕影响工作之类的吧
好帅
一个小时放进岩浆里探探还可以支持一个小
恭喜恭喜
啊？约定超人？
辛苦了
加油
太帅了
恭喜
恭喜范十三
666做自己加油
加油
加
加油
加油
加油
恭喜十三
牛
加油
恭喜十三
13牛逼
我靠，帅哥！
助力每一个梦想
范十三最强！
助力每一个梦想
天津人大多挺热心的
好帅啊
加油
恭喜
臆造品
并不好（指成功破了记录）
恭喜十三
真的好帅啊
十三加油
帅就完了
去拜师吧 不然可惜 你想做一辈子业余？
助力梦想
加油我们儿时的梦在你身上
你并没有什么特别！「什么都不是」！！所以才称得上是特别的存在！！！
有被帅到关注了牛逼
梦幻联动
居合斩
加油
恭喜恭喜
永远支持你！
哇塞1000＋
好帅
加油
恭喜
十三加油
你是最棒的
加油
好帅啊啊啊
助力每一个梦想
帅啊
一根棍子一片油菜田一个下午一手泡一顿打
恭喜恭喜
加油加油加油
看我把防御点满了。
太难了
终于露脸了
有梦想谁都了不起
加油
a4克星
我们四川的。
燕十三的传人吗
哈？之前还有人说特效，原来是真的，牛啊
成功者，恒心也。
恭喜
哇，十三帅啊
帅的！！！
曹颖？
哈撒给
加油
好帅
好强
帅的
双龙闪！？
加油
这肌肉记忆，牛逼
好个十三，名字也透着侠气
棒棒棒
哥哥好棒
古龙笔下的侠客不过如此
加油加油
我只想我变成我自己
牛逼
你好棒！！！
梅花十三
加油
恭喜，继续加油
装扮帅气哦
燕十三
woc男神
恭喜！！
做自己就最棒
NB
加油！
唐环首刀
加油，十三爷
牛逼的
加油!
吉尼斯只要花钱就可以随便选择挑战内容和方式的
wow好帅！
助力每一个梦想
我靠，真去了？
谢谢天津卫视
很棒
好棒
这身装扮有点像小哥 
“唐刀”
台上一分钟台下十年功
这里好帅！！！
求求你别加音效好不
你就是当代剑客！永远支持！
联动
