看到我 你就不是第一课
OKOK
一播放刷到，不愧是我
哈哈哈哈哈哈哈可爱
啊啊啊啊啊小黄袄
“很瘦”
会唱歌吗宝贝
hhhhh4/11
1分钟
小黄鸡！
我邀请的
手法
这拉扯
鸡哥！！！
走，上号！
哈哈哈
哈哈哈哈哈哈哈哈哈
拉扯至死
好的
膜拜
四分钟，烫手
芜湖芜湖
rookie哥
4/11 是什么hhhhh
rookie哥我来的是不是很早！
义进来全拍了！！！
申遗
rookie！
谁是主角？
为啥我是已关注
ts附体
帅
燃
讲个笑话：每天八点直播
rookie来了
拉扯
这日女是在预判吗。。。。偏的好离谱
简简单单拉扯一波
一个链子没中hhh
啥时候关注的你啊哈哈哈
拉扯
不整那些花里胡哨的
疯狂空链子
链子0/3
拉扯麻了
宝！
底裤看穿
世一球！
这个闪是为啥？
帅啊！
哈哈哈
宋义进新年快乐，加油
高能预警
营业的鸡！！！
酱紫有味？
哈哈哈哈哈哈哈好可爱！
好帅的发条
酱紫走位？
肉鸡肉鸡
这永恩麻了
帅啊
丝滑
这个法条也好强啊，猜错主角了那没事儿了
？？？这样扭的？
 ୧⍢⃝୨好耶
全是手法
rookie666
肉鸡肉鸡
看哪呢，怎么不看镜头啊哈哈
剑魔厄加特，梦回s8
帅
宝贝宝贝宝贝太可爱了
这走位跟脚本一样
什么意思？这什么走位？
帅的！！！
这走位
握草好帅的狂风
哈哈哈哈哈哈哈哈
滋啦
哈哈哈哈
我也要我也要
尬住 哈哈
？？？开脚本？？
经典两球一鸡
洛好兄弟呀
转场牛袜
宋志龙
这距离我是真不敢补兵了，对面显然不怎么玩塞拉斯
你永远可以相信宋义进！
帅啊老宋
哈哈哈
什么叫上中摇摆的绝活？
照着念呢
好配合
两球一姬！
什么意思，自己暗示自己飞机不行是吧
爹！！！！！！！
说日女离谱的人离谱
手法维克托
kid一天能看十遍
我超这运营可以
帅
哈哈哈哈哈哈哈笑死了
蓝洛当然好兄弟了
草
两球一姬！
rookie
义进！！！
关了吧，没意思
哈哈哈哈哈
是不是看提词器呢
送一斤
ts来全更了，rookie尽力在更了，wink在干嘛，
老徐被肉鸡宰了的
萨祢拉人嘛了
完了，蓝洛不是兄弟了
为什么这维克托感觉这么大
WC，热乎的
不回头
？？？？
我焯
没撞墙？
好帅的阿鸡
提词器
带我斗地主啊！
顶部kda的背景有英雄
战绩背景是肉鸡玩英雄
好家伙，你一个人五开打游戏？
为什么没撞墙
？？？
帅啊！
我酱紫
好家伙被他给学会了
帅哥！
无敌手法
@369进来学
9伯
带你上分，4/11/3
法师的神
3000+
你为什么拿鼻孔看我？
我酱紫走位啊
哈哈哈哈哈哈哈我的宝
肉鸡尽力了
19年打格里芬 中单剑魔
？？？脚本走位
历历在目
手法
兄弟们，对面中路交tp了
熬夜波比熬夜波比
帅
闪现过墙？你是假的
这个转场的剪辑挺帅
拉扯
哈哈哈带你上分
经典发条
手法
全是手法
好尴尬啊哈哈哈哈哈
宝蓝来了
宋轶没有进
一直以为是永恩
一来就整活是吧
拉扯烂了
唱歌唱歌！！！
都不知道哪个是你
我邀请的
手法！
看镜头啊  一斤
酱紫走位？
莱纳
666666
这时对面一般会往瞎子背后退，瞎子放E减速拉扯，就不容易A到螃蟹，会给瞎子输出时间
泪目
每次都认错主角
哈哈哈哈哈哈
Kid：爹来！
起飞
哈哈哈哈哈哈哈哈哈哈哈哈哈鸡哥！
他的走位，堪称艺术
rookie闪现不能穿墙的
宋志龙
这不是tp我不是很认可
《瘦》
哪个是你啊哈哈
拉扯烂了
唱歌啊rookie！！
手法
哈哈哈哈哈哈哈
哈哈哈哈
哈哈哈哈哈
哈哈哈哈哈哈哈哈
rookie帅哥
蚌埠住了
哈哈哈哈哈哈哈
推呀！rookie要死了！
他还会不会讲韩文？
只见过鸡玩剑魔
一局有10个肉鸡
看高手操作就是舒服
66666
啥呀？宋义进你是要笑死我吗？
kda上吗不是有吗
鸡仔！！！！
哈哈哈哈哈
好的肖央
这剪辑做的不错呀
小黄鸡哈哈哈哈阔爱（*/∇＼*）
好帅的剪辑
手法
好帅
走位绝了
帅哥
我是IG的中单 ROOIKE~
！！！啊啊啊肉鸡！小姜快了吧！
kda有英雄
。。。。。
鸡，咱能不能看着镜头说话
真男人从不回头看爆炸
肉鸡肉鸡！！！
剪辑你搞我义进是吧！！！
他闪好了
哦原来是肖央啊哈哈哈哈
推啊，rk要死啦
这永恩人被拉扯麻了
院长！
有一说一这个转场剪辑厉害了
手法！
假韩国人
滋啦
走位领先我五个法术护盾
大家好我是IG中单rookie（不是）
哈哈
牛啊宋义进！
我超！至圣！
我寻思这不是看谁秀就知道谁是rookie了吗？
哈哈哈
字正腔圆
369进来学拉扯
一摸一样
咦怎么已经关注了呀
呜呜呜宝蓝的洛啊
up是发条
kda背景是英雄
小虎什么冠军没道理的，都是让人尊敬的选手
两球一姬
要看小钰！
已经尽力看镜头了
有没有一种可能，他真的是永恩
推呀！rookie要死了！
举报，脚本
BGM帅啊
拉扯
rookie的法师！
上面k da的背景板里有他在玩的英雄
现在召唤师峡谷人这么多了吗？能不能给个主城挂了一会儿呀
阿鸡现在好瘦啊
帅啊老宋
他腿怎么那么细！！
？？？？卧槽。
怎么有双buff？
阿鸡你哥哥也站啊
上面kda的背景板里面有他在玩的英雄
哈哈哈哈要笑场了
我擦！两球一姬！
沃日好帅的波比
一斤呐
拉扯
拉扯
theshy来全杀了
宋志龙！
TheShy代练
好帅啊啊鸡！
说说日女离谱的人离谱的人离谱
鸡！！
一模一样
帅
这是在看哪里笑死
这个我看了，对面是奶油，OMG的中单
扯麻了
看到了吗棍狗，阿克尚是这么玩的
说不知道的那个兄弟仔细看战绩，背景是英雄原画
rookie帅哥！
手法
我要看小钰
曲径折跃是吧
好的肖央
kid的蝶
帅
手法
这距离把控，无敌
这飞机TM在逗我
三个打一个被反杀，（）？
r屁
你最好是真的会分享doge
闪现为什么不撞墙
永恩为什么敢跟双buff打
rookie！！！！
哈？
莎弥拉这位置没闪根本跑不脱
把b站玩明白了属于是
欢迎肖央
卧槽洛！
差点忘了老宋是韩国人
你可以永远相信新疆肖央
厄加特：你大招特效比我还酷是吧
剪辑真心不错啊
手法
义进都来了，程璐还会远吗？
永恩被拉扯烂了
手法！
这不是一模一样吗
我超，鸡！
超！鸡！
酱紫走？
龟龟
想起了s8总决赛宝蓝洛挡厄加特大招
你可以永远相信肖央
拉扯怎么说
我猜感谢宝蓝
感谢宝蓝
不知道哪个是的看上面 阿克尚
太可爱了
快推啊，rookie要死了
手法！
双城
rooike尽力了
拉扯麻了
温馨提示:KDA背景后面的是英雄，不要认错哟~
哈哈哈
我带你们打
我真的在拉扯了
这可以啊
你看他干回老本行轻松的样子
rookie越来越帅了！！
带我！
？？？
扭了三个导弹，好走位
肯定是最帅那个是肉鸡啊！
想看小钰
你可以永远相信宋义进，除非他在墙边！
肉鸡薇古丝不是rank贼猛吗
你可以永远相信宋义进！
妖姬皮肤的拥有者
在看啥呢
手法维克托
IG.Rookie→UP主.Rookie
拉扯
为啥不看镜头阿鸡！！哈哈哈哈哈
先e会给反应时间，所以先q拉进距离
酱紫拉扯？
还有shy哥的日常
尬死
尽力了
手法！
这zhuanbi
转场有撸狗那味了
技能都是为了封走位
哈哈哈哈哈哈哈哈哈(
顶级拉车
雀氏蟀
你可以永远相信宋义进，除非他在墙边！
复刻16岁meiko鼻孔看镜头
给永恩拉扯傻了
前方手法维克托
笑场是吧
rookie玩的好极限
@小钰
这丝滑的转场
手法
尽力了
走位走位走位
距离感！
这剪辑好丝滑
义进！
新疆人lukie（小东北口音）
尽力了
有手法的
好帅的剪辑
剪辑的也太丝滑了
好活
这转场做的真漂亮
百万剪辑
好帅
帅哥好
传宋门
题词板太高了
金克丝处刑曲
期待还有仁川相聚的那一天，哪怕他是退役后的再聚首
rookie尽力了
折磨
手  法
小不点大救星
我偏要投币
《Rookie加入BLG》
秀麻了
《戏耍》
这叫拉扯
怎么就五级了？！
手法
拉  扯
哈哈
rooike尽力说了
有  挂
哈哈哈哈
4/11？
宋圣
@KOD
冲冲冲
2球1姬
这飞机TM在逗我？？
我是亚托克斯！你是？
啊对对对空了的技能都是封走位
口语还是这么好
这拉扯
物理法师
好丝滑的剪辑！
走位离大谱
ID翻译呢
酱紫走位?
笑死了
哪个才是rookie啊？
我现在看到阿克尚满脑子都是乔丹
手法
鼻孔看人
拉扯
手法
哈哈哈哈哈
哈哈哈
Rookie尽力入驻了
就你小子叫宋义进是吧
宋志龙
注意看，刀妹在旁边？花15s一直在
转场做的可以
义进，给我当波狗
手法
好扭
推啊！RK要死啦！（破音）
up小姐姐好piu酿啊
哈哈哈肉鸡来喽
关我什么事
你可以永远相信宋义进
一模一样
这波是我在草里吗
这拉扯麻了啊
哈哈哈
中单卡莎来一手啊！！！
哈哈哈哈哈哈
@369
the shy来全杀了
老宋 带我上个黄金
手法大王
这波塞拉斯不是血亏?
蛮王是khan？
肖央，别以为换了一个马甲，我就不认识你
Kod 爹！
快推啊 rookie要死了！
他最近熬夜波比玩的多
这么多名场面怎么上传这些。。
哈哈哈哈哈哈哈哈哈哈哈
好转场啊，肉鸡的后期可以啊
伪一镜到底
你们怎么看哪个是Rookie的？
这波真的像脚本（麻了）
好e
我来带rk打真金白银局！
kod狂喜
哈哈哈
小黄鸡
这永恩也是高手
这剪辑好帅
夺妻之仇不共戴天！！！
卧槽，鸡
eeeeere
e e e e
男枪细节点赞
好丝滑的剪辑
手法维克托
演的好棒啊
两球一姬宋义进
两球一姬doge
纯路人，这口音能是韩国人？？？
这个上号说的太霸气了
这就是手法吗
背台词是吧
友情提醒：不知道主角的看这↑↑↑↑
哈哈哈哈哈，好活！当赏
好!好啊
手法！
被迫营业
他毁谤我啊
拉扯之神
两球一姬
应凶练猛
还有小钰
4个导弹
交闪不追
绝活
一血换普通头不亏
净说大实话
这中文说的也太好了吧
哈哈哈哈哈
问英雄的看上面的KDA啊
V5赢了就可以过个好年了
肉鸡哥
剪辑加鸡腿!
说你会守住ig的一切
帅死了肉鸡！
要的就是这句话
一镜到底
耍狗
哈哈哈哈哈
宋义进站在墙边说的话我可以相信吗？
otto过来学阿克尚
一激光～
IG乐芙兰，皮肤拥有着！
两球一姬！
手法
两球一姬！
不剪一段闪现撞墙我很难认可这是宋义进
手法
百万转场
墙边交闪要撞墙的
“我都没说你”
先r后w秀死我了
肉鸡发条真厉害（滑稽）
拉扯烂了这萨米拉被
萨米拉拉车自己了属于是
感觉有一半的血是被妖姬a出来的
卧槽，鸡！
kid爹！
脚本！
永远可以信任的义进哥
妖姬人柱力
你可太c了
永恩永远的背景板
@你哥
宋义进！！！！
哈哈哈哈哈哈哈哈哈哈
这赛季带v5拿个亚军，就说行不行！
肉鸡已经中国化了
酱紫走位？
卧槽
不愧是你rookie这走位
我的宝
肉鸡
噗
说手法的都社死了
《很瘦》
草，开幕雷击
亚索是Betty
少躲个q就死了，懂了吗？法师有双buff，距离把握和走位失误一点也打不过永恩
酱紫走位？
带我
老宋 你的中单我羡慕
肉鸡！
笑
ike宝！！！
这不得整个妖姬特效
拉扯麻了
我信了
卧槽，这拉扯，顶级
喜欢你很久了肖央！！
妈耶这个拉扯卡永恩q极限距离
放什么rank  比赛名场面都不够放的
蓝
很受
辛德拉的神
6666
帅啊
分儿
莎弥拉底裤都被看穿了
求bgm
推啊
距离感！
手法
都是手法！
究极拉扯
哈
把把c
这不在墙边撞墙闪现，我不是很认可
他太冷静了！
哈哈哈哈哈哈哈哈
拉扯麻了
百万剪辑
看到这里，就发条那个秀
名场面发过了
感觉发条老宋最帅了
哈哈哈哈哈哈哈
一个e都没中
冠军妖姬的含金量
