在公屏打上，上热门
上热门
上热门
热乎的
上
门
布玛！
太强了
克林
饺子
饺子好可爱啊
！！！！
孤寡孤寡孤寡
好厉害
七龙珠！！！
爱了爱了！
龙珠Z
牛魔王，琪琪
炒饭
克林
蓝琪
程龙龟仙人
天下第一武道会人物
逗比忍者
桃白白
占卜婆婆
悟饭
鹤仙人 饺子 天津饭
亚奇洛贝
比克大魔王
天神
老比克 小比克
新时代
z
悲剧塔
纳帕
拉蒂兹
蔬菜人
琪琪
悟饭 克林
天天
那美克
这个腿的比例有点奇怪
基纽
超一
悟空爹
NB
天津饭
直接给币
比克！！！！！！！！！
坐等贝吉塔
贝吉塔！
基纽特战队
红杉军
好吃的龙
大王
夫妻站一起了
哈哈哈，这个蛙神来之笔
人物的腿普遍画的不行
哈哈
哈哈
真的太酷了
up准备玩完整个童年的漫画吗
看老龟的眼神
逗比来了哈哈哈哈哈哈
初一的时候也是这么画，画过一张2k的
这首歌！
看见基纽就想笑
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
手好看
饺子！
拉蒂兹
鸟山明本人吧
大王来了
火钳刘明
标题还是加个龙珠吧，不然不够吸引人
速趴悲剧塔
基纽
大王
超一
巴达克
牛逼
童年
哈哈哈哈
承包空屏
他来了！
悟空看错方向了
最长老！
看到小悟饭就是Z了
人造人8号没这么高吧
肝帝
兔子大王
皮拉夫
红缎带军团
鹤仙人，饺子，天津饭
马上大王了
基纽特战队
会画画牛B  你说你是在漫画书上剪下来的我都信
直接给币
七龙珠赛高
谁说的
贝吉塔
战斗力只有5的渣渣!
辛苦了，已投币，贼喜欢
武泰斗
这个蛙把我炸出来哈哈哈
那美克星
丹迪
七龙珠没贝吉塔的
不会吧，我正好是第1000个赞
卡林塔的人物
悟空的爷爷
鹤仙人
人狼
龟仙人的师傅，武泰斗
魔族
短笛
那叫短笛，不叫比克
波波
龙珠z
界王
阎王
悟空的哥哥
达尔
你们到底有没有童年，那叫达尔不叫贝吉塔！！！
那叫小林，好吧
内陆
丹林
基纽特战队
鹤仙人
坐等欧布
拉蒂兹，贝吉塔
那巴
栽培人呢
我的童年就是贝吉塔，一直就看的漫画
那美克星全员
邱咦
多多利亚和萨博
这个大王有点高
速8赛亚银来了
肝
zzzzzzz
达潜
还有个透明人
基纽特战队
巴达克和超一卡卡罗特
亚索和永恩
都是童年，翻译而已，漫画和动画都不一样名字很正常的
基纽，巴特，吉斯，利库姆，古尔多
爆肝
不错
各位照料一下我的那些乱说话的孩子
童年回来了
死于头发长
非利快来了。
居然不先画克林
魔族还有一个肥肥的很厉害的
兰琪跟小舞中间的是谁？
这都是谁啊，龙套都不放过
基妞特战队转真的好欢乐
还有只萤火虫呢
基纽最帅
大王
巴达克
666
战五渣
好吃的龙笑死我了
现在开始就是热血篇了
魔二代
亚索
这画，原件得值多少钱啊，对于龙珠迷来说，哈哈
你怕不是作者小号吧
太强了，才200个小时
国王
超三拉蒂兹
太强了，龙套都没放过。
都是回忆啊
比克！！
按出场顺序画
燃起来了
少个阿三啊
排面
帅
少了那个武道会主持人
大佬
这是按出场顺序画的吧
卧槽个人认为好像
看的泪目，然后又回去追了一边七龙珠
老比克
说实话我更喜欢龙珠z
真的好厉害啊
战五渣没画
短笛
到龙珠超才是真的
萨博
基纽特战队！
布玛
吉斯
利库姆
巴特
大王
画得太好啦吧
巴蝶
巴达克
liblib
翻译问题，好吧，我都是叫克林，比克
我喜欢画打斗的龙珠，虽然没有基本功
为啥我就不会打草稿
天下第一武道会登记人员的那个
太帅了超一
我正好是第两千赞
带恶人集团，哈哈。
今天刚弄了5星兔老大
出发那美克星。
i了i了
至此短笛融合之后就是最强了。
悟饭！
界王
大王排面。
这画风神似鸟山明啊怕是作者本人
悟空哥哥，
