表白老大
这么好看为什么就没有人腻
人词和故事完全符合好不好
杨幂
这几个镜头剪辑的很好阿
唐嫣紫萱的时候我真的觉得古代美人就是这样，这是她的颜值巅峰
感觉像龙葵专场，比重太大
老娘的童年啊
茂茂啊
自己被自己绿了
妙手小空空
纵使唐嫣演了再多的傻白甜，有紫萱一个就够了
因为龙葵是人气最高的角色
你们不要再打了
小时候一看到茂茂割肉就害怕不敢看
爷青回
真的绝了
空空555
好怀恋啊
铁王座，一吻定情。
剑一是经典，剑三是巅峰
爷青回
爷青回
龙葵最美！！！！！
啊啊啊啊白豆腐
当时看仙剑真的很喜欢龙葵和红葵
三代主题：轮回
其实我还蛮喜欢魔尊的
被邪剑仙吓死
飞蓬和龙阳太帅了
向日葵是永远向着太阳的
仙一最爱酒剑仙
有情有义的人都要回来
这歌我已经不能客观分辨好坏，承载太多回忆
爱了爱了
轩辕剑确实也不错
永远铭记
这兄妹俩～啧啧啧，感情真好
这才是仙侠呀
游戏里，景老板可以说是仙剑系列结局最好的了
茂茂真的哭惨了
好喜欢糖糖
紫萱是巅峰了
爷青回
小时候就觉得重楼妆好重，哈哈哈哈哈哈
bgm太戳了
我要向全天下宣告，我要娶紫萱姑娘为妻！
愿意
仙剑还是赵灵儿人气最高，其次龙葵
唐嫣演技巅峰
这段就是电视剧原曲啊
每个人都有主角脸
得多么又故事的人才写的出的歌词和曲
类目
茂茂的那一段印象最深刻
仙剑龙葵传？
侠非侠，盗非盗，善恶在我心，在下李逍遥
仙剑的结局都太虐了
剑一是经典回忆 剑三是系列巅峰 没毛病
这位道长 我们这里是酒吧
紫萱徐长卿太意难平了
你放屁
每年都要刷一遍
没有仙二
龙葵是我的没意见别
紫萱！
龙葵最喜欢刘诗诗的龙葵了
最喜欢灵儿、王语嫣
这个bgm一起我就不行了
经典呐
刘诗诗好好看
回忆
唐嫣好会
天蓬，不要在打了
啊我也最爱酒剑仙
原来rap的词这么配
晶晶
茂茂啊
哭了
演技巅峰
啊啊啊啊啊啊
紫萱巅峰
啊啊啊啊啊
好棒
重楼
茂茂
三连了
哦茂茂
大爱仙剑
茂茂割肉是真的受不了
喜剧的核心永远是悲剧
腿上的肉555
哈哈，每次看重楼都觉得他好可爱
救命哭死了
龙葵祭剑，我哭了
仙剑巅峰
