没人？
荆棘…土命有排面
烫手
荆棘
看来老外们还是对命运情有独钟啊
经典伏笔
优秀
肯定没人
都玩到天上啦，今晚吃鸡
船新版本
承包屏幕
有人
神作，极其牛逼，火钳刘明
太强了，回来重温
。。。。
火了之后我就是老粉
草！是荆棘！
EDD mounted，let them come
看到这个视频的恭喜你发现了神作！拍案叫绝！
二维码可以扫唉
表面搜车
显示屏酷炫
就是这一帧，扫个二维码呗
男巫！！！
这里也能扫
神仙配合组来了
冲
哦吼
涨粉速度惊人，每刷一次涨粉。。。
这是原作者
热乎
没弹幕?
虚晃一枪
热乎热乎热乎
友情提示，二维码可以扫
粉队是真的强
半条命玩家狂喜
冲
那个是AK大神的御用搭档Sam！
草，老子这么大的一个掩体呢？
有人
这瞄准镜不是废了吗
吃鸡？
终于来啦!!!
请扫二维码
火速赶来
我变色了
这特效爱了
绿字一看就是诡雷玩多了的
荆棘，destiny2
起狙
傻瓜蛋
戈登 你好
哇，一个都想象力也太强了
荆棘！
热乎
冲
草，荆棘！
物理枪？
《4 K 超 高 清 画 质》
进度条恐怖如斯
搜索栏通知书
头盔越粉，。。。。
一小时
火钳刘明
狮城见
@《狂 野 飙 车 8》
卧槽来了
居然没弹幕
@《绝地求生》
哈哈哈
来了来了
@《绝地求生》
@《绝地求生》
火钳刘明
神笔马良啊
按下[F]键打开降落伞
fire in the hole!
发把狙
usp-脑洞大开
nbnb
666
哦牛批重力枪
降落伞都是画的
是重力枪的音效 真的细节
画个托比昂的炮台
这特效还是人
，，，，
nb到炸裂
搜索栏通知书+1
消防队员会让你们知道人间的险恶
ok
神笔马良
哈哈哈哈哈
荆棘 草
超大高达
？？？？？
CW4 QR code
flashpoint
真人版吃鸡
芜湖
粉笔求生
发条步枪？？？
前排前排
搜索栏通知书
哈哈哈
搜索栏通知书
大的要来了
这是直接跳军事禁区啊
搜索栏通知书
搜索栏通知书
荆棘！！！
搜索栏通知书
搜索栏通知书
搜索栏通知书
专业
搜索栏通知书
祝贺
B！F！G！
握草，来了来了
Doom的武器… 
哇
暂停扫码
前排              热乎
绝地求生
重力枪！
我上个厕所就来
hhhh
前排              热乎
6
太牛啦！！！
爱了爱了哈哈哈哈
火钳刘明
合影
扫了是啥
粉笔不够了是不是可以画粉笔啊
考古
留名
来了
也许是从更下边上来的吧？这样的话才可以理解他上来又跳到那个平台，毕竟算是个半封闭通道。如果不是那就真是迷之操作了
哈哈哈
nb
优秀
RCXD
惊了
经典捂眼睛
好眼熟啊233
进度条不简单
哈哈哈哈哈哈
为啥不画遗言
bp
来了来了
牛皮
全境2的响尾蛇！
不要停下來啊
火速前来
半条命的重力枪
为什么弹幕这么少
正主来啦！！！！
nb
粉队刚刚跳伞时挂了一个
神 笔 马 良
狼王?
粉队另一个是刚才的女的啊
 半条命的重力枪
画粉笔的那个  还是你厉害23333、
看到一个二维码
牛逼
荆棘手炮！
这应该是AK大神的好友sam
awm—pink
哈哈哈哈
彩六日常，表面搜车
火钳刘明
由此可见，学美术的重要性
prettier？
水塔重点要考
学了三年绘画
这上去又下来跑了个寂寞
承包
usp-消音
迷惑弹幕
RC？
a1高闪
我起了一枪秒了有什么好说的
Csgo玩家
粉队那个女的躲到仓库里了
优秀
人好多
好家伙，我就看了前三个视频，粉丝从1.8涨到2.3
这车好悬架
a1高闪另一个好吗，秋梨膏
终于等到了正主
➕10
禁止职业选手参赛！！！
3362人出来吧
前排前排
最速白给传说绿队
没挂，那女的还在
张小龙狂喜
搜索栏来
？？？
wc，荆棘
荆棘
nb!!!!!!!!!!!!!!!!!!
M3天龙（doge）
BFG！
所以说维克托和MP90是认真的吗？
gkd
四分钟看一集结果涨了2000粉
23333333
留名
先画一个f键
新鲜
我们历史老师！
起猪了
记住这些记住怪
我天《爱了爱了》
火钳刘明
荆棘
荆棘
wow
没评论？？？
都不发弹幕的吗
这是高端局阿
A1高闪来一个，秋梨膏
二刷
重力枪
1
炸弹汽车
火钳刘明
火钳刘明火钳刘明
去吃个午饭而已播放量又涨两万里
?
wc
zbc
人类迷惑行为
+10
美术生禁止参赛
为什么不画防弹衣
半条命2重力枪
叙利亚汽车炸弹
关键是4k真的好爽！我爱了
画粉笔没用，能量守恒懂吗？
荆棘
期待续集
Bfg还行
啊这
荆棘！
多大了大还玩拌线雷
娱乐模式:带“笔”跳伞
新鲜
就硬捞呗
没挂，就那个女的，走散了
这跳伞有点集中啊
画个核弹
粉笔马良？？？
新鲜的
+10 摧毁敌方侦查单位
两小时两千点赞！
半条命的重机枪
我带你们打
来了来了
记住这个乌鸦要考的
哈哈哈哈
BFG！！！
Bfg
正版
外国版神笔马良
线圈？
线圈？
记住水塔了
终于找到了
woc
记住这个黑人
00
荆棘！！！！！！！！！！！！
说话粉笔的，你可真tn是个人才
金手指。。
这粉丝涨的是真的快 现在关注以后就是老粉了
搜索栏通知书
我是每期必看粉笔暴风战斧
-4750
