大麦哲伦星系！！
晃手机也可以
666
光速是无法超越的
这不是早就超光速了吗
bye~milkyway bye Galaxy
？刚刚好像撞到了什么东西？
bgm悲壮
这已经是光速的不知道多少倍了，玩过space engine的应该知道
nbnb
没看懂
到边缘了
自然选择号前进四
为什么我不行。。。
"Goodbye, solar system"
自然选择，前进四！
没有吧，虽然超光速了，但是银河系只有十光年，光飞十年就行了
突然感觉人很渺小
牛逼啊这个
用手指拖动屏幕试试
酷~
NB
加速了！
早就超光速了..光速要走几亿年才能走出银河系..
不行了怕了我要回地球
自然选择，前进四！
再见地球
666
抬头望天下大雨
哇哇哇这个好厉害
我妈问我为什么看个视频，转什么呢
nb
头顶银河系
同志们，地球在身后!
握草
666
这还不是超光速吧？
空间跳跃
我迷路了，现在在什么位置
不会撞到小行星吗
你们的视角怎么样，兄弟们
晕船
前排：二倍超爽
回不去了
光速本来就很快
卧槽
好非常糊
逐渐可怕
那不是银河系是太阳系
nb
再见了地球
加速，接下来是未知
不会撞死吗？
这怎么看，完全搞不懂
再见了银河系
跃迁等级二     正在加速
啊啊？？
666啊
这样感觉光也没多快
有人
背后是银河系
银河
墨镜戴好了，别让小飞虫迷眼睛了
向银河进发
前进四！
即将离开本超星系团
"Goodbye,Milky Way "
光点是流浪恒星吧
卧槽
超星系团
怎么可以这么飞？
白点是一个个恒星啊
再见了妈妈呜呜呜
自然选择号，前进四
已经超光速了
别瞎说，哪有大麦
有点想吐…
已经看到银河系的外轮廓了！～
哎哎哎我要去哪啊
孜然选择，炸鸡翅！
其实移动屏幕也可以诶
头顶上有一个黑洞！！！！
已经超了
⭐注意:请在APP内观看！！
自然选择，前进四！
他会跟着手机重力感应转！
没有前灯效应吗
这至少100倍光速了，甚至可能上万倍
版本
留名留名ZORO
牛批啊，还带感应
好美
感觉有点害怕
我想回家
前进四！
这里不是家
启动曲速引擎
开启曲速 
m78我来了
穿越到了哪里
前方好像云
卧槽
宇宙太美了
加速
妈妈，我变成了萤火虫
没办法不三连啊
厉害！
你所认识的每一个人，你所见过的一切都发生在这里，但对于本次航行她就像是一颗尘埃悬浮在这几乎无边的宇宙
阿音 我要回地球
银河系，再见
向上看有红色的
我看到卡兹了！！！
再见了妈妈今晚我就要远航
试试关闭360全景模式
光速：一秒到月球
自然选择，前进四
为什么左右和上下移动不河蟹
哇，怎么做到的哇，怎么做到的
哇！！！
二倍速试试
星辰大海。。。
二倍速试一试
祝领航员一路平安
飞出星系了吗？星星少了很多
当你们光速的时候，我已经二倍光速了【doge】
这个速度，至少200倍光速
妈妈，我终将成为萤火虫。
来吧
来吧
妈妈，我要变成萤火虫了
镜像体验好
这是光速吗？为什么没看到整个宇宙几乎都在前方的感觉
正在前往——新川陀
曲速引擎启动
要到银心了，乘客们请拿好行李，祝您旅途愉快～
工程量巨大
我怕，怎么回家
超空间跃迁是我拖动进度条的样子
已经超了几个数量级倍的光速了
已经被陨石砸了几万次
我手机太差了地球都变平了
握草，惊了
我要回家
卧槽
牛逼
再见啦 银河系
快出奥尔特云里
新  伊  甸
准备离开本超新星团
牛批牛批
有人吗
调4K！
回头看银河系
下一个坐标，彩虹海
快达到光速了？
这不是光速啊
再见了，风萧萧兮易水寒，壮士一去兮不复还
用vr
戴拿！
up猪nb
晕车
下雨了
流星雨
手机传感器就可以转动视野
卡卡罗特！
手机朝下一个方块
今年一切顺利
我要回家
卧槽，有操作的啊
AI:您已飞出银河系 正在向仙女座星系方向前进
兄弟们，往你们头上看
早就超越光速了还没那么快
