干得漂亮
没有弹幕
保护
牛逼
肯定是关起门来的黑作坊嘛
保护
保护
保护
提前保护
保护
保护
有点害怕
卧槽，什么奥利给东西
这种就已经破罐子破摔了
人才
保护
你居然还点，太厉害
那么这家店，某团是怎么通过的
血亏
我看不懂好坏...
保护
反复被坑
第一条弹幕
保护
明明，你胆子好大
干得漂亮，投币了
危
⊙非正常拍摄                                                                                              
看上去好恶心啊
我好紧张
直接食物中毒
邹志明
厉害厉害
好紧张
保护
………无语
正道的光
害怕
刺激
傻孩子，快跑啊！2333333
涩会人儿
保护
明明也太刚了，注意保护好自己
好脏啊
保护
我去
老板：真有傻子点我的外卖
保护
同款砖头
必须支持
前排  保护
三连冲冲冲
保护
保护明明！
保护
恶心心
保护
保护
保护
这怕啥啊你占理你还怕他吗，有人录着像大白天的走进去当面对质他还能怎么着
保护
呕“……”
应该先交给有关部门检测
危危危
害怕
保护明明
勇士明
螃蟹的肺都已经呈现灰黑色了。
吐了
保护
啧啧   真受不了，拿着样本来当外卖，服了。。
干得好
害怕
危
三连了
全部都是用冰的加热就卖了
破费了
胆真大
举报啊我去，恶心死了，还卖那么贵
保护
太危险了吧。。。
保护
保护
又亏了
赶紧跑
我必须王奶奶
太牛了
随时准备报警
这样还好，说实话，虽然脏乱，但起码能看，有些店是真的真的不能看，呕
我去，正版的叫冶建镜子龙虾总店，这是盗版
腮是黑色的
曹不匿名你们能保护好举报人信息吗
实名狠人
保護
保护
保护
明明注意安全！
可以报警了
保护
他就是只做外卖的，我以前做过
保护
这种坑一个是一个  可能有点背景
嗯嗯
保护
好活儿
保护
正道的光
保护
我去
保护
？？？？
该死
这些人
保护
正~道的光
注意安全啊，明明
辣椒桶捡到的吗。
保护
老板我给你个大嘴巴子
是刑侦电影吗
保护
加热的
三连了
没看清
所以这里只是一个厨房？
天呐危
恶心
顶一下
太恶心了
支持一波
外面晚上其他大排档收的餐，冰箱冷藏加热二次倒卖呗
不愿意透露姓名的邹志明先生
