好活
哈哈哈哈
好看
哈哈哈哈哈
外面全是成龙
可以的
可以
秀啊
？
啊租
我永远喜欢春丽~
永远滴神
芜湖
火钳刘明
太帅了叭
 好戏开始
卧槽，这么爽的吗
舒服了
哈哈
燃起来了
起～
豆腐豆腐豆腐豆腐
蒙太奇
6
火钳刘明
经典大鼻子
阿祖收手把，外面全是成龙
要一呵为贵，要姜污德
哈哈哈哈哈哈哈哈h
武器大师
转场好评
好活当赏
？？？
劲爆、太爽了
刘明
春丽好评！
成龙：旁边就是家具城你拿什么跟我打
火钳刘明
火钳刘明
好看不火啊
火钳刘明
火钳刘明
花式吃口香糖好评
首页通知书
还说你不会武功
这个转场可以
成龙收了阿祖吧，外面全是格洛克
回合制经典场面
就差二寸啊
龙叔都老了，还记得以前的《成龙历险记》。
小时候老爱看这个的。
紫薯
常威：这话我熟
时间飞了
这部真的把那种老父亲的无力感表现出来了
回到过去
燕尾服？
打斗动作真的太棒了
火钳刘明
？！！
普通人
近五十年了
来了
有创意
转场好评
帅
龙叔 帅气
豆腐豆腐豆腐…
龙叔真厉害
阿祖，收手吧！外面全是成龙，还有18座家具城。。
龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍
龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍
为什么动作总是惊人的相似
都是新片，神话以后基本没看
技术活，该赏
没有开头简直完美
支持一波
自英伦对决以后成龙就没有好电影可看了
周大侠
支持支持支持
龙叔！
龍
龍
龍
求bgm
火钳刘明
一分钟
高手都管这叫不会
火钳刘明
在家具城他能单挑无宝石灭霸
这特么才叫武德
街霸
这个音乐就很棒
又想到了陈龙和韩红的合影（容我做一个战术后仰）
春丽的66666
小时候最喜欢看城市猎人了
帅
外面全是成龙
梦开始的地方
哈哈哈哈哈哈哈
外面都是成龙
最怕英雄迟暮
起飞！
666
这段可以的
哈哈哈哈哈哈哈
牛批牛批
说成龙没好片那个你有什么资格
你币有了
火钳刘明
别说什么坚持一分钟不投币了，我都是看完两遍才记起来的
确实不会功夫 但是会道具(狗头)
我坚持1000年不投币了
没英伦对决？
你真的输了
点个赞吧
豆腐
666666
强
常威，你还说你不会武功！
蒙将军真的顶
这都能卡点就离谱
无缝连接，
无缝连接，梦幻联动
大哥老了
神话！
卧槽卧槽踩点了芜湖！！！！
阿祖收手吧，外面都是家具城
踩点了
龙叔，得服老啊，但是你这一退，后继无人啊
海底
金马影帝
玻璃樽
城市猎人
双龙会
BGM有点吵
师弟出马
吴彦祖太帅了
龙叔！
不你会
舒服了
1.25 发现新大陆
外面全是成龙，你玩完了了，你输了
警察故事走起
我再说一遍，别再东西多的地方和成龙大家
龙叔你币有了
你三连有了
jakie
龙
英雄迟暮
不讲武德
在邵氏基础上升级！进化成龙饰打斗！
你完败了
老孑成功了
这个踩点可以的
我很想投币，但我更想你输。
好活当赏
转场神了
必须三连
发现我全都看过
先坚持个一分钟再投币（dog）
鹿邑大曲
鹿邑大曲鹿邑大曲
投降了
红番区还是好看
投了
你猜我看了多长时间了
收手吧，啊祖
你有币了
好莱坞奥斯卡终身成就奖
海底
没币了下次一定
神话排面
耗子尾汁
new temple
介似醉拳吧
不讲武德
Bgm给的币
我一进来就看见常威在打来福
求bgm
没硬币了
就差两寸呐
龙叔这两年演技封神
你只有1分钟
我记得，《成龙历险记》是我的童年啊
30秒过了
火钳刘明
火钳刘明
燃起来了
梦开始的地方
俺不会功夫的！
前摇太长
好久没有三连了
收手吧，阿祖
收手吧 阿祖
牛逼啊
为啥我都看过
城市猎人好评 超赞 看了不下十遍
龙叔
留给up主的时间不多了
阿祖收手吧外面都是成龙
豆腐豆腐
我投降 我投降
币有了
龙叔yyds不管其他方面怎么样就他电影方面的成就他就是yyds
这个是什么电影 想回忆
这个踩点值个赞
好了投币了
我投还不行么
下次一定
你输了但我还是要投个
龙叔的币肯定会有的，但是我想让你输一下
阿祖的盛世美颜
不  会  功  夫
我不信！
五金店无敌
啊祖收手吧外面全是警察
三十秒未投币
一分钟未投币
踩点啦
百达通
（神奇燕尾服）
（十二生肖）
你输了，我没硬币了
收手吧阿祖
你输了，但因为是龙叔特辑我给你这个b
你币有了
你这人活着也是个败笔
投降吧阿祖 外面都是家具
功夫之王
不 会 功 夫
肥婆奶奶   城市猎人
我输了
阿祖收手吧，外面全是家具
收手吧阿祖，外面全是我
春丽  虽迟但到
专业白嫖
阿祖投降吧，外面全是成龙
龙叔
背景音乐是什么？
道具大师成龙
大家绷住了
下次一定
就凭这首音乐，我给你投币
我一直在想要是功夫片还有这个质量，会没落吗？
龍
收手吧 阿祖 这里全是成龙
我认输
龍
龙叔
他要的是播放量
流弊
冲着标题我就不给你赞了
火钳刘明
收手吧老鹰
当我进来的时候你就输了
昨天的，火钳刘明
成大侠
呃…啊这
我输了
火钳刘明，龍叔厉害
他说我这是吓打得
老常威了
看到乐高了
突然宋小宝
全屏后我坚持了看完整个视频
欧拉
下次一定，不是不投是真的没了
时间不多了
白嫖王来了
大哥
芜湖
下次一定
演员我只承认成龙
真不想他们变老
用心了大佬收下我的膝盖
成龙老了真的老了
我输了
宜家战神
龍
龍
上次给了
的确，成龙在家居城无敌的
我输了
俺不会功夫，就是骑士不死于徒手
点进来我就知道输了，所以我现在滑走
duang
我颠颠又倒倒好比浪涛
阿祖
好家伙燕尾服
起
太舒服了
你币有了
你币有了
主要是没币了
周大侠？
成龙好高
想投，无币
我的替身「白嫖之星」可是无敌的！
白嫖成功
一分钟了，你币没了
周大侠
29秒了撤退
阿爸阿爸阿爸
bgm：Titan
英伦对决
一点都不好玩
点进来就输了
外面都是成龙，阿祖，投降吧
投币了
英伦对决
这就是你视频只有29秒的原因？
duang
燕尾服
第二分钟再投
说实话 成龙代言街霸比较合理
求个bgm
豆腐 豆腐
武器大师龙叔
周小侠
我看到了喜剧之王
龙叔
这个是什么歌
亚西莫拉
道具赛无敌
舒服！
不愧是我不会投币哈哈
周大侠bgm
哈哈哈哈哈哈
不说了，看见成龙直接币拿走
五年白嫖王路过
非常的nice
你赢了
卡点牛逼啊
正片开始
厉害
白嫖真开心
外面全是成龙
你币有了
《玻璃樽》是龙叔最文艺的武打戏了。
好燃
牛逼
龙叔！
BGM:海底！！！
真的吗？我不信
龙叔的主角，我一般先赞后看
30秒了告辞
来骗，来偷袭
燕尾服
午时已到
双龙棍
午时已到
我们比组枪，就赌他的命！
剪的真好
笑拳怪招
你三连有了！！！
大醉拳
我这个新号就3个币，给你了
阿祖，收手吧，外面全是成龙
道具龙
偷袭!
基本都看过
师弟出马
你赢了
巧了，我没币了
真的很喜欢成龙大哥
嚯哈哈哈哈哈
阿祖，收手吧，外面全是成龙！
偶像龙叔
逐渐忘记标题
我认输
1分钟了
视频不错，但是冲这标题你得到了一个踩
阿祖投降吧，外面全是成龙
踩点好评
bgm：Titan
你以为up
不讲武德，偷袭我老二
不讲武德
弹幕护体
必须支持龙哥
提前宣告你失败
为什么要投币
周杰伦！双厨狂喜！
好想宜家找成龙代言
30秒了
动作要快姿势要帅，干净利落，优雅搞笑
大兵小将好评
一代武打先锋
下次一定
周杰伦大灌篮
你壁有了
前面说成龙代言街霸的怎么想的 太恶毒了吧 成龙代言的基本都凉了吧
蛇形刁手，梦开始的地方
最爱的龙叔，
你輸定了
龍
我承認這個視頻很好看，但是為了讓你輸，我必須白嫖！
那个踩的绝对没看完，或者他觉得自己更牛逼
想骗我的币
咏春！！
太喜欢看龙叔了，有机会再再再刷
看到龙叔我就坚持不住了
当面的成龙
真的很无敌
给你币
明天再去回顾下
完了，龙叔上道具了
就冲这标题
发动场地魔法卡家具城，效果是我方8星怪兽龙叔抗性拉满嘲讽拉满攻防拉满，一击必杀对面玩家
你币有了
突然发现两分半了，UP主你输了
我应该是全看过的
我大意了啊！
有点意思，不错啊
这踩点，舒服了
算你赢了，我投币了。
6666
龙叔我愿称你为街战最强
输了 对不起
阿祖，投降吧，外面全是成龙
功夫之王
直接三联
你赢了
宜家戰神
你币   有了
阿祖收手吧，外面全是成龙！
BGM是什么？
籠
我输了
我大意了
我没投
坚持以往我白嫖的性格
最爱谈不上，但确实让人敬重
白嫖的我收藏了
标题不错，你不仅收获了一个赞，还有两个币
燃起来了
快，别让成龙进家具城
当代四大小鲜肉表示不服，你们拍戏都自己上么 ？我们都不用上的
这是啥电影
龙叔啊
神话当年被严重低估了！
不 阿婆主赢了
你怎么会赢
按照传统的白嫖你已经输了
骗进来抢币
怎么都老了
我的记忆都老了
你也是常威？
海底是真的好听
蜂花 护发素是个好东西
bgm牛批
作弊呀，
都看过
输了18秒
没输，不投了
白嫖成功
大哥真老了
我其实不愿意相信他老了
白嫖成功
卧槽
我输了
肥婆奶奶
老银虫
阿祖收手吧
成龙不死于徒手
乱打的，他可不是乱打的
成龙不死于徒手
城市猎人
三连了，我输了
投币了
周大侠
大哥老了
你币有了
一个打几个  行如流水  有备而来
我最喜欢的明星
一代人的青春
全看过
·
《宜家的神》
對，就是這個味 
龙叔老了。
都是我的童年啊
输了，我输了
有这个标题你就输了。
我没投
放手干吧，阿祖成龙已经老了。
哈哈哈哈
你赢了，呃一分钟都看不下去
收手吧，阿祖
你这标题给你输了一个硬币所以你没硬币 其他的给
陈 大 侠
龙叔是宜家大师
卡点好评
喔哦
我大意了啊，没有币
收手吧，阿祖
666
《生活区一哥》
俺不会功夫
我早就撑过一分钟了
一分钟后在投一分钟后在投
一分钟后在投
武器大师
龍叔永远的神
BGM大灌篮！！！
周大侠大灌篮
阿祖，收手吧
我输了
我输了
标题连播放量可还行
戏里戏外都叫大哥的男人
bgm好评
真正的打星已经青黄不接了
就是不投咋滴
收手吧阿祖！
龍
龍
成龙演过的电影我几乎全看过
个人认为成龙电影大部分都很棒，但是部分确实有拉胯的，不过不影响我喜欢
没币了，诶，气不气
春丽永远的神
4k舒服
没有人能在家具城打败龙叔
我为A计划刷一波
就不投
看到他的第一秒，我就知道我输了
让up赢吧~
A计划续集
幸好我没逼
A计划↓
我为A计划刷一波
音乐差评
下次一定
你赢了
我输了
还是很棒的
说实话如果不是因为只能投两个币我觉得我可能会把我全部的全部投出去
BGM
BGM:Titan
英雄迟暮
哈哈哈哈 好逗
解忧杂货铺
龍
一盘好菜
电影界全才，奇才！一生奉献给了电影行业！往后也将不会再有第二个成龙，他是唯一！
阿祖收手吧，都是成龙
谁没老，，，逗号，，
成龙电影是通向世界的一面旗帜
那说明多做了两分钟十七秒的时长，我明白了，up主想让我们投三次币
你币有了
你赢了
收手吧，啊祖
你输了但还是给你吧
阿祖收手吧。你面前的是成龙，宜家已经快递到外面了
卡点完美
我坚持住了
阿祖，放手干吧！成龙应该老了
阿伟死了没
下次一定
Bgm：海底
上次给了 下次一定 五百年后
阿伟
等一个春丽哈哈哈
我就坚持了
看到阿祖成龙老了我笑了
因为这个bgm你的币就没了
猛龙舞团
叔
越来越老
曾经那个精神的龙叔已经不在了
收手吧阿祖 外面全是成龙
成功白嫖
起飞
房事龙
阿祖，收手吧！外面全是成龙！！！
这个踩点必须再来一遍啊
周大侠侠侠侠侠
罗三炮
我帅 我输了
道具赛无冕之王
阿祖停手吧外面全是成龙
一分钟过了 我赢了
1
真丶阿祖
全部防出去
孟波
他老了 我们长大了
不过他永远是我们的龙叔！！！
阿祖 投币吧 外面全是成龙
白嫖什么都行，就是不能白嫖成龙大哥
这个踩点厉害了
龙
投了
看见封面，我啪就点进来了很快哈，duang的一下加特技不投
我输了三连
龙叔好帅~
起飞起飞
王千源：我啥时候能和成龙一战
可能年龄原因，没什么情怀吧
收手吧，阿祖，周围全是家具城
音乐来自周董《大灌篮》
俺不会投币的
我输了，我走了
龙叔回忆，
bgm没配好
十年白嫖王路过
下次也不一定
周大侠
我赢了
火钳刘明
抱歉，是我赢了
给了
害，我也想投，可惜没币了
发生设么事了
下次
你币有了
已投币 
砸瓦鲁多
阿祖，收手吧，外面全是警察
海底诶
龍
武器大师
赏
成龙的咏春拳一股成家班的味儿
龙叔，永远的神
你币有了
疯狂踩点
机器之血
我还没投币
没投币哦
白嫖失败
功夫功夫
蓝采和 单提敬酒拦腰破
三连了
你赢了
投币的点在哪？
bgm 海底
踩点转场真的 绝！
踩点转场真的 绝！
龙叔
激动得拉不出来
哈哈这个特效笑死
蛇形刁手好看
龙叔，永远的神。
心里默默地给龙叔投了币
白嫖失败……
白嫖怪下次一定
春丽+1哈哈哈哈
阿祖好帅啊
噜啦噜啦咧了
成舔龙
加油，我挺住
不信谣不传谣
下次一定
腻害
你输了，我坚持了一分钟。
成龙拉出来那一刻你就输了
看完了，毫无波澜
起这标题的时候你就已经输了
混进了奇怪的东西
我币没了，还没比你就输了（doge）
我输了
一分钟已经过去大家可以三连了
三连了，回忆了我的童年
听着像中文歌，但是一个字都没听出来
大叔老了
《不会功夫》
成龙大哥老了
投了
道具大师
看了两遍
豆腐
坚持不了十秒
三十秒到了
家具城究极生物！
点到为止 我进来你就已经输了
我还在坚持
我输了
瞬间爆炸
你在教白嫖党做事
好家伙，突然树叶
欻欻欻欻，叮叮叮叮，铛铛铛铛
龙叔
，成龙吃口香糖样子太帅了
啊
bgm对了
Bm变了
龙叔老了。
你赢了
奈斯龙叔的春丽百看不厌
等会这是不是紫薯精
我币没了，就点赞吧
家具侠，成龙
你赢了
全部防出去了啊
可以，6666
阿祖收手吧
为何要投币
周大侠
按照传统功夫的币到为止你已经输了
城市猎人
豆腐豆腐豆腐豆腐
这个卡点
 龙叔
阿组，收手吧，成龙已经在摆家具了。
这是什么语言的歌？？？
龙叔
太怀念了
你輸了
30秒太短，我可以一天不投币
龙叔老了
up主，你赢了
你老啦
醉拳
阿祖收手吧，外面全是成龙！
a计划
白嫖失败
不，他赢了，他不是要比，只是要观看数量
没币怎么办
龙叔
奈斯
好活
要有龙叔戴帽子就更好了
马老师算了算了他会硬分身
收手吧阿祖，外面全是家具
龙叔也老了，我们也大了！！！
常威，你还说你不会武功
火烧岛我10
春丽
一起去攻沙（doge）
龙叔还是龙叔啊
up的弹幕是在夸自己吗
我是阿祖，我已经收手了
6666 
豆腐豆腐
踩点了
就不投
对不起，我名字里面也有个祖字
春丽好评
说李连杰的，只是两人表演风格不一样，功夫都是真的
2022年10月1号国庆节快乐
海底
就这
基本上都看过
道具战无敌
我投了，币子飞走
我输了阿祖
终身成就奖，受之无愧
你将拜在我的手上
龙叔转帽子才是经典
Qi起
BGM：海底。网易云有
duang
等我换个号接着投
你赢了
金瓶梅，是不是龙叔第一个龙套角色
????????????
最喜欢飞鹰计划跟快餐车
我输了
收手吧，阿祖
别人演戏都有替身，就成龙只靠自己
巃
因为龙叔我爱上了动作电影
他说他不会功夫，都是乱打的。
BGM：功夫
白嫖使我快乐
你三连有了
愿赌服输，收币吧
真正的武器大师
经典大鼻子
视频由秃头冯制作，在他之前的版本又做了一些改进。相信看过之前版本的小伙伴也看到播放了，几百播放吧，挺惨的。也是受他之托做个联合投稿，感谢他的信任，受之有愧啊。我这也全是假粉那（狗头），个人觉得做的不
踩点好评
这也骗我投币…
已投…
好吧，白嫖失败
楼下快点投
真。扫地僧
英伦对决
手上有道具就无敌
你已经输了
下次一定
得币我幸，失之我命
