莫名契合
呜呜呜
呜呜呜呜呜
但他们确实适合做朋友
BGM求
天啊BGM太应景了
泪目
周深 愿得一心人
火钳刘明
别离开我
别和我分开
我爱你啊无论如何
咱们说好要走到永远的啊
别离开我好不好 我爱你
我可以让你不孤单的 让你开心 所以 答应我别走好不好
看电影最后没在一起，我太伤心了
错过就是错过了
火钳刘明
bgm 周深 愿得一人心
首页通知书
我不信 不信他真的那么容易又爱上了别人
太美了
是深深的声音啊
意难平意难平啊啊
泰牛了呜呜呜
要哭了
为什么没有弹幕
头发好细好软
哈哈哈哈我一直觉得电影跳舞那里拍的特别好
太殇了太殇了
我特别希望他俩在一起
其实跟妹妹也挺配的  但是我更喜欢乔
哪有什么适不适合
男主好帅
深深啊啊啊
甜茶啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我死了
心酸啊
天呐爱难受了
太难受
虽然错过了很可惜，但他们最后还是找到了真爱
呜呜呜有点泪目
深深的歌
但乔最后并没有结婚
感动
这首歌竟然如此搭！
爱是最甜蜜的，也是最痛苦的
也许爱情是一部忧伤的童话，放弃一个很爱你的人，并不痛苦
到底意难平
甜茶茶好帅
喜欢上了就难以释怀了
我你任何人都希望你幸福，只不过最后给你幸福的不是我罢了
心好痛
意难平啊
PYM我还是喜欢你
甜茶？
甜茶？
深深的愿得一心人！
我的意难平
他有老婆儿子了 
我的发
意难平
废话，甜茶这是
我喜欢她！
人生不能重来一次，请三思而后行
因为知道没有在一起 连书都不忍心看完呜呜呜呜
初次爱恋，女方不够勇敢。
为你的文案干杯
bgm啊啊啊啊啊啊啊啊啊
忧郁的小眼神，哭了哭了
“而我会望着”
真的意难平啊
甜茶真好看
是是是甜茶吗？!!!
要是艾米好看的都还好
有两个结局
好搭配
可惜错过就只能错过
我也是
其实乔不爱他的，她对他从来都没有爱情啊。她只是太孤单了
火钳刘明
罗南
和夏波波真的很像
和妹妹也很配
首页通知书
意难平的一对
呜呜呜呜
火钳刘明
甜茶？
对字由的追求，我就是我。
joe和tidy明明才是最配的一对啊！
她妹只是有心眼，并不是爱男主，什么事都要跟着去，都要占便宜，男主经济条件好。她不是爱，只是世俗。
哭了呜呜呜
对的，夏波波
Im lonely too
剪的好好[打call]当时在电影院看到结尾有被难过到，我站的官配又双叒叕be了[大哭]​
呜呜呜难受
说忘记怎么会那么容易，
唉我还是觉得很苦
如果他再问一次，我会答应的
不敢相信，我成为他/她恋爱的旁观者
最后乔的结局不是说是为了书出版而加上去的吗
因为没在一起，硬是没看完这本书
好难过啊，看过书看过老版的电影
在不对的时间遇上了最对的人
我刚刚告诉他我会选择我爱的人
我超级喜欢这男主
相貌平平？？？？？？
虽然我们很孤独，但我不肯放弃这份孤独
在一起！
意难平也得平，再难平都！！！！得平
长的x
有点像猹
最后跟妹妹在一起了真的是很狗血
电影、男女主、BGM＝你币有了
错过不是错了，是过了
嘤嘤嘤
我不能原谅泰迪我没法接受他说不爱了就不爱了，说爱上别人了就别人了，我不信
哭死了
心疼
最后男的跟女主妹妹在一起了
乔最后没和那个男生在一起吧
太美了
真的意难平
她一遍遍阐述自己的缺点，他一遍遍阐述自己的观点
这对是真的意难平
我看这本书的时候，就很希望他们在一起
我一个人很开心，我太喜欢我的自由，不想放弃它。女性，她们有思想，有灵魂，但是我太孤独了
没看过，但这设定也太难过了，就是那种遗憾的感觉，心痛的我爆哭
小妇人！！！
LKLKLK
爱情从来就没法评论 除非切深体会
突然领悟，也许意难平就是心理自己过不去的坎，过去了也就平了。所以有的不平也只能平，还是心里平的好。
是周深的愿得一心人啊
她并不爱他呀，只是太孤独了
再放不下也要放下了，他已经与你无关了
这个配上深深的歌好奈斯
有些场景和德伯家的苔丝好像呀
愿得一心人!
甜茶！
甜茶配上这个色调真的绝了啊啊啊
遗憾的是我们还有那么多事情没能完成
确实艾米更适合做一个优雅的女主人
深深
双厨狂喜
唉 be了
不是孤独 是真的喜欢了后来
你不知道，你不知道，我离开了以后有多孤独
我也觉得现实没结婚
我就像世界上的另一个乔
我不....甘心....吗？
对不起啊 宝宝 我这辈子想遇到各种各样有趣的人 所以不打算结婚 我也就不拖着你了 你会遇到更爱你的姑娘
就是自卑呀
甜茶吗
I'm lonely too....
唉我的意难平
