是魔法，ta加了魔法在里面
大家都震惊的不会发弹幕了吧
旁边水壶反射的人hhh
太神了
常人无法匹敌的实力
你放了个壶骗我们吧
写生我靠
《怀疑人生》
铅笔啊！！！！！！
我来看你变魔术然后你给我看法术？
我瞎了，我死了，我是人吗
他开挂
？？？公然使用魔法？
绝
？？？？？魔法吗
看懂了，手会不会就不知道了
举报！他在麻瓜世界公然使用魔法！
这个我也会，首先买个水壶。然后压扁放纸上
离谱
禁止在麻瓜面前使用魔法
这肯定是魔法！
对麻瓜不能使用魔法！
爱了爱了
我这么绝
论画手的爆照方式
好厉害
这么快就开始施法了吗
卧槽 你在干什么
卧槽
倒放罢了
好想擦一下
卧槽
？
？？？？？？？？？？？？
神笔马良
发生肾么事了
啪的一下，hin快啊
发生了什么？？？
阴影实在是厉害
禁止在麻瓜面前使用魔法
请勿在麻瓜面前使用魔法
大一基础课精微素描，不锈钢质感还是比较好搞的
摄影工作者
scp以介入调查
scp以介入调查
妈妈！我错过了什么
禁止在麻瓜面前使用魔法
离谱。看出3D效果了
亿点点细节
离谱
？？？禁止使用魔法
？？？？？？
？？？？？太强了呜呜呜(┯_┯)
太厉害了
沃草
？？？
就这，我八亿年就可以
？
我到底是不是人类 我是个猴子吧……
离谱
抓来花画人民币
可恶，已经滑跪了
我去
橡皮擦直呼内行
其他我不知道，但我知道壶口那个点是黄金分割点
开开始不对劲
发生肾么事了
发生什么事了
卧槽
我好像看到了什么不得了的
人家拿的不是铅笔是魔法小棍棍
只有魔法才能打败魔法
？？？？？？？？？？？
只是最简单的光影运用，只是这人已经到了登峰造极的程度
？？？
？？
当不起一个赞？！
在麻瓜面前禁止使用魔法
魔鬼吧
好家伙
不就是涂个色吗，我一亿年就能画完
???????????????????
好羡慕(⊙o⊙)
不带这么玩
巨卜木曹
列宾学院？？
阿拉灯神丁
卧槽
画出金属感了
《自 拍》
你在干什么？？？？？！！！！
打印机
这。。。卧槽
这人上辈子是rtx显卡吧
这就很那啥了！
打印机转世
这里已经赞了
求手链接
rtx on！
卧槽
提前卧槽
银色水壶镇魂曲
降维打击
？？？
啊~这块橡皮也像手指
这金属质感
手真好看
卧槽
不锈钢都能画出来！
难道这就是传说中的人形打印机
卧槽
卧槽
啊，这
绝了
？？？？？？
牛
这个光影就他喵的离谱了
????
？？？？？？？？？？？？
？
？？？？？
简直离谱
十秒了
他这个排线怎么这么均匀，跟水彩似的
直接关注
？？？？？？？
牛批
？？
妈妈，我被别人拿照片耍了
水溶铅笔
年轻人耗子尾汁
发生甚么事了？
这质感
光锥效应
妈问跪
woc
光感好棒
神了
等一下，我笔掉了。
物  理  光  追
为什么为什么为什么为什么都是人差距这么大
就离谱好吧
发生什么事了
是光追，他开了光追
还带光线追踪，rtx实锤了
不做人了
这拿笔姿势…
？。？？？？？。？
大佬，膜拜
太厉害了
大佬
巅峰的我见了这幅画都要暂避锋芒
画的好细啊。我之前画精微也就这种耐心程度，
这是魔法吗
说吧又吃了多少打印机
？？？
卧槽
？？？？？？？？？？？？？
10秒已到，up出来受死
光晕
哇哦
加亿点点细节
我知道！是倒放！一定是的！
打印机
？？？？
每天看你的粉丝涨涨涨
这就离谱
这是一片二向箔
下次你印钞吧
这是真实存在的吗
卧槽
这个是真壶
手动留白
马良？
？？？？？？？
我不配学产设
这幅画是受了埃舍尔《拿着反光球的手》的启发喵？
爷fu了，这么强就离谱
？？？？？
？？？？？
白金之星
卧槽
简直离谱
牛
人体打印机
卧槽
另外一只手动都不动嘛
离谱
校外禁止使用魔法！
卧槽
知乎内行
没用过橡皮啊
？？？？？
为什么你的手带光追？
bgm太吵了
不对劲的发量
wc
咋能是铅笔画我去了
……
?????
硬扣
RTX on
打印机都没有这个效果
想要三连吗 嘿～ 就不给你
我去就是照相机也照不出来这种效果
离谱
手好漂亮
卧槽
