第一！！！！
前排围观
啊啊啊啊啊啊啊来了来了
来了
来啦来啦
沙发
我来组成第一条弹幕
热乎
热乎的
来了
热乎着
第一啊
嗨
这么早！
我啪的一下就站在了前排，很快啊
第一次那么早
三连再看～
幸好今年没怎么追剧，就追了棋魂
热乎的！！
哈哈哈哈哈哈哈
排面
百万特效
热乎
热乎的！！！
来啦
两分钟！！
怎么没人
宋威龙这是要双杀呀，呵呵
好早啊啊啊
啊啊啊景子女神超美
你最快
大制作
三分钟！
这剧的大结局绝了，台词一句都对不上
来了来了来了来了
我来了？！？！
来辣
low君有心了
好家伙！！洋气
热乎的！
清平乐我枯了，原著的内容就十几集
百万特效
哈哈哈哈哈哈哈
新世界简直是-0 -太长了........
迷雾剧场好评
热乎的！
热乎热乎！
這才第七？
四分钟！！！
哈哈
我头一回居然这么前！
四分钟
你竟然是第一个，这是我没想到的哈哈哈
来了
来啦
来啦
5分钟
百万特效制作
大 制 作
可你也没解说这部剧过
好家伙 百万片头
瞄准哈哈哈哈哈哈哈哈
洋气
来了来了来了
瞄准出现哈哈哈哈哈哈
哈哈哈哈哈
真的是强行圆满。。。看得我。。
哈哈哈哈哈
bgm是Jackson5的I want you back
今年一个都没看哈哈哈哈
其实我觉得琉璃也算，强行为了虐而虐看不下去
为什么我都不知道有这个剧
这么早，还有1个月，不怕还有剧冒头吗
是不是剪辑问题，我没看啊，猜的
哈哈哈哈哈哈哈哈
5分钟！
对，这部剧前期亲情真的好，知道后来爱情线来了，我就不看了
以家人之名就算不错了，最起码不虐呀，与晨同光也是伪骨科（太虐了）
7份
第一次这么早
我看完了70集哈哈哈哈哈
七分钟！！！！
这个戳到痛点，前面都躲过了，这个没，还是
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
做朋友成功让我对追实时更新电视剧有了PTSD
这个我真的无法接受
七分钟！！！！热乎的！
 陈凯歌式大结局
哈哈哈哈，统一的追剧感
哈哈哈哈哈哈哈哈哈哈洋气
哈哈哈哈哈哈抓水母
大制作！
水阡墨到底是何方人也
我们家宋威龙双杀了！
热乎滴
水母，哈哈哈哈哈
热乎
来了来了 前排
哈哈哈哈哈哈哈哈哈
