弹幕清了？
夸克
经常用这个
氪n贼快
没…没有弹幕嘛…
有
？
收到
好仙的仙女棒
收到
ee
？？？？？？？？？？？？
？？？？？？？？？？？？？？
划重点，以后用得上
收藏大于点赞系列
学废了
漂亮
对对对！
收到
收到
啊？厉害啊66⊙∀⊙！
—猫片
这个好像只能搜文字资料吧
收到
对，正确为是非营利组织
1.5倍好嗨哟
？？？？这你们也可以上头？
avi
allintext
比如 mcbbs搜索mod
intitle
filetype：
site意思之一：工地
收到
哈哈哈深深！
妙！
收到
inurl
intext
收到
who的搜索真的f
大se头
真神奇
okk
真实。
夸克超棒！！！
初中計算機課本提到過
真实
怎么可能？？？
收到
学到了
收到
我懂
a v i
不管用
？？？？？？？？？？？？？？？？？
?????
收到收到收到
filetape
收到
menstruation
我就可以啊
真实
？？？？？？？？？
intitle
这个玩意儿这手机是没有用的
没用，还是锤子手机
.mp4?
嘿嘿
收到
懂
还能这样！！？
布尔逻辑运算
没用啊
收到
具体就是，搜索内容不一样，一个是都搜，一个是只搜标题
？？？？？
没用啊
妙啊
在必应上没用呀
收到
学 到 了
锤粉震怒
如何优雅地抠脚哈哈哈哈哈哈
收到收到
不不不不，用多了就发现，知乎的搜索引擎确实不行
搜个锤子
夸克
没有（滑稽）
心理学专业路过
啊 棒
舌头t发音不准
收到
划重点avi 
悟了
库克不香吗
收到
搜索手艺
收到
学习资料
怪怪的口音哈哈
抠脚。知乎 就行了
太平公主
没有用
收到收到
收到
收到，受益匪浅
学♂习
hub???
哇
你懂的，怎么搜？
不是广告，我惊呆了
没用
filetype
蓝芽美月的资源哪找？？
深深！
论文？图书馆网站一般都有买论文
都不收录，你怎么搜索
有用，注意中间没有空格哦
棒
周迅
收到！
？？？？？？？？？？？？？？？？。？。。？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？。？？？？
我怀疑你们黄字在开车
收到
学到了
赞！
夸克 浏览器，界面很干净。我很喜欢，当初碰到它都高兴了好几天…
学习资料
学习
ohhhhhhhhhhhhhh
复 习 资 料
收到
Filetype
这妹妹真的很好看
封面配色搞事情啊
用yandex的我是不是比较稀有
不带搜索功能的小网站，嘿嘿嘿
罗老师冷静，罗老师你别这样
苹果
学习资料
？？
学习学习
手机亲测没用
收到
你搜个锤子
来了
大学计算机基础的别走
弹幕护体
收藏了
锤子-锤子
逐渐看不懂
这个我觉得好像用处不大吧，毕竟我觉得大家应该都不挑
收到
收到
收到
