等到
没人》？
芜湖
终于来了
来啦
热乎
我来了
抢沙发
看过，好看
高中语文课老师给放过
起飞
第二个播放的
有点像香巴拉信使！
23333
11天咯
大沙发！！！
1111
没人？
热乎
失踪人口回归
来啦
热乎
看过，很好看
你再骂（狗头）
我看完就睡!!!!!
哈哈
这么靠前
哈哈
？？？！还让不让人睡觉了
有人吗？？？？
有人吗？？？
新鲜的视频吗，没弹幕
热乎
好喜欢这个雾蒙蒙的感觉
景色赞
热乎
失踪人口回归
还以为我没开弹幕  仔细一看我刚来
热乎的
终于等到这部了！
喜欢这背景音乐
没弹幕呀
前排吗？前排吗？
这取景
公路片
我的妈呀 失踪人口回归
4分钟766赞
有
我在
热乎的
前排表白木鱼！
1999年国内电影院都没普及呢
来了来了，前排
特别感人的一部电影
看看人家！
热乎
嘿嘿
必须支持
颜值真高。。
有
别了看了更睡不着
看过
片名挺浪漫
《暖》！！！
吃醋了
狗狗好可爱
特别质朴
水墨画一样
好美的画面 很有意境
26:02
热乎的！
看过，真的很好看
按照惯例，先赞再看
悠长长远
，
山里的人
失踪人口回归
有人在线看么
平江拍的叭？
我也看了就睡
不从小培养自己的小狗崽  这只是父亲的跟你不亲
"我也是 现在非常后悔当初的这种行为,很伤父亲的心"
热乎的
有
父子关系虽然很好，但还是有点疏离
不是说不能坐在被砍过的树上吗
久等了
这个！我们音乐老师给我们放过
有啊
喜欢
看过好几次了
一定要半夜更新吗？哭了
前面的语文老师是红民吗
同感
跟我爸一样，我爸喜欢走在我前面
我快乐乐
哈哈哈
来了来了
邮递员那作？
这种行为其实当父亲的也或多或少理解一些的
小时候也是同样
在
可怜天下父母心
这音乐很好
失踪人口？
小时候在CCTV6看过
我老爸，反而不喜欢和我走在一起，我也不懂
熬夜党的胜利
水墨画的感觉
99年
可爱
好漂亮啊
有啊
家里行二的感觉到了冒犯
我们编导考试就考了这部电影
感觉普通话有点违和
论熬夜是怎么开始的
99年的8亿日元可不少了
深夜党的胜利
这几声真的亲切
父亲对儿子有天然的期待觉得要比自己强才行
你怎么骂人呢
你觉得多少人想去大山里送邮件？子承父业怎么了
当年很火的，湖南台都有放预告片
刘烨真的帅
小地方 ，很多人都不愿意干的，子承父业也挺好
那个时代就是这样的好吧，退休了可以由子女顶替工位
马伯庸？
不，我就不跳
这是小西天？电影资料馆
因为没人接这个工作吧，深山叶陵
80 90年代确实是接班制度。那时候父母的工作退休时有成年的孩子就可以接班
很多人的家庭里父亲这个角色都是缺席的
深井冰 几几年啊 公平竞争？不知道子承父业这词怎么来的吗 嗯杠来了
深圳一摸语文文学类文本阅读。。
不知道诶
接班制度不知道？
唉我自己做父亲就要拼命抽时间陪孩子
这个电影景美故事好
以前都是子承父业 叫做接班
那个年代可以接班
好美
陈好看着好美啊
恩施火柴啊
哇！等你好辛苦啊
试卷里有考这篇节选诶
哈
等你等的好辛苦啊
前面高中语文老师给放过的，我也是！
十岁前，爸爸长期在外打工，每次回来我也这样
99年电影院的。。霸王别姬之类94年一堆爆炸国产片
杠精
俺看大象咯！！！！
好看啊。
铁饭碗
快递员的前身
热乎
_人_己_行业
先投币再看
终于来了！
下次更新都不知道什么时候
热乎的
幼年孙越老师
男版薇尔莉特
这配音 嗯配
陈好，是天龙八部里面的阿紫吗
写过这篇阅读
我爷爷当年也是农村的邮递员，他的战友也都去了城里当了干部……我爷爷因为长年走路的病根，已经走了
陈好好美
现在有些银行的还可以接班的。
好电影
日元？
我也是，和父亲出门喜欢走他前面，很有安全感
好像老师放过
似曾相识
很多地方和共青团要求的不妥，自己斟酌
不是，天龙八部里的阿紫五短身材，陈好是真女神级别的
就不
这部电影真的好棒
失踪人口
1点01
我都不知道有陈好
我是跟在父母身后
初中语文课的时候，老师放过这部电影。
解放鞋
万人迷
。。。
我有时候想和我爸聊聊他喜欢的足球之类的，但每次说不了几句他就要开始转移话题教育我
很好看 很美好
小罗
我感觉那狗冒犯到我了（滑稽（柠檬泪））
熬夜党的胜利
万人迷！
你是谁
有同感…
唉 中国式父亲 很僵
一人一枪一狗
马伯庸
刘烨处女作
同感
哈哈哈哈哈哈哈哈哈哈或
本来都打算睡了
在湖南拍的
哈哈哈我和我爸聊天总是不知道聊什么
来了
出了村，我就过了河
好可爱哈哈哈
这电影看过
行业待遇差别不悬殊的时代，接不接班没啥好说的
这电影看着挺治愈的
刘烨？
看过这个电影的解说了
看过平凡的世界吗？那个年代就是子女接替父母的工作
为什么总是没1080p呢
在电视上看过
我爸喜欢走在我后面 叫他一起走不愿意
聊过去好过聊兴趣
刘烨年轻的时候是真好看啊
陈好的处女作应该是《埋伏》
这是郝兽医吗
高考题的节选
是的，很多家庭的父亲真的没参与到孩子的教育中
就是不想让别人觉得自己还是个孩子
我都是牵着老爸的手哈哈哈
我就不跳
刘烨
这是因为他重来没叫他爸过
JOJO立
才发现自己看过
陈好也太好看了吧
邵阳绥宁
取景地在邵阳绥宁
木鱼大大终于讲这个了
儿子和妈亲 女儿和爸亲
我跟我爸就跟朋友一样，没啥距离感
看过
哈哈哈哈哈哈，太真实了
和我爹一样，我也不怎么叫我爸。
片名土味这点不赞同，那山那人那狗，仿佛山水画
我爸走路很快需要跑步才能追上，没有这种体验
我和我爹总是聊他年轻时的事 他总是顺便教育我 我也乐得他教育
万人迷
突然发现看过
Courier 
慢慢看总会到2602
语文老师给我们看了好几遍
以前是真光荣，现在啊//
这样的经历不是挺有意思吗
应该是电影太老了
前面乐地教育的，1，2次没问题，如果有无没完的真的很烦。
刘烨！
这理由，非常“小孩儿”了
才看到是刘烨演的
这头发是烫的么
狗子：我不道啊
狗子：我不造啊
爸，我妈呢
儿子：爸，我妈呢
标题里面就有我
哈哈哈我也想到了公路片，或者走路片吧
我也是
刘烨的眼睛太好看了
陈好啊
镖师
哈哈
朗朗
那时第一次看感觉好土
经典
那时候演技好青涩
看过几遍
被可爱到了
看过！
啊，不是女儿儿子都和妈亲咩
中国人的一种潜规则，女儿一般跟父亲母亲都要好，儿子一般跟母亲要好
突然发现自己看过
看过
"""}"
这片子很舒服
哇
没想到
信客
以前很多苦的工作 很难找到人接班
男生和爸爸，别类比女生
女生和爸爸，挺多话的
刘烨哥经典啊
我妈公司让看，的
好看！
死亡搁浅
彭见明小说改编
刘烨那时候真好看啊大眼睛太灵了
我喜欢走我爸后面
biubiu
想起账号密码了？
于曉光是你
我记得解说过
看过很安静很温暖
3连啦 哈哈哈哈哈哈
熬夜党的胜利
杨亚洲
是我们中学的阅读吗？
滕汝骏
我觉得这个父亲演的比刘要好
hhhhhhh
当时演技貌似害有点僵硬
看过 
我除了我弟妹，不管谁，我都喜欢在后面走233
这叫接班 很多都提前内退  为了让自己孩子接班
是啊就是他
看过
美啊 这构图
刘烨演技还是可以的
你终于出来了！！！
信客既视感
看过
我也在啃玉米，和当时的比起来现在的玉米好大啊
这部电影像一篇散文
高中课文？？9
哈哈
。。。
看过
很好看
记得 ？？？？？
加一
经常跟我爸开场白：我妈呢？
好看
看过
美丽的乡村啊
无人问津？怎么说出口的
美如画
突然发现看过
男版维尔莉特，哈哈哈哈
芜湖
1999
上个月看了。很棒
反复看过
爷关更
好像看过
是在我们大绥宁拍的！
看过
刘烨
8亿日元在99年也不少钱
没有啊 很又名气啊
这个狗和警犬好像
篱笆女人和狗
初中的时候班主任给看过
Doinb！！是你吗
看过
农民不好
国风画面
我99年的v
那一包好沉
邮递的故事
万人迷啊
来了
必须三联
我也是，今年都22了，都没和爸爸好好聊过
我来了
信客？
一人一狗
刘烨年轻的时候居然这么帅
我爸爸最喜欢的电影
有点蒙
这个真的不错！
表白木鱼
真的是这样
刘烨的大眼睛
我把标题里交口这两个字看反了
特别诗意的电影，中央台看的
我小学学校组织观影过…
看过
咋会不累呢
你们不懂那种感觉。上了年纪就懂了
入海？
收藏中
真好
狗：？
好看
看过，初中电影院看过
排面
这个我这里电影频道看过！那盲人老太太现在还记忆尤新！对了还有那条狗子
踏实了
我们语文课上放过
这个语文考过试
真好看啊！
哈哈哈哈
那叫青涩真实
说白了就是 不亲
看过小说
电影课必学
狗呢
你再骂
在六公主那看了好几遍
烨子！
当年有抵脚制，儿子可以继承
连自信车都没有吗
封面女版鹧鸪哨？
以前是有接班制度的，公务员接班制
