哈哈哈哈哈哈哈好货
没弹幕？
我懂了（狗头）
懂x30
大威天龙！
哈哈哈
哈哈哈哈哈哈
建议发到油管
害怕
建国同志辛苦了
好活
好活
哈哈哈哈哈哈哈哈哈哈哈
懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂
有人知道原曲叫什么吗
禁  忌  二  重  唱
保护
技术力爆炸
奥巴马:？？？
哈哈哈哈
哈哈哈哈哈
火钳刘明
好活
欢迎回家哈哈哈哈哈c
哈哈哈哈哈
保护
火钳刘明
你币有了
建国同志幸苦了
哈哈哈
鬼   畜   复   兴
哈哈哈
欢迎收看特沙雕锦集
哈哈哈哈
有操作的啊
BGM：Es Rappelt Im Karton
五花肉:没人比我更懂特朗普
哈哈哈哈哈 
不要尝试计数
没人比我更懂中国
懂
绝活
好活当赏
懂
绝活
火钳刘明
红红火火恍恍惚惚哈哈哈
建国间谍论铁证如山
懂懂了懂了
秀
火钳刘明
白嫖失败
建国同志要撑住哦！
快发油管
封面厉害
要素爆炸
哈哈哈哈哈哈哈哈哈哈哈哈嘿嘿
哈哈哈哈
火钳刘明
大西洋太平洋壁垒
职业选手
这次一定
哈哈哈
这就离谱
我裂开了
我愿称之为绝活
好了好了
好活 赏
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
川川子！！！！！！！！！！！！
懂懂懂懂
刚才好像混入了什么奇怪的东西
cao
好活，当赏
得得得得得得得得得得得得得得得得得得得得得得
我是不是在很久之前看过你
哈哈哈哈哈哈
得得得得得得得得得得得
好久没有这么秀的了
混账，你懂了甚么
害怕
好有节奏感
前 方 高 能
三小时30万
每天亿遍  防止抑郁
你币有了
哈哈哈哈哈哈哈哈哈哈哈哈
川普：老懂懂了
回家吧，建国！
保护建国同志！
绝活 哈哈哈哈哈哈哈
dddddddddddddddd
我懂，建国同志！全体敬礼！
哈哈
funny mud go pee
中西合璧
田丰硕本人
泪目泪目
建国同志辛苦了
哈哈哈哈哈哈哈哈哈
爸爸爱你
害怕
泪目
害怕
哈哈哈哈哈哈笑死了
这是真的秀
泪目
川建国，干得好
泪目
这段up英语很可以啊！！！！
哈哈哈哈哈哈
哈哈哈哈哈啊哈哈哈
回家了建国同志
卧槽
有两把刷子
天秀致极
串味了
一代懂王
太懂了
绝了
绝了！！！
害怕
火钳刘明
您又懂了哈哈哈哈
靠
也就150个懂吧（上下浮动5-10个）
怕
拆那，拆那，拆那，拆~拆那
牛逼
哈哈哈哈哈哈哈
我愿称之为天秀
好活
dededededededede
川建国
建国你红领巾呢？
哈哈哈哈哈
害怕
封面一眼就认出来了
建国最懂，不接受反驳
这谁扛得住啊哈哈哈哈
妙
懂懂懂懂懂懂懂懂懂懂懂懂懂懂懂
Rap哈哈哈哈
我笑裂开来
你不要过来啊
妙啊
我币没了
别再做这种视频了我现在都快要相信建国是卧底了啊hhh
川宝，妈妈爱你！
牛逼
x3
好活，当赏
害怕
得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得
整点阳间的东西吧哈哈哈哈哈哈哈
懂
川同志nb
哈哈哈哈哈哈哈，放过孩子吧！
后妈茶话会？!
泪目
我笑了，赏
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这是什么。我的天。大肠吗
法克
人才！
白嫖失败
有味道
3122人你们好
好活好活
洗脑神曲
太牛了
文化冲击！文化冲击
jo厨狂喜
哈哈哈哈哈哈哈
计数君辛苦
懂懂懂懂懂懂懂懂懂懂
你不要过来啊
哈哈哈哈哈哈哈哈哈，还掉了
哈哈哈哈哈哈哈哈
改成giao giao
感谢计数君
妙不可言。
害怕
在家蹦迪用的
精神污染
掩护建国同志
一眼真看成川普
哈哈哈哈哈哈哈
太草
交出封面！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
来了
白嫖失败
有原曲吗
ohhhhhhhhhhhhhhhhhhhhhhhhhhh
害怕
火钳刘明
要素过多
懂懂懂
感谢up，这才是当初b站的鬼畜模样
是认知饱和
贪吃蛇•懂
害怕
绝了
封面笑死人
好活当赏
前方高能
？？？？
字幕满分！
害怕
火钳刘明
嘿嘿嘿哈哈哈
懂永
救命啊
害怕
幺四国道
懂懂懂                 懂懂懂                懂懂懂              
火钳刘明
老板？？？
封面好评
哈哈哈哈哈哈哈哈哈哈哈哈哈
牛逼死了
正正正正正正正
正正正正正正正正正正正
火钳刘明
专业
封面牛逼
懂懂懂懂懂懂懂懂懂懂懂懂
伊丽莎白女王进入直播间
咚咚咚哦
职业选手禁止出场！
华盛顿进入直播间
怕怕
后妈们的茶话会既视感（doge）
懂老板
老同志了
白嫖失败
哈哈哈哈哈哈哈哈哈哈哈哈
保护我方建国同志
哈哈哈哈哈哈哈哈哈
这个背景，好像推上有个黑子用的头像
respect
前方高能
白嫖失败
建国同志，还需努力
懂？
育碧又被冒犯到
MCGA
FBI open the door！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
X145
计数完成：145
奥巴马进入直播间
辣妹子辣可还行哈哈哈哈
川建国你个哈皮
好活哦
好活，赏
活着不好吗
川普：没有人比我更懂怎样鬼畜
螺旋丸
封面nb
能整点阳间的特效吗（狗头）
斯大林进入直播间
疯狂抖腿，嘟嘟嘟嘟
笑死
得得得得得得得得得得得得
orange chicken
暴露了
害怕
称之为绝活
牛逼
杜鲁门进入直播间
NP
害怕
哈哈哈哈去哈哈哈
人才
牛逼
川建国同志，辛苦了
上头
唐纳懂•特朗普
文案超神了哈哈哈哈哈哈哈哈
得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得得
封面魔鬼
再来亿遍
害怕
川建国同志！别暴露了！
害怕
害怕
你不要过来啊！
纯真鬼畜文艺复兴
我去哈哈哈哈哈哈
康熙进入直播间
哈哈哈哈哈哈
白嫖失败，再来一遍
三号已笑疯，四号准备
推特治国可以的哈哈哈哈哈哈哈推特治国没毛病
【华盛顿】进入直播间
林肯进入直播间
罗斯福进入直播间
局座
百 万 调 音
赫鲁晓夫打赏了一颗玉米
.
见封面进
来自特朗普的肯定
鲁迅进入直播间
【克里蒙梭】进入直播间
<size=100>哈哈</size>
你不要过来啊
百万填词！
ohhhhhhhhhh
普京狂笑着退出直播间
好活
川建国同志蓄力中
【斯大林】进入了直播间
哈哈哈哈哈哈哈哈哈
我要笑死了
我爱中国
建国同志辛苦了
要素过多
卧槽
小学三年级敢称懂王？
害怕
白嫖失败
我真的懂了
害怕
专业
火钳刘明
努而哈赤进入直播间
掺了金坷垃一袋能顶两袋撒
一人灭十万
封面好评
害怕
懂懂懂！！！
辛苦了建国同志！
戈尔巴乔夫进入直播间
赫鲁晓夫进入直播间
我都不认识懂这个字了
hhhhhhhhhhhhhhh
建国同志
hhhhhhhhhhhh好活当赏！
华盛顿的棺材动了
黄金体验镇魂曲
妙啊
哈哈哈哈哈哈哈哈哈哈
赫鲁晓夫：和我一起种玉米吧
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
害怕
懂懂
2053!!!
〖嬴政〗打赏了一堆剑
嬴政进入了直播间
查理普斯进入直播间
害怕
【戈尔巴乔夫】退出直播间
妙啊
鬼知道这段我看了多少遍
林肯进入直播间
操
建国爱国
【朱元璋】进入直播间
［华盛顿］进入直播间
支持建国，为了祖国付出了这么多
懂？
？？？？？？？？？？？？？？？草
貂蝉进入直播间
[李白]进入直播间
勃列日涅夫 进入直播间
【嬴政】进入直播间
我已经开始笑了
[林肯]进去直播间
再来亿遍
【牛马战士】进入直播间
奥巴马进入直播间
魔鬼
红红火火恍恍惚惚
▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▇█▇▆▅▄▄▅▆▄▅▆▇█▇▆
感谢慈禧太后送出的免死金牌
我懂了
【托尼斯塔克】进入直播间
哈哈哈
你币有了
这是人类和佩奇的结合体，很形象
【小鸟伏特加】进入直播间
懂了懂了
有没有懂哥儿
【刘邦】加入直播间
赫鲁晓夫退出了直播间
我裂开了
【斯大林】进入直播间送出了一个前苏联
【斯大林】进入直播间送出了一个前苏联
【斯大林】进入直播间送出了一个前苏联
bgm原来是什么
【加加林进入直播间】
干，好狠
【秦始皇】进入直播间
再来亿遍
【鲁迅】进入直播间
大明白
草，居然有点好听
【慈禧太后】进入直播间
（                                              ）
【朱元璋】进入直播间
[斯大林]进入直播间
【赵过】进入直播间
【斯大林】进入了直播间
2067人？
泪目！！！！
【列宁】进入直播间
汉武帝进入直播间
【华盛顿】进入直播间
【荀彧】进入直播间
哈哈哈哈
〔朱元璋〕进入直播间
[耶和华]进入直播间
【奥巴马】进入直播间
（小鸟伏特加）进入直播间
开幕雷击
【华盛顿】进入了直播间
【老八】进入直播间
［巴尔戈乔夫］进入直播间
懂懂懂懂懂
【奥巴马】进入直播间
D 4 C
华盛顿会被气死
欢乐送走
马克龙进入直播间
牛逼
格奥尔吉·朱可夫进入直播间
【乔碧萝】进入直播间
【奥巴马】进入直播间
草
害怕
害怕
感谢康熙送出的尚方宝剑
特朗普:我TM最懂
【特朗普】进入直播间
【特朗普】因语言过激退出直播间
m
约翰•肯尼迪进入直播间
川建国同志老懂哥了
［六花］进入直播间
【牛顿】打赏了一个苹果
【李清照】进入直播间
干   翻   华   为？
没有人比我更懂
【李世民】进入直播间
害怕。
【小鸟伏特加】进入直播间
《法海》进入直播间
哈哈哈哈哈哈哈哈
胡佛进入直播间
【林肯】进入直播间
【林则徐】进入直播间
【牛顿】进入直播间
哈哈哈哈哈哈哈哈哈
完  全  一  致
太牛了哈哈哈
建国你太伟大了
【局座】进入直播间
汉武帝进入直播间
哈哈哈哈哈哈哈哈哈哈哈
{杨永信}进入了直播间
bgm是什么？
《秦始皇》进入直播间
【花京院】进入直播间
中美关系破裂
黑白无常退出直播间
快乐，懂？
66
老八送出一百个秘制小憨堡
懂懂懂懂懂懂懂懂懂懂
为什么此处没有弹幕？那我起个头。
［唐太宗进入直播间
【蔡徐坤】进入了直播间
【丘吉尔】进入直播间
害怕
