太棒了吧
为何不火？
我竟然知道哪一幕是哪个电影
歌
我鸡皮疙瘩起来了，剪的太好了
承包空屏
见薰进
首页通知书
这么好的视频怎么不火
献给每个屏幕前的你
未来有很多的不期而遇和幸福美满
不是有人陪伴才是最美好的
哪怕是和你爱的人也好
请你一定要有一颗坚强的心
这个波光帅啊
新海诚跟宫崎老爷子的出镜率很高啊
舒服！！！！！！！！
良作无人！
谢谢
火钳刘明
Angel Beats
火钳刘明
火钳刘明
要努力啊各位
白嫖失败
经历痛苦中...
第100条弹幕
求你了，别停下来
薰！！！
小薰!回来吧
拿币砸你
梦幻联动
火钳刘明
这个人间真的很美好，但是我下辈子不会再来了
专场转场绝了
前面坚持下去哦，会有希望的
天使的心跳
这不是窦律啊
人间很美，下次一定
进收藏夹吃灰去吧。
BGM：生命线。
三连有了
可以呀！优秀
爱了爱了
他喵的祝在座的各位永远幸福
我会去见你的！！
区区高考，冲就完了
首页通知书
牛批
好看不火系列
此世无悔入你的名字
这段真的神了
要幸福啊
要中考了，真的很累，但是我绝对不能放弃，三中冲!!
要好好的去找工作啊
孩子是个小升初的学生，别砸啊！！！
努力上岸
天啊，我竟然听完了这首歌
天啊，我竟然听完了这首歌！
还没呢
1
3
已经放弃了
在人生的最后倒计时中，我能够有你在我身边陪伴。会是多么幸福的一件事
5
不准怂
高考加油！
我在未来等你
屁，老妈十级痛疼生下的孩子，老子绝不认输
屁，老妈十级痛疼生下的孩子，老子绝不认输
屁，老妈十级痛疼生下的孩子，老子绝不认输
绝不认输
加油，绝不认输
加油，绝不认输
你生来都没有绝症，上天给了你一个健康的身体，绝症患者羡慕死你们了
他原来不喜欢我了，原来一直都是自己太傻了
一直等他三年该结束了，忽远忽近我受够了
爱了爱了
醉哪怕是你放弃了，帮助你的人也不会放弃
我想要考上大学
走れ
此生无悔入四月
加油！
我感觉自己还能钢几年
就算再绝望也要好好的活着啊
中考加油！
我们都在追寻希望的路上
lifeline！！
这个心电图有问题啊（手动狗头）
世界依旧美好
不怕千万人阻挡，只怕自己投降
加油
我绝不放弃，加油各位
是的，我就放弃了。
杨光，我好想拥抱你
就是有点累了
对不起…………
好美啊
心跳微弱了，感谢你，坚持了这么久！
我要画图
中考加油！
不要挂科啊
不要挂科啊
加油，绝不认输
学医吧
90
100
105
一位即将走专科的人，希望大家能在高考的路上坚持下去。
童年回忆啊
努力一次吧！
超级喜欢这首歌
想想那些爱你的人  他们还没放弃。
我的小薰
加油
屁，你TM还不如活着保卫祖国呢！死的光荣一些吧
你无论多么困难，也要坚持住，人生也是这样。
加油.
该奋斗了
我欠我自己一个奇迹
老妈从鬼门关走了一趟把你带到世界上，你咋还想回去！？
这tm才是青春！！
加油！！大家一起加油！！我一定要冲向央美！！！
我还能学！！！汤汤加油！！！
给我跳起来
我要学吉他，学日语
加油考研
伤物语
加油好吗？！！！！鸭！！！
火钳刘明
他娘的，就是干
是的 我想就这么放弃了。
崔崔中考一定要加油啊 ！！！
世界大概是忘了...我缺少一个奇迹
我会努力去见你。
别放弃，别输，中考加油
我今天又做错事了
不得不放弃   没理由
下次一定
jurburs
不能放弃
我没有资格劝别人不要放弃，我只能在心里暗自祈祷着大家
Never  Give  Up
就努力向前吧
加油，你可以的
阿炜中考一定要加油阿啊
借物少女爱丽丝
第12587个赞
不会，还在。
凯凯加油
加油！！
乔乔，加油，活下去
加油，相信自己可以做到！
乔乔，加油，坚持，活下去
大家，加油啊！
中考加油！！
人大！！！
每个人都有失败的时候，但我们在这里，陪你加油
我现在发现我讨厌家里人也喜欢家里人
为了自己，我绝tm不认输！
高考加油!
我将回顾曾经
我会坚持下去的
努力很快乐
我想活着
有缘再见
一个月倒数，要高考的中考的都给我冲啊
