收藏了 罗杰出品 必属精品
好美的音乐
音乐好好听呢
夺冠?
天地玄黄呢
海豚湾
这个是打错了吗？
舌尖上的中国吧
借你吉吉
借你吉吉
收藏了 回去肝
喜欢李清照
谢谢up
大奥
谢谢up推荐那么好的片
还热乎
夺冠？？
看过，印象很深
收藏，一个一个去找来看
西部世界bgm
看过，大片既视感，每一帧都是桌面
名至实归
蓝色星球和宇宙时空之旅也强烈推荐！！！
这是错把BGM的名字打上去了吧
BGM  sky star
数千颗是不是少说了个亿吧？
西部世界
西部世界的BGM!!
只看过这个，三连
西部世界bgm
只看过top1
看起来都不错，
已三连
大明宫
西部世界呀
浮生日记
这个我们历史课上看过哈哈哈
借你吉言
这个真的超棒
盲猜第一，地球脉动
阿婆把bgm发出来吧
已三连咯
借你吉言
正在看河西走廊
大明宫值得一看
已点赞
这部纪录片我看过
河西走廊很值得观看
经典
西部世界的bgm！
求bgm
bgm是什么？好听死了
全体起立
你币有了
你币有了
我的生日那天诶
必须有排面，N刷的纪录片
你币有了哦
收藏 我要全部都找来看！！！
你币有了
借你吉言
牛批
Up主配的BGM都好有感觉
你币有了
我居然看过七部，你说气人不
这可是BBC元老级的硬核干货纪录片
人世间
行星好评
陈晓卿牛批
人世间？
这个超好看，在B站上也有，只不过改名叫无影灯下了
热爱自然
看完了 这个很好看
李清照批判的时候应该是早年吧，晚年好惨
看过
借您吉言
bgm好
这个看过
看过看过
我看过
夭折率降低，人类平均寿命变长
细胞得神秘之旅
西部世界
真实是记录的灵魂
真实是记录的灵魂
借你吉言
罗杰的视频我都收藏了
喜欢陈晓卿
最爱易安宝宝了
点绛唇
武曌是混血
为什么人类是地球的主宰？
手术两百年看过，但没什么感觉
为舌尖打call
第一应该是“地球脉动”
还真是
去我的收藏夹吃灰去吧
去我的收藏夹吧
为什么我不爱看这个呢
为什么是笑话
借您吉言
种出个地球啦
你们会扦插吗？
收藏了 我要全看
三连了
你币有啦
7.24我生日啊……
刀工踩点好评！
饿了
西部世界!哇!
这服饰也是醉了
借你吉言
早三连了
告诉大家一个B站BUG 按住点赞3秒钟会有特效
谢谢推荐 三连了 最喜欢宇宙
李清照是大家闺秀 胡扯
啊啊啊啊，这个真的是震撼我了
这是舌尖上的中国哦
BGM好评
盲猜第一是……
这个看哭了
N刷
盲猜猜中了
借你吉言咯
吹爆河西走廊
宇宙的奇迹也好看啊
跪求BGM！哭了，识别不到是什么音乐
李清照怎么可能去说苏轼？
这个好看，音乐也好听
已三连
日本文化是唐宋文化传过去以后经历世代杂糅整合变体之后的东西，说唐宋遗风已不够准确
太阳系子民
这让我想到了三体
此去经年，应是良辰好景虚设 哪里语言尘下了？？
非洲还是30岁
币币币有了有了
唐风到了日本之后变形了 唐风是大气的 和风是小家子气
进我的收藏夹吧
还有一部纪录片：蓝色星球（1、2）也很推进
地球的主宰是植物
推荐一下《海豚湾》
两个bgm响起来时我还以为我开了网易云
现在的bgm:篆音
医学生表示非常好看!里面有许多有趣的故事
配乐却是大奥→_→
鸟瞰地球？
必须是它只能是它
吹爆地球脉动！！！！
医学生喜欢看
我看到程心在飘着
这个最爱
数学漫步同学们也可以看看
动物世界不服
胡扯个鬼，李清照真的是怼过一票子人
超爱历史那些事！
我扦插成功过两次，但更多的失败的
超级棒的！推荐大家看
下次一定
喜欢纪录片的人不少嘛，我再推荐一个，第三极
已三连
这个必看
古代女人怎么可能去怼男人
看完这个纪录片我也学会了扦插 扦插了一棵银杏树
爱死UP的bgm了
哇 好美 美死了
全看过了 但还是三连
马王堆手术
混血不对吧，生物学叫做杂交
你毕业了
这个好喜
河西走廊 盲猜
推荐梁思成林徽因
借你吉言
中央十套消失的军团
借您吉言
河西走廊！
底特律
河西走廊吹爆
这个当之无愧第一
超好看
这个好看，真的
喜欢这个 吹爆
哭了 谢谢宝藏up
借你吉言
西部世界
这个很好看，配乐非常好听
不是植物之歌吗？很精彩我都下载了
看过
河西走廊之梦
看过
排面
河西走廊超好看
半数看过
河西走廊
借你吉言
哈哈哈
NHK的silkroad 了解一下，纪录片里直接考古
吹爆河西走廊
NHK的silkroad了解一下，纪录片直接考古。
手术两百年我看到一半收费了
这个很好看 看完之后我家成了森林……
医学生推荐
谁知道这个BGM是什么？跪求！
借你吉言
哪个国家的历史有中国丰富啊
盲猜，七个世界一个星球最少前2
夺冠？？？
强烈推荐！我的宝藏
盲猜本草中华
借你吉言
可爱             哇
西部世界的BGM
吹爆河西走廊
不仅舌尖 航拍中国也一样需要排面 
吃货大国
航拍中国第二季b站有
天涯明月刀游戏场景配乐
看过，最后一句话：现在打雷了，我本来想着今天会很特别，现在却什么都没发生，和往常一样
哈哈哈哈哈哈哈  还记得东坡吗
舌尖上的中国真的耳目一新 牛P 
這個很好看！
你幣有了
大明宮的曲很美
臥槽你幣有了！
你b有了
你币有了啊！！
。不知道有没有微观世界和恐龙
地球脉动的等等我，那个太惊艳了
跟我读：“中，，华丽上演”
我也是7.24
舌尖上的足疗
中国古代盛世时年龄人均三十多鬼信
借你吉言
河西走廊
都收藏了
那一天是我十五岁生日，时间好快啊
大奧bgm
b站看不到了
这不是叫无影灯下吗
西部世界！！
30多主要是因为战争和饥荒
我为手术两百年打call
这个超好看
？？？？？？？？？？？？？？？你还我硬币
西部世界
借你吉言
我还是喜欢明朝那些事
借你吉言
吹爆
轮回好看
