勿忘国耻 复兴中华
勿忘国家耻辱，牢记民族使命
希望他们可以看到这盛世
心情沉重
勿忘国耻
不怕不怕
勿忘国耻！
南京南京…
不忘初心，勿忘国耻
铭记历史勿忘国耻
勿忘国耻，爱我中华
覆巢之下安有完卵，中华儿女定让万国来朝
义武奋扬，跳梁者虽强必戮
该死的日本右翼分子快跪下谢罪
伟大的抗日英雄永垂不朽
逝者安息
勿忘国耻
勿忘国耻，牢记历史
忘记历史，就意味着背叛。不忘过去，是为了更好地守护和平。
吾辈当自强
勿忘国耻
勿忘国耻，牢记使命
逝者安息
前车之鉴后事之师
愿天堂没有人祸
铭记过去是为了实现更好的现在和未来
没有去年那个片子好看
勿忘国耻！我头像和团团一样是黑白的
勿忘国耻
等会要去跟一年级的娃娃们讲述这段历史，这段历史不能忘，不敢忘!!!!
可怜，可恨！
时光衣柜
奔向地狱
振兴中华
阿绫？
听到外面的枪声了吗？你躲在这，我必须去
时代的人已逝，但时代的故事一直在延续。勿忘国耻，牢记历史！
铭记历史 勿忘国耻
你一定要回来啊
勿忘国耻
勿忘国耻，逝者安息
愿逝者可看如此盛世
该死的是军国主义，和日本侵略者
纵然世间皆废，功成自在吾辈！！
爷爷奶奶，你们在天有灵，我们不会再被欺负了！！
在这个时代，很多人认为
很多人认为是和平时代
但是他们错了
落后就要挨打
可恶的日本侵略者
你回来啊…
因为只有这样，我们才能使国家安定
就是阿绫啊没看开头吗
勿忘国耻
勿忘国耻，逝者安息
纵使中华5000年，这一天必将永记
勿忘国耻，振兴中华！
南京！！南京！！！
勿忘国耻！警钟长鸣！
不管谁说原谅日本我都不同意
勿忘国耻，振兴中华！
勿忘国耻
勿忘国耻
国军德械师？
心好痛
毋忘国耻
勿忘国耻，振兴中华
勿忘国耻，复兴中华！吾辈当自强！
中华人民共和国万岁
三尺之躯已许国
生于忧患死于安乐！
勿忘国耻！铭记历史！吾辈当自强！
对遇难同胞的残酷过去哀悼
怎么过得去呢，历史都记得呢
铭记，不只是民族的悲怆，还有落后必亡的训诫；纪念，从不为宣扬复仇的怨念，只为许下复兴的心愿：吾辈当自强。
我们铭记这段历史，为这些可爱的人而流泪，是为了更好地前行
你一定要回来
落后就要挨打，血泪教训还少吗
这一走便是天人永隔，向抗日英雄致敬！
勿忘国耻
勿忘国耻，振兴中华
鼻子一酸
军国主义？当初日本几乎全体支持军国主义好吗
勿忘国耻
眼睛里进东风41了
藏起来。，。
绷不住
南京！南京！（泪）
勿忘国耻，复兴中华
若有战，召必回
87、88师，淞沪会战退下来的
勿忘国耻
我爱我的祖国
勿忘国耻
铭记历史是为了更好的未来！
缅怀先烈，热爱和平！
勿忘国耻，振兴中华！
德械师，南京守军
伟大的中华人民共和国万岁！
绝不遗忘，永不原谅！
心痛啊
勿忘国耻，振兴中华
泪目
铭记于心
我们不能代表老一辈原谅日本人，我们要做的是铭记历史复兴中华让中国崛起！
勿忘国耻
种花家儿女当自强
日本军国主义和侵略者都是由日本民众支持的！剩余不支持的也在那放羊，雪崩的时候没有一片雪花无辜！
这种时候想起来把日本侵略者跟日本民众切割是愚蠢无耻又背叛历史的想法！
永不能忘
勿忘国耻
？？？
勿忘国耻！振兴中华
我始终相信一个民族是不可能遗忘曾经受过的苦难的
拒绝战争祈愿和平[紫金草]
我们不应该忘记，也不能够忘记，先辈的抛头颅洒热血，换回来的，不应该也不能是我们去原谅那些人
勿忘国耻
勿忘国耻
当年的日本没有哪怕一片樱花是无辜的
勿忘国耻
国军的衣服?
我们有什么资格在这里谈论原谅，我们只有义务去记住，永远的记住
我们能做的不是在这里说一些做不到的话，而是发奋自强
勿忘国耻
中国的未来，拜托了！
泪目
勿忘国耻，吾辈自强
一边看一边流泪  心里真的很难受
我们要牢记历史，奋发图强，热爱和平
愿永不再有战争  和平
勿忘国耻，吾辈当自强！
南京！！！！！南京！！！！！
绷不住哭了
勿忘国耻，牢记使命
勿忘国耻，振兴中华！
三尺可还行
今天天气都好阴凉
勿忘国耻
勿忘国耻，吾辈当自强
哥哥不要走
哭了TT
国军
自强！自强！
牙牙的标志发色没了...
勿忘国耻振兴中华
勿忘国耻
勿忘国耻！
勿忘国耻！！！
勿忘国耻 振兴种花
勿忘国耻 振兴中华
哎。。。。。。。。。。。。。。。。
男儿生当为国死，何须马革裹尸还
勿忘国耻
勿忘国耻
勿忘国耻
勿忘国耻
唯国富民方强，不忘耻铭记心！与之国辱为戒，以望世界和平！
不能妄提原谅，你我皆不配
勿忘国耻
原子弹下无冤魂
你们在这里发什么问号啊
我亲爱的南京啊
眼镜酸了
千里尽是坟何处话凄凉
南京保卫战
我们没有资格替祖辈原谅他们
逝者安息
勿忘国耻，振兴中华
勿忘国耻
宝贝不哭
国军的德械装备
侵华战争是全日本国民怂恿的别再说跟日本老百姓无关了
这一躲便是离别
勿忘国耻
死者可以安息，生者不能忘却
勿忘国耻
至今无法想象他们遭遇过什么，面对过什么
有些东西是一辈子都不能忘的！
南京保卫战最后的德械师
逝者安息
岂曰无衣，与子同袍！
泪奔了
遗忘和原谅不是我们的权力 我们只有铭记和警惕的义务
勿忘国耻
勿忘国耻
国军
勿忘国耻，振兴中华！
泪目
牢记历史，勿忘国耻
勿忘国耻，吾辈自强！
勿忘国耻，逝者安息
勿忘国耻，吾辈自强！
勿忘国耻，逝者安息
我来报道了
在此缅怀为华夏牺牲奉献的所有先辈。
只要日本不道歉下跪认错，我们就永远不忘仇恨
罗小黑的音乐？
网址都是灰色的
勿忘国耻，中华儿女当自强
勿忘国耻
振兴中华
永不能忘
南京南京
愿天堂，没有杀戮
此一别
勿忘国耻
勿忘国耻
勿忘国耻，铭记历史
泪目了
勿忘国耻
勿忘国耻
日本的罪行永远不可原谅！！！
作为青年人，一定要活到日本道歉的那一天，我相信我能见证历史
逝者安息         勿忘国耻        中国万岁
勿忘国耻，振兴中华
泪目了。
头像灰色了
只有敢于直面真正的黑暗，才能知道光明从何而来。
勿忘国耻振兴中华
不忍，但是疼痛能让人保持清醒
伟大的中华人民共和国万岁！
南京中华门？
勿忘国耻
好压抑的氛围。。有点接受不了，但还是忍着看，感觉快哭出来了
勿忘国耻，振兴中华！
