之之好棒！！
哇简直太附体了艾莎本莎
这段和声啊我死了
声音好攻！爱了！
好赞٩(๑^o^๑)۶
我跪了
天呐，听过最棒的了
差点感情
前面粗鄙之语
都 给 老 娘 醒
除了高音声压没原唱大，别的地方都挺好，感情也挺到位
都 给 老 娘 醒
这个声音好像泰妍啊
太棒了
已三连
英语还是最好听的啊
才反应过来两个人
我的鸡皮疙瘩！！，
我觉得都很好听
天哪，太像原版了
挺好的不出戏
我哭了
太棒了
啊啊啊啊
我裂开了
这个小姐姐太强了！
日语完胜
每次听都会起鸡皮疙瘩
唱的超级好听！！！！
牛逼啊 好空灵的声音
卧槽
之之超棒
我靠鸡皮疙瘩疯狂起啊
之之超赞！
都好御姐音！！
最好听的翻唱
火钳刘明
狮子王！
大佬
弹幕呢？
？？？
不是吧
我老婆
好好听！
都是我喜欢的音色呀
哇哇哇哇语言天赋点加满牛逼！！！
妈妈啊啊啊啊啊
我觉得英语比较像艾莎
看弹幕挑刺好搞笑 “呼气声”、“n没有回归音” 惹好好听歌不行？
我觉得中文版的也超棒啊！！！
火钳刘明
卧槽爱了
喜欢之之
爱了爱了
好听
66666
 卧槽也太好听了
九宝九宝！！！！
好听耶！
我的天
好听
"awsl"
吃饭了
泰妍？？？！
这原唱了吧快
什么都不能表达我的激动之情了。握草！握草！握草！
逐渐中二的感觉
开头见
看得我想去电影院看了
两位神仙好棒鸭
歌名:今晚都别睡
口型对上了！
音乐翻
是神仙
awsl
妹妹：姐姐你在干嘛！！！
我来组成第6666个赞
F推下
这难道不是原版？
天呐，太好听了
好好听
鸡皮疙瘩起来了
发音还是有点不标准，但还是好听的
瑟瑟发抖
鸡皮疙瘩都起来了
好棒！！！！
好棒好棒 简直神还原
英语好空灵
艾莎本莎
↓我对象↓
突然鸡皮疙瘩起
？？？吃饭了是魔鬼？
真的有点像泰妍！
按□刺杀
日语好听耶！！
之之九宝太棒了啊啊啊啊啊啊啊
我爱！！！！！
好听！！！
火钳刘明
绝了
增加弹幕数量
被子盖人，讲究
之之好棒啊！！！
啊啊啊啊啊好好听！！
卧槽！！！
是我错过了中文吗？？？？？
好强！
太妍？？？
太好听了啊啊啊
水灵
地元素
风灵
火钳刘明
!
突然流行歌23333
开口跪
英文最好听啊
太好听了
高音太美了
之之美爆！！！
之之真的太好听了！！！
我天
日语版的好听
思密达！
这也是中文？
九宝好棒
九宝好棒
之之小光芒，真的带来了光芒万丈光芒万丈
光芒万丈
和声太棒啦！
我突然爱上这首歌了
好感动
好感动呀之之
好好听！！
我死了
英文版最好听！
这不废话么，本来就是英文歌，根据英文语调创作的
啊↑啊↓啊↑啊↓
日语好听呀
好像罗婕
中文也好听
开口跪
我觉得不算挑刺吧，人家只是把毛病指出来
泰妍
古神的低语
我的天
九宝好棒
日语部分太好听了
之之你真棒
666
听过的翻唱最好的了
！！！！！
？？
空灵是原版的吧
好听hhhhh
太美了太美了太美了
之之唱功一流啊
之之唱功太棒了
好听
好声音
同床共枕。。。yooooo
说出来你可能不信，然而我早已看穿了一切
好像
666666
火钳刘明
你币有了
吓我一跳
自从，看完这个电影后，我脑子里面全是这个啊！
我爱了我爱了
天门中断楚江开
火钳刘明
英语最好听
听呆了
好听到忘记三连
嗯？
厉害厉害厉害
跪着听完了
