可怕的时长
热乎
我擦！51分钟！
热乎的！
不愧是你如此长
辛苦了！
这个长度，你nb
恐怖的时长
这个恐怖的时长
这么一说所有人都是参与者
前排前排
精辟
NB！！！
好长
up辛苦了
大河内一楼牛逼！
先点赞，让b站知道这东西观众爱看
辛苦UP了！
太真实惹
牛逼
神秘博士额，片头
来看论文了！！！
全体起立！
就是因为都会被拉进去所以才需要有批判性的思维，不要总是当韭菜
长度吓人
这时长我天
还热乎着呢
！！！！
。
辛苦了
silence
nb!
666
盲从不费脑，理性要思考，所以*
来了
弹幕养肥再来看
你好长啊
up牛逼
666
np
承包帅爷
帅爷NB
nb
帅爷NB
帅爷NB
终于等到
今日乳xzf
yysy，确实
帅爷牛逼
小11
帅爷这段话就证明了他过去一年学的不错
吴京机场时间就是这些东西
woc嗷来了
难度不仅是视频制作，细品
来了来了
我的王之力哈哈
先三连再观看
来了来了
草
班超时候的汉朝就是苏联刚完蛋时候的美国啊。
论文区up帅nb，，，
卧槽来了
woc好长
哈哈哈哈哈哈哈哈哈哈哈可以的
就是网络打手嘛
草
百 大 暗 杀 名 单
我还以为是马化腾
灰公关？
先缓存在观看，免得下架
李狗嗨！！！
哈哈哈哈哈嗝
牛逼
唉，不要脸
不愧是你！
神秘博士
来了
进度条吓人
人类的本质
nb
有心了
太强了
哇
辛苦了
终于来了
666666NB
看长度先三连
cdpr老总？
帅爷未来是穿越回来的石锤了
好长啊
终于更新啦
博士！！！！！
51分钟？
我的王之力啊
哈哈哈网管
半泽直树。。。好看的
帅爷的长度  吓人啊
帅爷nb
nb
男……男公关
论文区UP
老王之力了
50分钟给劲
doctor
哈哈哈哈
有生之年
周杰伦《四面楚歌》MV
2222收藏路过
神秘博士的BGM？
没过瘾还行
哈哈哈哈哈
天皇都采访到了？
50分钟强啊
帅爷NB
从古至今最服班超，民族英雄
吓得我看了下时间
刚补完作业的我...
建议定顶上首页，兄弟们冲啊
NB
哈哈哈哈哈哈哈
好长，好深入。
寂静
nb
up辛苦了
潘多拉
刚刚那句话一语道破啊……
巫师
！！！！！冲着神秘博士你三连有了
51分钟？？？你三连有了
玄鸟公关，都被法院判刑了
满脑子黑～公～关～～
dw啊啊啊啊
网络快餐文化导致人们不善思考，对信息内容直接吸收没有思考，导致被带节奏
辛苦了
来了
喜欢小十一
独立思考很重要
帅爷大预言家
带师哈哈哈
豆腐加高粱之后（doge）
一小时
已三联
哈哈哈哈哈哈哈
太长了吧
过于真实
ra话术（有段联想）
这片段也太应景了吧
前面男公关的，樱兰高校。。
这段视频是什么电影里的？还是游戏？
冠希哥
233333
nb
徊加日记被黑公关了嘤嘤嘤
有个up还在解约中
我突然有点懵
进度条nb
真实
哇哦
哇哦
预言家
dw！
这个外星人是会抹去其他人看到过自己的记忆
第七季入坑
大制作
卧底记者啊这是
进度条跪了
以观众自身的角度，近几年也是吵的越来越厉害，从国家队那时候开始，就节奏不断。如今观众里面阴阳人频出，p小将，带孝子等帽子更是不断扣下。比起说服别人，攻击别人更实在，毕竟双方也不是为了理解，观点不一致，
这就很对了，从来都是广大群众吃的瓜搞的事
666
空屏承包
帅爷牛逼呢
预言家
战地记者
割割
枪好像是光环的枪
顶上去！
举报警告哈哈
不能看视频2333，会分心
这么猛的吗
哇辛苦了
这漫长的进度条
666
预言家实锤
韩熙载夜宴图
辛苦了
这一段视频帅爷剪辑的真好
独立思考很重要吧 不要别人说什么就跟着跑
这个时长有点东西
up是锦州人吗哈哈哈这个语调
论文区up主，太淦了
帅爷NB
回形针
5000多人
5000夺人再看
66666666
爷关更
哈哈哈哈哈哈
爱了爱了
惊了卧槽
四面楚歌
哈哈哈哈哈哈哈
今晚刀你
四面楚歌
求这个片段出处！！
辛苦了！
顶上去？
麦肯娜！
太专业了
这么长？？
CXK
天皇
哈哈哈哈哈哈哈保护我方up
头号玩家
这是李狗嗨啊！！
火钳刘明
已投币
巫师不更了，花花三猫倒闭了，哭了
1个小时 我的天
看了这么久居然才看了个零头
哈哈哈哈哈哈哈
666
主要是带节奏
博士
终于在我开学之前出来了
来了来了
帅爷NB啊
帅爷牛逼！！！
艾米莉
我怀疑你在内涵网管
esu
卧槽NB
必须三连
头号玩家
头号玩家
哈哈哈哈哈哈哈
进度条高能
热门第五瞬间限流！
缓存一波
头号玩家
历史猫……
三连吧！让大家都看到！
不要站队~不要站队~不要站队~
太长了，三连一下就走吧
值得我们去思考
真的首页来的
好多人点踩，有点意思哦
头号玩家的开场吧
断章取义？
论文区UP可还行
真的不喜欢锤人up
前面男公关的，你很可以
先收藏再说
锤人区给我的感觉就是狗仔
干货满满必须关联
再来一次
视频发布四小时后至少有九人踩了tag
这个进度条，太可怕了
老周
不愧是你
论文up
哈哈哈，up主ing拼音喜欢加重音
我去……51分钟，那有空再看
周董的MV，嘲讽狗仔队的
所以认真真的是一件很累的事
哈哈哈哈哈哈哈哈
肯定有内鬼会点踩的，点个赞都行，这个视频必须保住
@cxk
李狗嗨！！
nb
认真看
这段是电影，头号玩家
↑比如你
不要理评论区的人
dw 你三连有了
神秘博士啊
神秘博士
Up主也是whovian吗？
你就是下一个百大
保护
打倒黑公关
经典黑底大彩字
建议看完
真的等了好久了
先三连，弹幕养肥再看
up主好长，i了i了
辛苦啦
辛苦啦
NB！
马化腾？不是华腾？
韩熙载夜宴图!
是DW！！！
出自头号玩家
这评论量，多少人跑来带节奏？
这次一定
博士呀
确实
三连为敬，以后细看
第三个是预言自己？？？
卧槽，之前直播就有说，没想到真干了！帅爷NB
松江
宋江
回形针
这是李狗嗨吧
辛苦了辛苦了
十一
‘；=‘’’
独立思考很重要+1
这个是dw里的
头号玩家
草
有点泰凯斯的味道了
你们怎么看到有人点踩的……
神秘博士
神秘博士
巫师财经
怎么感觉弹幕上会有人恼羞成怒...
头号玩家啊
挖中之人草
有种在面试自我介绍的感觉
大家点赞投币，让更多人看见啊！
这行小字好灵性
回形针那是实打实的原则性问题，也能叫做被黑吗
excuse me？？？这是legal high
我卢本伟没有开挂
预言家，刀你
某粗粮
冖军点了个赞
这是李狗嗨不是半泽直树
不要惹姓王的外交官
自古以來，姓王的外交官。。。。
菊厂
这进度条怎么回事
没弹幕吗？
我个死宅最近喜欢华晨宇才知道黑公关有多厉害
厉害了
佪加日记本来就是抄的
三连再看
黄 泉 归 来
如范冰冰（滑稽）
听不懂的可以入土了吧
这视频更适合三刷
这UP每期都是高质量论文，你当快餐看当看不懂
时长太强了
翔哥也有?
前面的巫师更新了，猫猫与三花只是暂时休息⬅️不要胡说
建议先看时长 本期显然是长视频干货类 类似网课 需要先情景导入仔实例分析吧
战地记者
来了
看了几小时
光看前几期就废了几小时
原来如此
真的是到哪里都能看到…
帅爷nb
可怕
卓伟。。。
保护
论文区up
时长可怕
没人能做到真正的独立思考，就像没有办法自己把自己提到半空当中一样。我们的思考都是基于社会的普世价值观的。
绕口令？
白冰冰
。
已经上热门了!!!
爽了
今日乳虾
请大家注意弹幕里可能就潜藏着黑公关
没弹幕？
nb
记住别看到弹幕发了某某作品某个人就开始情绪激昂，一定要独立思考
罪恶王冠
“左右逢源”指做事得心应手，非常顺利。也用以比喻为人圆滑，两头讨好。
hw前hr
建议关弹幕食用
网管
进度条认真的吗？
说实话，有些你自己不清楚的事情，不要听别人瞎胡说，被别人带节奏
这是预言家，快刀
我刚打开，钉钉就响了
李狗嗨
良心视频啊
牛逼，帅爷
bgm：i am the doctor
黑公关本着“得人钱财，与人消灾”的理念，在网站和当事企业、个人之间充当着“掮客”角色。而隐藏在其后的，则是一条由推手、枪手、打水军组成的庞大的邪恶链条。
鬼看条
我tm看成王老菊l
前奏有点长
进度条！
@天气之子
哈哈哈哈哈哈这行小字我笑了
免费水军
所以不了解的事情就不参与，不从众会好一些
在讲黑公关你们谁黑谁讲什么啊，有意思吗
牛
分清楚，巫师，回形针是活该好吗
纱～～～织～～～
1
可以
投机公益
辛苦了！
设置议程
gvv
up牛逼啊
红字大家麻烦举报
有一种神奇的生物叫安屠生
silence will.......
打字就完了
看鬼条
现在有的up饭圈了，你敢信吗？
哈哈哈哈哈哈哈哈哈哈哈哈哈
进度条好评
独立思考
草，为什么黑网管
xz
鬼见条
看到这个时长我有点傻
请大家一定要三连
退一步越想越气
g
@戴安娜王妃
预言家实锤
韩熙载夜宴图可还行
现在真的好多up主都被莫名其妙的黑
有人在踩tag，请帮忙顶一下
啊
古美门律师
辛苦了
有心了
辛苦了up！
小11！！！
卧槽？我才看了个开头么
竞争性真相！
帅爷nb！！！
韩熙载夜宴图
虽然感觉很牛逼
留下ji印
幸苦了
封面选的好，绅士少不了
政治
鬼见条
我晕了
四面楚歌
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
