功夫之王
←跑酷难道不是某国的传统艺能么
转场好评
够我学一年
带帽子太帅了
醉拳
妙啊
哈哈哈哈哈哈
最后喝成傻子了
这次一定
醉拳才是成龙鼎盛时期 
武器大师
龙叔是我最喜欢的动作演员，没有之一
投币投币
宜家战神帅啊
想看城市猎人
OHHHHHHHHHHHHHHup主nb，龙叔nb
已不在年轻，逝去的岁月
英伦对决，好看
戴帽子，吃口香糖我一辈子也学不会
我是谁2
花式戴帽子
红番区
三连了
神话是我梦开始的地方
牛逼
宝贝计划，应该是
龙叔，永远滴神
龙！
工业酒精喝下肚，把你打到跪着吐
必须三连
半醉不醉醉拳最高境界!
这就是新人么
前方建议0.5倍
当年我练这个翻帽子练了好久
很庆幸生在了龙叔和星爷的年代，两大影视标杆
红番区
戴帽子帅啊
从六岁粉上龙叔，一生未变
拼出来的传奇
很庆幸生在了双周一成最辉煌的年代
跑酷很早就有了
哇，这个画质好爽
成龙不死于徒手 喝酒超级加倍 
帽子戏法！！！
除了成龙还有几个人能拍出这个水平？
这段拍的时候是真跳好像还没有安全措施
神话神话神话！！！！
十二生肖
6666
龙叔真的爱了
Jackie Chan!!!!!!!!!
不追星，就只服星爷龙哥发哥这类老演员
神话！！！！！
龙哥还能走，龙哥还能秀
龍！
帽子：我晕眩了
神话！童年记忆
龍龍龍龍龍龍
龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍
龍
Duang
英伦对决真的看的心疼
这次一定
三档路飞
二档路飞
好帅啊
龙叔永远是演艺界的一颗东方之星
龍
小朋友们 工业酒精有毒 现实中不要模仿哦
龍
真的是什么武器用的都很专业
尖峰时刻也好看 小时候很喜欢看
有没有春丽皮肤的龙叔？(狗头)
在百货商场里灭霸都打不赢龙叔
这是霹雳火！
剪得真棒
龍
片名：我是谁
醉拳
龍
这次一定
太tm帅了
龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍
这次一定！
龍
不追星，但是成龙的电影都不差
龍
龙叔nb
这次一定
龍
邻家特工
龍
龍
不是演技好，这是真的跳 破吉尼斯世界记录的跳
成龙快乐车
老道具王了
我看哪个敢白嫖！！！！
成龙，永远滴神！
龙叔你老了
龍
龍
怎么没有吃口香糖的片段啊啊啊啊啊啊
"龍,"
新警察故事 这个是真的 有花絮
龍
龙叔的戴帽子我一辈子学不来
龍
卧槽这剪辑牛逼啊
龍
大醉拳！！
家具城buff
okk
一键三连了
神话！！！
龍
i了i 了
三连
白嫖失败
龙叔太帅！！
龍，别看短短一个字，却精确概括到了全文的内容主张，生动形象的表现了大虾米在本文中的线索，更能引发读者的联想，这无敌，用的是恰到好处、激情澎湃，在下佩服、佩服。[doge]
龍
想哭
龍
龙叔版春丽B站有
龍
12生肖
英伦对决挺好看，应该是龙叔近期唯一能看的
口香糖呢？？？
红番区
武器大师限定皮肤——成龙
大哥永远是大哥
尖峰时刻
神话
龍!
我觉得尖峰时刻系列是巅峰
龍
环游世界80天
你币有了！
龙叔，奥利给
爱龙叔
这次一定
Nice你三连有了
龍
龍
龍
电影《英伦对决》
帽子戏法
帽子戏法
小朋友请勿模仿！
不干嘛
龍
龍
跑酷鼻祖？
龙叔是真的拼
龍！
神话！
谢谢龙大哥陪我们走过那么多年
龍
真的帅
龙叔--真·万物皆为兵器
必须三连！！！up剪的超棒诶！！！
喝假酒了
帅啊
龍
武器大师
bgm:Titan
年轻的时候帅炸了
工业酒精
龍
他在狂笑
周围杂物越多战斗力越高
龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍龍
打水龙敬那个过分了（doge）
龍
成龙经典戴帽子呢？
这是我爱了一辈子的男人啊
帽子戏法好帅
龍
龙
玩跑酷？问过龙叔没有
鹅，妈妈
龍是传奇
龍
英伦对决好吗
刺客信条
工业酒精哈哈
我是谁
龙兄虎弟
龙叔面前.谁敢下次一定？
哎，真看出老了，
鲤鱼打挺
武器大师
龍
龍叔的青春在这里
龍
龍
两个蔡徐坤
我就仨币，都给你
前面说喝工业酒精的，真喝了，人早死了
帅！！！
怀恋就完事
动作大神
在家具市场无敌的男人
Dragon
duang
武器大师
龍
尖峰时刻
龍
龙叔牛牛牛！！！
龍
云玩家那个，你玩过春丽吗？(doge)
我透戴帽子好帅啊
这次一定
醉   酒     狂     暴
