李锦记瞩目
剪的好哇
好多动作最后用的是替身的镜头、
你币有了
......
聪敏，币我头投了
要真的是替身就好了
成龙，永远滴神
我要知道这几部电影，不然捶死在座各位
你会变老吗？
他年轻的时候真的挺少用替身的
成龙用替身？
龙叔这种危险镜头从不用替身
而且用替身的话替身就危险了
十二生肖前这些动作哪个替身敢接？？说话不长脑子
那得死多少替身，不是每个人都有龙叔这身本事
捶死我吧，反正过了今天我今年就没得活了！
龙叔希望你不要老
作为演员这个职业来说确实敬业！
替身就不是人了吗？
真烦这种说替身觉得自己很懂的睿智
凭傲气硬汉子 
什么才是真正的演技
奥斯卡终身成就奖
什么才是真正的演技
有多少替身都是成龙大哥演的
哪个替身敢来替成龙的动作？
他太秀，却没教好儿子
刚听出来这是成龙唱的
危险动作他还就是用过替身，不过这跟他演不演技没关系，也别在这逼逼了。他确实牛，我也敬佩。
龙，永远的偶像
不是
这个bgm太经典了！
龙哥滴。你们不晓得。？！！
BGM好评
收手吧啊祖
亚洲超级英雄的代表
来捶我把我都知道
泪目了
为什么
致敬
龙叔
火山那个镜头是风洞
成龙，永远最敬重的演员之一
成龙从不用替身的
龙叔杨紫琼在保险公司的黑名单
保险公司都不敢给成龙签保险，替身敢上？
成龙，永远的神
yes sir！i m ready！！
这首歌还是原来的粤语好听
人无完人，别对他这么苛刻
我觉得天都被感动了，不收他了
成龙本身就是李小龙的替身
确实用过
这不是演技，这是拼命
真帅
收手吧阿祖，外面全是成龙，还有家具城
还有谢霆锋也是黑名单
致敬
原来这些镜头都是真的
这没用替身，当时雨伞那部电影还受伤了
说替身的，确实有实在做不了的动作会用钱嘉乐
“对不起我会还给你的!”
柯南卧槽
老了，伤不起了。他年轻时真的拼
百载岁月谁能留下
现在的小鲜肉要是有成龙百分之一努力我就粉了。。。
耶
龙叔真的，超一流高手
这个花絮也是真跳，结果台词说错了重新跳大哥裂了
你们不会真的以为用替身是因为危险吧？
用过替身的事是龙叔自己说过的，别逗机灵了
用替身有什么好奇怪，李小龙也用过。而且之前有up主说过这个事儿。有视频为证。用过就用过，有什么大不了。
把身体用到极致
演员和明星是两个职业
加油
家驹处刑曲
拼命如成龙
传闻龙叔剪个短发拍戏就会出事
前期的替身  都是某些动作为了表现的更完美  现在是年龄太大
为了果人威严
实话说就算有威亚，很多动作骨折都很容易发生
致敬
起飞
致敬
好心疼啊
据说他在家具城里，都能打赢灭霸？
成龙用替身的 不是从不用 大部分都是亲自上场
白嫖失败
龙哥nb
这还不是演技啊？
不哭不死不败
成龙历险记
十二生肖
普通人早就死几百次了
替身不是人？
可惜了，儿子没教好
火钳刘明
致敬！
致敬成龙！
致敬！
用过，一些动作不好看就让成家班做
现在老了，有些地方的确没办法的
致敬
成龙大哥是用过，但他也说过危险动作不用替身都是自己上
你当成家班是摆设吗
永远不找替身的演员！名副其实的演员！致敬成龙！
宝贝计划这个空调跳是本人
用替身又怎么啦？
Yes！
成龙，成为中国的一条神龙！
龙哥永远滴神
我爱龙叔
我们长大了，他却老了
替身？马萨卡
作为父亲不及格，但作为演员确实没得黑
