肝神，我佛了
热乎
我愿称之为肝贼王！
鼻子酸了
大家好，我是洗肝君
肝人
先三连为敬
泪目
爷青回
泪目
泪目
满门忠烈
厉害
满门忠烈狮子兽
肝神
我愿称你为最肝
因为只有亚古兽吃了饭
你是真的狠
我还有暴龙兽的玩具
音乐响起，爷青回
肝上长了个人
回忆啊
nbnb
？？？？？？？？？？？
大制作
很难不投币
无敌
好家伙，我直接好家伙
好家伙，我直接好家伙
满门忠烈
肝帝就是宁吧
泪目
哥玛兽太萌了
泪目
爷青回
立刻三联
先赞后看
这配音可爱呀
我直接好家伙
交际花美美
全体起立
6666
鼻涕兽会贯穿整部。他们笑死了。但也挺有爱。
这个bgm真的听到就会很想哭
满门忠烈
牛逼了
这不给币什么给
国语真回忆啊，泪目
无敌
同志们，DNA动了
np
喜欢
哇
肝上人
大哥，注意身体啊
真高产
前期最强战力，安德鲁兽
高产帝
哭了
泪目
肝上长了个洗碗君？
就是这个
20年，听到这段电音还是会很兴奋
正义的群殴
巴达兽真可爱啊
应该是全世界唯一一个钛合金肝的up主
中文好评！！！
满门忠烈
就是这个配音
不知不觉中我们就长大了
爷青回
1
1111111
梦开始的地方
我的最爱
国语舒服
神圣计划
可以有
勇气
泪目
这就是勇气！
给你跪了
智慧的力量
好大的口气
别说了，我先哭
爷青回
185位好兄弟，你们好
丧尸暴龙兽
你的那个好看，我要跟你换
..
泪目泪目
没牌面
yqh
神圣天使兽是完全体
泪目！
哭了哭了
泪目
神
泪目。
哭了。
牛啊
nbnb
究极体数码宝贝:肝帝兽
泪目
这个姿势。。。
肝帝
喜欢
肝王之王
中文真童年
爷青回
人多欺负人少
童年啊
厉害厉害
恭喜上热门
上热门了 奥利给
哭了
东南台，没毛病
儿时记忆，这带感的BGM
这发量不太对
挺可爱的
法易路岛？我看的是假的数码宝贝吗？
爷青回
先投币了
谢谢阿婆猪
少年比尔盖茨
泪目！！！！
记得吃冰淇淋有透明模型
明明叫武之内 空，为什么强行叫素娜？
勇气
辛苦了~
友谊
爱心
危
知识
纯真
诚实
泪目
这个配音好好听
素娜是台版翻的音译
每次遇到重大危机总是太一的勇气解救局面
