烫嘴
死亡二重奏
背景音：C N M
真不错，投了
唱的好，我选择zgwl
厉害
灯儿冲！螺蛳粉冲！张三冲!
调音爱了
太厉害了
牛逼
这个主题太棒了
强
这个作品真的棒
淦nm 待nm
tql起鸡皮疙瘩了
牛逼！
nb
可以
泪目
画的真好
芜湖——起飞——
网暴现状
新鲜的我
+--
牛比6666
敲钟人
致敬的是那个医生嘛？呜呜呜
给你给你都给你
一个币太少，再投一个
赞赞赞
填词，配图真棒
我今天选择弃权
真实+1
我们谁还不是个张三
相比纯粹娱乐的鬼畜，这种鬼畜更有意义，up用心了！
好
来早了
李四：？？？？？
李——四——
2个币是你的了
真实
爱了爱了
我开了个假弹幕？
我愿称之为鬼畜文学
牛逼
卧槽 这句太顶了 kpi
赤子之心
你币有了
你币有了
转音好评
respect
这届张三太惨。
三连
谣言恶心
听懂，掌声
nb
最怕鬼畜走了心
比鬼更恐怖的是人心
爷青回
泪目
春天在哪里
厉害
春天在那小朋友的眼睛里
。
唐吉诃德
了不起
用心了
看懂了//
三年A班
这次一定
想起年初疫情剛爆發的時候。那位先生。
牛逼
牛逼
调音太棒了
绿队稳了
不火没天理
如果我有罪，请让法律惩罚我
nb
你票有了
泪目
这里好美
文亮？
泪目
你三连有了
1.5好评
可恨只能投两个币
张三！！！
泪目
太强了！
你票有了
这填词
nb
你币有了
世间或许没有张三，又或者，人人都是张三
春天在哪里
泪了
三连了
镇站之宝
我丢真好啊
梨泰院
李—四—
???
哈哈哈哈哈  被嫌弃的张三的一生
泪目
泪目
孤独时代
666666
火钳刘明
这是个黑童话
牛B呀！有深意
63737
加油
3000个人正在看就离谱
233
77
两边都好，犹豫不决
牛皮
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
希望造谣传谣早日入刑
升华了
最後一句感觉不好 但作品真的很棒
这里其实有问题，乌鸦之所以被讨厌是因为乌鸦只说真话
我马达拉愿称之为最强
卧槽
头皮发麻
salute
再来一遍
泪目
前方高能！！！
这个张三和前面的张三不是同一个人
&&#$%*
可以，票给你了
nb
这词牛皮！
这个作品最优秀！
泪目
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
三遍了
太棒了。
头皮发麻
美帝手法‘
真的很厉害啊
不用犹豫不决，直接投票，喜欢就喜欢 
作画牛逼
泪目
中西结合了
像医生的口罩
头皮发麻
羔羊？澳大利亚无能狂怒
NA
误杀
疫情初期的医生们
泪目
泪目
吹风
火钳刘明
别让乌鸦操纵你的灵魂
太上头了
卧槽，这么好呢嘛
想到了某个医生
三连了
三好留级生
君子宜净拭冷眼，慎勿轻动刚肠
|
下次丕定
哈哈哈哈哈哈
张三就是骑士
泪目
立意真的好
神仙打架
无敌
LSNB
真的是神仙啊 关注了关注了
他为苍生说过话
两边挺好，弃票
二重奏看的头皮发麻
泪目谣言太可怕
再看亿遍
舌。k
啊啊啊
味儿太冲了
我的区长父亲
调音不错
所以被推下去
讽刺带节奏的
听的差点要哭出来
无敌
沉默的羔羊
倒叙
你还有改过的余地
67373
这次一定
你币有了
泪目
泪目
看鬼畜看哭了
泪目
太绝了
泪目
张三竟是我自己
666
好！
张医生，我的张医生
开始哭了
真·神仙打架
绝了
鸟是黑乌鸦，花是彼岸花
牛逼
后真相时代……
貌似好像懂了
有点东西
然后去网吧上网没带身份证输掉了比赛
龙神nb
泪目
牛批
牛逼
真的厉害！！
要自己解讀才有意義
是真的厉害
细思恐极
你币有了
乌鸦在我身边   原来我才是乌鸦
厉害
春天在哪里
泪目
牛逼
结局反转
张三我偶像
别让乌鸦操纵你的灵魂
这不是欺负老实人吗！
418094up
应该是
屑作
这个必须投啊
太讽刺了 巨龙？恶龙还差不多
你币有了！
6！7！3！7！3！UPUP！！！
泪目
倒叙
投了3个币
已素质4连，再来一遍
别让乌鸦操纵你的灵魂
为什么只能投一次，你让我怎么好意思？
泪目
泪目
泪目
牛逼
鸟上面的皇冠，新冠
这次一定
震撼
太强了
太棒了
牛
泪目了
看了两遍我才看懂，牛逼
转音真的超赞
神作
点赞投币你要什么我都给
牛
up厉害
泪目
nb
泪目
别让乌鸦操作你的灵魂
李四:草
牛逼
出去就没回来
最怕鬼畜走了心
nb
泪目
可恶这个时候没币了
大雨驱散乌鸦  意象派
