买！都给我买！
这配音不错
基努里维斯 太帅了！蠢驴NB
月底检查，没买的全踢了！
太牛逼了！！！
wc这么快就有中文配音了
GOG买爆！
一觉起来2076年了么
好兄弟这就死了？不能吧
杰克 吉伦哈尔 ？？？
基努里维斯卧槽
diao
卧槽 终于！
中文LOGO都来了
知道这是谁吗？基努里维斯啊！！！
这个 黑胖子  我一定要弄死他
卧槽！！等等！背景新闻播报都是中配啊！！
这配音666
败者食尘
配的真好
笑脸男？这老哥是骇进了视网膜嘛？
这中配，这翻译文本，买爆啊
中文啊
前面中文logo的，怕是真的在做梦2333
这是完成任务的方式会影响任务结局吗
配音听的很舒服啊
好——兄——弟——
都炸了233333接地气
赶紧缓存
CDPR牛逼
意外之喜啊啊啊啊啊啊啊
这是凡事掏枪结局？ 每个决定都会改变npc的命运
螳螂剑牛B！！
这应该是惹到警察了，如果不惹警察估计兄弟不用死
0260
配的挺好啊
这是cg，不是实机
感觉是玩家的选择导致了交易的破灭和同伴的死亡啊
好爽 哈哈哈 这代入感 终于不用看字幕影响看剧情了
居然没和谐
男神太帅啦
johnwick
人家是原著作者
前方高能
我要国区典藏！！！
我去 配音可以啊
前方高能！
OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
吃灰吧！！
中文配音版牛逼了！！！！
卧槽我要死了
这个配音太有范儿了吧
次世代主机画质吧
文本不错，确实还有点翻译腔。要是能有全战三国那种感觉就好了。
OMG！！！！
这画面不敢想象
右下角芯片！
牛逼疯了
有点不习惯，希望正式版可以选择英文配语+中文字幕
反正是单机，买GOG版让钱全部给CDPR赚吧，而且GOG版还有独占奖励
这个人就是我买这游戏的理由
毛子，wdnmd
主角招了jc，黑胖就想处理掉他
买爆！！！！！！！！！
什么？？居然有血！！
疾速追杀2077
好帅！！
希望能听到脏话配音
配音真的牛批！毫无违和感
右下角 的六个芯片！！
胖子 说白了 你就是不想付钱？？！
买爆了
我期待与你相见2020一躺新的旅程在等我
这个似乎是预渲染的，不是游戏实录（也没有游戏实录的标识）
再看一遍
牛逼就完事了
生意应该也被搞砸了
港台片既视感
！！！啊？啊啊啊啊我疯了！
gog steam预购！！！
还翻译腔，爬
s爽
这应该是剧情分支吧。我还挺喜欢那个搭档的。
DJ
今年是2076年！！！！！！！！！！！！！
啊啊啊啊，帅爆了啊，必须预购啊！！！
买爆
太像毛子了
GK?
卧槽 男主角也太帅了
我更喜欢听英配
这是不是剧透了。。
这要啥配置啊?
awsl
wdnmd真的就定了呗
ohhhhhhhhhhhhh
NB
这画面，无敌了
已经预购啦~
啊啊啊啊！！！
你一个人就够了 我就在旁边看着
中文配音配的可以哦！！！！
这应该是实际游戏画面了
牛逼！买了！
牛壁！
赛博朋克2077牛壁！！！！
如果把该死换成md，就顺口多了，不过这也不错
这不是地狱神探吗
可以可以
中文标志一年前就有了
瞧瞧我发现了什么！
卧槽
黄旭东？
 awsl！！！
Neo
卧槽
30秒的实机片段没看到
牛逼
武士
电热领子
牛逼
竟然请了基努？CDPR你的爱太多我受不了了啊！
电影配音
出必买
"emmm,又看了一遍,是因为镜子,没问题"
预购开始了
是不是用光线追踪了
2小时前
估计是实机演示
？CG？你怕是没见过实机演示的时候吧
爽
我去有钱啊。这游戏上电影配音
CDP天下第一
过审老巫师
爽翻了
哎呀，实机里的大个子死了
上班的各位早啊
黑吃黑了
哥们走啦！
省一笔黑吃黑
基努！！！！！
老大
基哥应该只是客串一下吧
啊啊啊啊啊啊啊啊
我哭了
蠢驴牛逼
强人锁男
那个男人来了！！！！！！！！！！！！
我看了，一帧秒了，有什么好说的
买爆
好酷的感觉
疾速追杀的感觉
这男主在欧美游戏里真算嫩的一匹了
前方高能
cdpr永远是我大哥！
没人注意到SAMURA嘛？！
咱们马上就要幸福了（｡ò ∀ ó｡）
配音有感觉
不怕进水吗
软体不稳定
jackie就是演示里那个西班牙裔队友啊
感觉表情有些僵。因为他的脸是机械的吗？
求bgm，beats很炸
我的生日！
这就领盒饭了？
杰哥不要
背景音cctv
还有中文语音这也太良心了
本预告为Cinematic trailer
很好！
有几个fck屏蔽音
基努里维斯 我tm买爆！！！！
醒醒吧，巫师
配音nb
这是chlg吧，过场动画
帅
我TM买爆
应该是实时演算
！！！
基努里维斯！？
再来亿遍
牛批
哦哦哦哦哦！
蠢驴牛逼！
封面基努里维斯？
这是一路选择砍爆的代价吗
我tm在看cctv6？
蠢驴的游戏还有剧透一说？
John Wick!
蠢驴nb
实机你妹啊弟弟
卧槽 这中文 用心买爆
这配音还不好？文本没那么接地气可以理解
woc
牛逼！！！
。。。。太尬了吧
牛逼！
挖槽
这是电影吗？！！！！
爱了
我TM
买了
大家去gog买啊！！！
因为就是基努里维斯
Do not hurt puppy
尼奥！
是不是觉得英语是你们母语了？你见过外国人有英语会用中文的吗？？？？？？？？？
秒了
应该是渲染过
就死了？
没看爽，我要买爆
前方高能
封面基努里维斯
瞧瞧我发现了什么好东西？
基努里维斯！！！！！
已全款预购
emmm又来?又是一个在我生日那会儿发售游戏?
爽
哇哇哇
说配音不好的自己去调英配好吗 
PC达不到的渲染？你玩的游戏太少
是cinematic trailer 不是实时演示
关弹幕看看顶部的小字
买啊
这没有他们自己家昆特牌的配音好啊
卧槽！！！买爆！！！
中文没有原文那么粗，不够黑的感觉。。
双11换电脑
是你，基努里维斯
竟然还有不穿模的实机？？
这配音可以啊
中文？？
1660ti能否一战？？？
这个配音买爆啊
Woc这中文配音居然一点都不尬，太强了
gog买了能激活到steam吗
CDPR坚持要做中国本地化很用心，各位大爷至少赏个脸吧
托什是你吗？
大家去gog买阿
实在不喜欢可以换啊
还有58年发售
中文肯定比英文尴尬，但是这个配音算是不错的了
这个中配很好啊，质量不错
注意，前方超级高能！！
注意，前方超级高能！！！
前方高能！！！
前方巨能！！
核能准备！！！！
买了买了买了！！！！
2077的看门狗
1060还有一战之力吗。。
败者食尘辣
太帅了！！！！！
感谢所有正版玩家！
steam上有预购了
连logo都中文化了，牛逼
太牛逼了
吨叔
已入手
尼奥尼奥
我觉得配得比表情还好啊
中文好评
好顶赞
疾速追杀2077
央视配音
