我天这么流畅
火钳刘明
留下第一个弹幕
厉害啊
强无敌
牛批啊！
火钳留名
妖王
三连
木叶飞舞之处，火亦生生不息
6666
大佬
这是何等的……斯给
厉害厉害
火钳刘明
太强了！
6666
三连~
只能说一句神仙
太厉害了
666
好厉害。。
无敌无敌
66666666666666666666666
我去 何等 的耐心
博人传也好看啊，我一定会等到博人也成为独当一面的忍者的
火钳刘明
大佬啊
必须三连
壮哉我大火影
亚洲第一天团参上
最喜欢的op之一
辛苦啦！
火钳刘明
这得做几个月吧
我也有拼上性命也要守护的人
"Heros come back,巨带感，从两个翻唱那里回忆起来的"
Heros come back
三连了
6666666666666666666666666666666666666
真的厉害
牛逼牛逼
血玛阔以
火钳刘明
肝帝吗
妈问跪
必火
制作名单厉害了233
66666666
厉害啊，up主辛苦了
三连了
555波风
牛逼
辛苦
已经三连！
厉害了  不需要眨眼补帧
呜呜呜真好啊
特效666
一脚踢666
太厉害了
6666
三连了！
up主牛逼！
牛逼牛逼
刘明
真厉害
厉害了
膜拜大佬
阿婆主牛壁！！！（破音）
大佬牛逼
给收下我的膝盖
一拳超人
不用说。两个币
UP主NB(破音)！
666666666666
nb
沙子还有颜色..好厉害
火钳刘明
暗示下期沙画是琦玉老师
帅气
这一段有创意
up书我爱罗233333
真的辛苦了
送他上首页
非得要博人传吗
up牛逼
6666
从抖音过来的
哇，我哭了
突然文艺
强无敌
四代目大大！！！！！
用心了
琦玉老师
卧槽96666666666
666666666666666666
卧槽卧槽大佬啊
太强了
666666666666
素质三连
火钳刘明
这就是强者的世界吗
牛皮！！！(破音)
牛逼牛逼
出自国人黄成希！！疯狂打call
6代风影?
哇塞，大制作
一帧要多久
简介辛苦了
卧槽  这是什么神仙  四连四连
我尼玛硬币给了
妈问跪加一
辛苦了！！！！
这是高手
我靠真的6啊
最后亿遍
NB
666
我弹幕呢？
等等，这是用沙子。。。
卧槽
辛苦啦
↓你是魔人本鬼
666
我要这硬币有何用
卧槽！！！！
看的头皮发麻
三件支持，up nb
友情提示 这是 巨佬 全程高能
火钳刘明
heros come back！
跪看视频
请收下我第一次的投币
？？？卧槽
66666666666
66666
三连支持
辛苦了
吴克
教练，我想学。
大佬大佬
手动特效哈哈哈
火钳刘明
火钳刘明
波风水门
鸣人老婆给你来上课了
我是跪着看完的
火钳刘明
卧槽
做这个应该很辛苦，up主辛苦了，三连已奉上
必须三连
神迹
沙雕大师！！！
6666
一键三连后食用更好哦
太强了，全身都麻了
绝对三连
卧槽卧槽卧槽牛逼牛逼牛逼666666
6666666666666
火钳刘明
火钳刘明
卧槽！！！！！
两个月，我透
666
巨佬
你好，我是天庭的身份证管理人，请出示你的身份证。
66666666666666666666666
我是谁？
不投币对不起自己
太帅了趴
辛苦了
66666666666666
6666
你们可能不知道…我现在全身发麻颤抖
666666666666
百看不厌
牛逼啊
没错前面的沙忍村
这是要花多久时间啊
要币而已，给你就是了
好强啊啊啊啊
说沙子还有颜色的，你是来搞笑的吗
已三连
厉害
5刷
谁了谁了
666666666
神仙下凡
辛苦了！
6666666，大佬
射！
最强之一
我刘愿称你为最强
我靠膝盖跪没了
这哪儿是巨佬，这是奆佬！！！
woooooooooc！！！！
啥话有很多种颜色的
hqlm
我有赌上性命，也要守护的东西
大佬+肝帝＝巨佬
碉堡
辛苦了
神仙
再不斩拍着棺材说:这招我熟！我熟！
是个大佬
我有卖掉鸣人，也要冲的648!
巨的一批
up主，怕是我爱罗
我要这硬币有何用？
666666666
整的厉害了
奈何本人没文化，一句卧槽走天下
召唤手里剑的时候 我浑身颤抖哦
卧槽为敬
沙忍xswl
处女币已投
直接片尾见
6666666666666666666666666666666
6666666666
真的感动了，辛苦up主！！！
大佬收下我的膝盖
b站我爱罗
加油
@我爱罗
牛
巨佬
火钳刘明
woc6666666
66666666
情怀出来了
六得一逼
握草。。辛苦了
地爆天星呢
太强了，我曹
牛逼牛逼，好看啊
神仙！！
卧槽，火钳刘明
妈耶！！
火钳刘明
强
6666666
强啊
服了厉害厉害
神作
神仙
６６６６６６６６６６６６６６
前面放了我的闹铃，现在又放我的手机铃声
bgm好评!已三连!辛苦了!画的好棒!
火钦刘明
火影赛高！！！
你是我爱罗吗？
牛逼
巨佬
6666666
不仅要会沙画，还要会绘画，大佬
太强了
天呀呀呀呀呀哎呀呀
牛
波罗斯加油啊！！
火钳刘明
牛逼！
服了
那么秀的吗，开场就吧我给炸啦
火钳刘明
卧槽
卧槽
666666
收下我的膝盖
卧槽卧槽卧槽卧槽
这是什么神仙视频 卧咧个大槽
真的辛苦
我有拼上性命，也要守护的东西
献上膝盖
heros come back
我！草！
我这事也就我爱罗能干出来
收下硬币
go！
鸡皮疙瘩全都起来了，真是太强了，三连必须地！
哈哈，再不斩待遇
光头强！
6
666666666666666
只有一句wc
第二遍看
牛逼！！！！！！
此视频不火 天理难容
闹铃响了
6666666
等待
hero's come back !
你就是我爱罗？
特效是后面加的
好厉害啊
*66666
是个狼人
给跪了
硬币已投
nb
好强我靠。是个神仙
强啊啊啊啊破音
真的厉害
NB
与666666
我爱罗：来来来，风影你来当
6666666666666666
火影感谢有你！！
永带妹
我有赌上性命，也要去守护的东西
heroes come back好评！！
明天一定补硬币！
6666666666666
厉害厉害
要哭了
遇见火影，值得
666
背上火影的名譽，我不能输！！！
这是何等的握草
2啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
各路神仙名单：→→→
666666666
跪下
hero 's come back ！卧槽！
大佬大佬
一键三连
666666666
少拿原版骗我
颜色部分可以后期加
看哭了
66666666666
666
五代风影
太强了
辛苦了
我爱罗：来来来，风影你来做
感谢up
明天上班
蔡徐坤！
66666666666
卧槽
必然三联
牛逼
万
66666666666666666666666666666666666
up辛苦了
太太太厉害了
卧槽
火钳刘明
火钳刘明
卧槽！！
神仙
木叶飞舞之处，火亦生生不息
三连
赞
少拿原版骗我
火钳刘明
留名
我爱罗在作画吗O-O
这是风影吧。。。。控沙能力MAX
牛逼
你就是我爱罗？
666
厉害
神仙
神仙下凡辛苦了
大佬牛逼
我有赌上性命，也要保护的东西！
来看巨佬
人才啊
求bgm
太牛逼了
牛逼66666
感谢
66666666666666666666666666666666666 66666666666666666666666666666666666
666666
牛逼嗷
大佬
火钳刘明
不就是硬币嘛给你就是了
咏春，鸣人
牛B
66666666666666666666666666666666666
这个世界为什么会有这种大佬
跪了
斑：这招我熟！
真的666
牛B！
旮旯来了
是个狼人！！
木叶飞舞之处，火亦生生不息
又是神仙下凡
这是什么神仙
神仙
6666666666
这也太秀了吧
UP你不用伪装了  我知道你是我爱罗
厉害了
最强本人
woc
跪了
nb啊！！！！！！
up你是我爱罗吗？
66666666
卧槽
厉害
膜拜大佬
火钳刘明
尼玛你就是砂之......
卧槽
up怕不是我爱罗本罗吧
亚洲天团
BGM是什么
牛逼!!!!
是你我爱罗
我我...我感动的要哭了，真的
woc!
决定了，我每天来投一次
卧槽卧槽卧槽
厉害啊 还有配音
我来看看是哪路神仙
卧槽 卧槽  真神仙啊
卧槽？？？？？？？？？？？？
鸡皮疙瘩
我擦
66666666
神仙
我刘某人愿称你为最强
大佬牛逼
b站我爱罗
牛逼
woc
神仙姐姐
你是我爱罗吧
666
6666
牛吧
我斑愿称你为最强
这
怎么做到的
有些人表面是沙画师背地里是我爱罗
tql
6666666666
牛批！
66666666
火影忍者疾风传op1
辛苦up主了
bgm:朝
向大佬低头
大佬
111
赞赞赞赞赞
6666
66666666666
不就是硬币吗，给你就是了
woc
砂影
辛苦了
朝与夕好听嗷
我就知道是水门
牛逼
牛批牛批
你把你硬币给我交了
卧槽
？？？这么强
火钳刘明
6666666
666666
那个男人
UP主牛B（破音）
666666
真神受小弟一拜
牛逼啊
这就是爱啊
卧槽？？？
areyouready
流弊
辛苦了(≧∇≦)/
也感谢有你！
神仙up 收下我的膝盖
？
66666666666666666
火钳刘明
NB
巨佬
666666666
永带妹
6666666666666
？？？？？？？
其实你是我爱罗吧
三连点好
辛苦了
牛批
永带妹
不就是硬币嘛，都给你
秃头披风侠
膜拜大佬
神仙也看火影忍者吗？
