好快呀！
深深
好好听
好好听啊，改编好好啊
尾音鲨我！！！
开头见~
太好听
很舒服的一首
啊啊啊啊啊啊
副歌好好听
耳机音效绝了
啊啊啊啊啊，好绝啊！
升天咯
深深棒棒的
眼镜深哥，，，我没了
不好，进循环了
明媚这里我太爱了
嘴角上扬
酥
啊啊啊啊啊啊啊鲨疯了！！！！！
这首歌绝了
好絕！
深深的牙好齐哦【重点错
这就是我听歌的姿势了
这段吟唱穿透力绝了！
牛逼啊啊啊
开头见兄弟们
哇哇哇好好听
太好听了
深深深深
救命今晚睡不着了！
好神秘的念白
到这里才舍得停下发弹幕！
太绝了
太绝了
救赎我吧！！
意大利文让周深像意大利男人一样性感
绝了绝了
麻了
深深是蛊王
再来亿遍
意大利语家人们！！ 
尾音都好好听啊
是的啊啊↑
兩個美少年表演了一埸完美的音樂盛會！視覺聽覺極大的享受。太棒了！
我來了！！
超喜欢
好听啊
换手开大
为什么不是金曲啊，这么好听
周深唱的举重若轻牛批​
前方高能预警
越听越上瘾
梦周这个笑容~
啊啊啊啊啊啊
周深牙好齐，羡慕哈哈哈哈哈哈
啊啊啊啊啊啊啊aa再听亿遍！！！！
哇，蛊
绝了绝了绝了绝了绝了绝了绝了
河间一嫩的
谢谢周深很好听，就是人在咖市听着怕陷入14天循环
再来亿遍
恭 喜 你 进 入 循 环
开头见
再来一遍
今天好快我好爱
天赐三季最爱了！！！
深深啊啊啊啊啊
兩人聲音好合
这太养眼了
这还怎么睡的着
开头见！
好好听周深赶紧调查我吧，胡梦周也帅的
神性！！！
那叫炫技吗人家只是张了个嘴
光！！
嗷嗷哦！！
胡梦周这个钢琴也好好听啊
太好听了！周深你就是神！
太好听啦
我属实是比海泉老师表情还夸张了【妈妈你看！神迹！！
天籁之音！！！！
前方高能！！！！
意大利语，绝了
哇胡梦周这段好帅
太好听了
好喜欢
哇好好听啊！
好好听！！！！！开头见
不就是三连吗！都给你
我居然错过了直播 
周深好神～～～
牛逼
我！好！喜！欢！这！句！！！！！！
好酥
开始进入循环
周深你怎么可以这样迷人
好帅啊啊啊啊啊啊啊啊深深
太绝了
也许已走向明媚！
周深 你是我的神!!!!
太棒了
也许已走向明媚！
是否开启循环，是的，出发！
周深终于火力全开了！！！
音源很清晰这段
来看眼镜帅气深
這2人聲音太搭了
杀了我吧呜呜呜呜呜
周深！！！！！！永远的神！！！！！！
好好听
副歌真的有种追逐和循环的感觉
无敌
卧槽卧槽
好神秘的念白
能不能出纯享版啊，歌曲中间插太多欢呼声和掌声，没必要，你是音综！！！！
意大利语我爱了
开头见！！！
进来循环
望两位歌手知 人被鲨 就会丝
钢琴好好听
你！就！是！光！周！深！
准备起飞
换手开大！！！！
太棒了
啊啊啊啊啊
我好喜欢这段念白啊啊啊
绝了
绝了绝了
换手预警 高能预警
循环
我没了
迷幻电子好蛊人
绝了
再来亿遍
太好听了
好好听
好听好听
黑天鹅！！！！！
这里的眼神！
神仙
舒服了
啊啊啊啊啊！
美声开大！
周深太好看了
我真的会睡不着的！！！太好听了呜呜呜呜呜
开头见
好苏
周深你是我的光
太好听了
不舍得暂停发弹幕
啊啊啊，我要循环929遍！！！
太经典了
承包这个推眼镜！！！
大爱大爱
直接上头
大家也去抖音天赐的声音给孩子点个赞
太嚇人了
太絕了
太好听了! ! ! 
太绝了
周深！你是我的神！
这么高级的歌我不配听！
棒
深深
[前方高能]
这个舞台我可以无限循环！！！
太好听了太好听了
全程高能！！！
周深，你就是那个身上带光的男人！！！
已经听了无数遍了
出不去了
太高级了
神曲
这个尾音！帅！！！！！
周深！你！是我的！神！！！
进入新的循环里，出不去了
天籁之声
循环开始
帅哥
天籁之音！
金曲
我进入循环了
2000+兄弟！你们好！
天神降临！
恭喜你发现宝藏
明媚！！！
我的妈呀
周深太牛
恭喜你 进入循环
钢琴弹得好好
吟唱瞬间泪目
这个长音绝了
进入循环begin
吱
真牛逼
希望深深眼镜半永久!
再來億遍
啊啊啊啊！这里！杀我！
我等小破站给我发币点赞
感觉在教堂里听圣歌
帅帅帅
好好听啊啊啊啊
吹爆这个尾音!!!
天呀
2000+夜猫子，晚上好
意大利语！！！
啊啊啊啊啊啊啊啊
好好看啊周深
好好听
啊啊啊啊啊啊！！！
颜值严重影响我听歌
这段意大利语好有感觉！！！
音乐里的和声也是深深唱的
「淚」！！！！！
无量光照  阿弥陀佛
啊啊啊啊啊太帅了
一定要去听音源，质量很高
深深
！！！！疯了疯了
啊啊啊啊啊
太爽了，太爽了，太爽了。
周深Yyds
神  你是我的神
进入循环
牛逼
上头中
第一次想听美声了，第一次感觉美声好听
周深换左手了换左手了
live的时候不要加观众声！！！啊！！！
他换手了兄弟们！！！！
周深，你！是！我！的！神！！！！！！！！！
天上飘下来神音
好听好听好听
神啊来救我吧
啊啊啊啊啊啊啊我没了
太好听了吧
好听
开头见
我的点在于，深深你今天穿白T打底了么？
要睡了，老阿姨熬不住了
就这里，给我听十遍！！
意大利语好蛊！啊啊啊！
开头见！！！！！
周深你是我的神！
恭喜你发现宝藏
各位！开头见！
贵州蛊王
出不去了.....
听完深深的歌就跑过了
神明啊
各位开头见
今晚住这里了
太魅了！！！
天神下凡
我来接受洗礼了
神来之笔
我跪了
一个个大晚上不睡觉就搁这循环
两个人都好帅啊！
2000+
無限循環 2000+
再来亿遍！
期待大佬们的剪辑，配个教堂啊，天使啊什么之类的
梦回开端啊
神！是神！！
开头见
各位又见面了
太神啦！！！
神的低语！！！
这首歌好好听
各位大导演：周深就是收视率的保证！
内娱没有周深 就像西方没有耶路撒冷
棒棒棒
指法芬芳
