哇
失踪人口回归
刚刚!还热乎
来了
这也太长了
ohhhhh 刚刚
卧槽两小时
好长
好长！
这时长认真的吗
哇，鬼见条啊！
我开局是全能之王
通 俗 易 懂
两小时，舒服了
2小时，辛苦
热乎
四分钟 我出息了
wow
这游戏太难了
草
233
我要猫
哈哈哈，它厉害吗？
太强了
辛苦了
致敬汉化
最近刚在重温 你就发了disco
热乎
汉化真的很良心了
哇塞123分钟，良心up
这也太长了吧
好家伙
极乐迪斯科 一封给前苏联的情书
瞟了一眼进度条吓哭了
好家伙
2个小时
三连了
有人在一起看吗
哈哈哈哈哈哈哈哈
老金，YYDS
刚刚，看完就凉了
惊了 这必三连一部
up辛苦，已三连
热乎
看了下时长，好家伙
这三月都快结束了
草
123好长
在进度条
这时长！！！
我的天，竟然有这样的事
两个小时时长？
有呀
没空
没看先三连
草
时长感人
好家伙
这时长 离谱
我才发现视频这么长
nb
《敏锐》
好家伙
这这这......
投币了
好家伙
必须三连了
这个肝如何
辛苦辛苦
我要这币何用
看了一眼进度条 太爽了
毛子玩艺术还是很棒的
我在看电影
是个狠人
好耶
《臭打游戏》
它厉害吗？
山宝nb
远哭5
好家伙，这不是做视频，这是做电影
总于更新了
啊这，这配图可太草了
哈哈
迪斯科ydds
未曾设想的道路
2个小时
令人肝疼的音乐
狂
这。。。。时间长度。。。
终于
还好啊，现在还会买纸质书读，虽然读没以前快，一本书可能看一两个月但还是会读啊
先三连后观看
想起了《星际拓荒》。
电影/
妈耶，123分钟。。。我还以为我看错了进度条
三连支持了
高情商应该共情能力很强吧
awsl
ohhhhhhhhhhhhhhhhhhhhhh两个小时！！！
等今年的导演版
吊图一堆
进行一个流泪猫猫头的选
120分钟的超长视频，爽翻了！！！三连再看！！！
2小时
倆小时
这时长，respect！
等你讲完故事？我默默地看了一眼进度条……
不愧是33
别 再 问 我 什 么 是 迪 斯 科
前两天小宁子讲过
满分
2个小时顶啊
鬼见条
拜托！你很逊欸~
40分钟，热热还能吃
这质量堪比水鱼
卧槽 好长
卧槽
禁闭岛
这个时长？
大电影
哈哈哈哈哈哈哈这图简直了
按“L”进行追问
带导演山山
tga就算了
叼图一堆
这时长 三连了
略略略
疯了疯了，他怎么这么长
谦虚了谦虚了
我去2个小时
我他麻德两个小时
真好我太喜欢了
发现时间不对劲
卧槽123分钟？！这进度条
这个时长  我勒个大草
恐怖进度条
长度我惊了
你三连有了
123:11
这么长？？？？
大美女啊
