没有弹幕？？
看我熬夜发现了啥
第一第一
！！！？？？
怎么零弹幕
哈哈哈
熬夜党狂喜
熬夜党升级
？？？？
没人吗
啊啊啊啊我刚看完第6集！刚好就看到更新了！！！
网红好看
热乎
热乎的！！！
热乎
信，信条？（
来了来了！！等得我好辛苦！
神父手都那样了，怎么杀人抛尸？
这怕不是有内鬼哦
别感谢，我没有
放走第一个快递小哥就离谱
来了来了
shake it
烫嘴
刚才那个出租车会不会有问题？
拿到包裹不应该先把快递人员留下来？都有点嫌疑啊
我怎么觉得这个警察是杀人犯，他冲着教堂竖中指是不是因为他哥原谅了杀他母亲的凶手
烫烫烫烫
啊啊啊来了
一小时！
热乎
这期还没揭晓真凶是谁？
来了来了
圣母
热乎热乎
热乎的
热乎热乎！
别看他咄咄逼人，换位思考，其实也是在保护武治
第一个打电话的人，有可能是老刑警
这还给播出来？
片片nb!!!!!!!!!!!!!!
剧透的有病吧？
打工人
哇！来了
热乎
来啦来啦来啦
勇闯无人区哈额
记住是小白想到的
来了来了
好耶
片片辛苦了
韩国键盘侠也不是盖的
后面的出租车？！
来了来了热乎的
终于来了
热乎的～
每天一个失眠小技巧
前面那个，知道了就别发可以吗，正常人猜都是猜七宗罪，您可真牛
看安医生的性格，不会搞这么花里胡哨的s人理由
神父
热乎的
不给你承包
卧槽37分钟
热乎
来了来了
热乎
感谢片片在更新窥探之余还给我们肝窥探
有内鬼。
2333私聊骂片片的那个估计看到人傻了
芜湖我来啦
感染
一小时
热乎!
来了
明狼局？
芜湖！
Y
40分钟
加上小狱警应该不是吧
竟然那么晚
他哥身体太虚了感觉打不过别人
我靠！？
睡前小故事
热乎
四十分钟
小白
终于啊终于啊！
双狼控场？
牛
四十二分钟！！
热乎
…
新鲜～
广受流浪汉好评好家伙
烫手～的热乎
看我刷出了什么！
完了 又没得早睡了
他哥！！！
40分钟，呜呜呜
猜一波神父才是真凶
他哥？？？
来了
37分钟啊 不三连对不起自己的良心啊（
来了来了
果然
熬夜党狂喜
热乎
36分钟，太热了
太难了，我等得花儿都成花儿乐队了
太难了，我等得花儿都成花儿乐队了
太难了，我等得花儿都成花儿乐队了
没人？
热乎
旁边白色车里的是凶手吧？
第一次这么热乎的
好家伙34分钟
热乎的
城市之光？
来了来了
不应该集体鄙视凶手么
感觉这期有点恐怖明天早上起来再看
长得好像颜强。。。
盲猜凶手还是小白
我模仿我自己
新鲜！
熬 夜 党 狂 喜
哦豁等到了，特别喜欢片片解说窥探
果然
自己模仿自己
热乎
我出息了30分钟还烫
三十分钟大门
三十分钟还算热乎
烫手
三十分钟还算热乎
我预判了你的预判
热乎的
承包空屏
前排前排 都忘了前面的内容了
来了！来了！
片片辛苦！支持支持！
为什么凶手会知道那个跳楼的是被胁迫的啊？
好家伙
哇第一次这么早好激动
热乎热乎
27分钟
热乎
热乎
来啦！
半小时！！！我出息了
害怕
终于来了
热敷
奶奶实惨
来了
25分钟！！！！
来了来了
25分钟熬夜党的胜利
二十五分钟 热热还能吃
007好家伙
小白哦
热乎！
凶手假扮凶手
怀疑小白哦
11点多才更新，没人吗？
李晟基帅啊
热乎的
热乎
热乎
知道还剧透？加个问好让别人以为你是猜的？蠢得可笑
刚准备睡觉，太可惜了
热乎热乎
我好前
烫手
热乎
成医生的朋友
来了
热乎的
你早说这个我可就不困了
害怕 没人
神父危
没人喜欢别人模仿自己
警察哥哥？
热乎热乎
007工作是个狠人
21分钟！！
耶耶耶新鲜的
跟片片猜的一样啊
烫手
七宗罪
打算睡+1
太热乎了！！
热乎
新鲜热乎的
出息了，10分钟
前排我出息了！
冲冲冲
承包空屏
三十几分钟 刚想睡
新鲜
因为就是小白自然知道他们计划 自导自演罢了 
城市之光
前排占座
热乎
我来增加弹幕！！！*罒▽罒*
硬核速溶咖啡
热乎的！！！出息！
热乎
果然
芜湖
17分钟
还有个人说这是在拍美剧吗……
18分钟！！！
先赞再看
有点怕呀
来了来了来了
咋滴现在美人阿
翻译好评
赞！
第一次赶上热乎的！
热乎的
我来了我来了
盲猜小白
来啦来啦
16分钟
热乎的
来了来了
烫
来了来了
八宗罪吗
芜湖
我去太热乎了
来了来了
你不追我不就不跑了嘛！
热乎的
卧槽？
芜湖起飞
热乎
新鲜
热乎热乎
滚烫滚烫
出息了
热乎热乎！
热乎
新鲜
来了
十三分钟 还热乎
热的
烫手
精彩
芜湖13分钟！
你个狗解说哈哈哈哈哈（狗头:)
来了来了
第一次这么前，真是烫手
等的就是你
有内鬼
l
热乎
来了
终于等到了！别的都不看 天天指望你
热乎的
新鲜
我是第一 哈哈哈
热乎热乎
13分钟，我来了
EE
热乎的  5分钟
11分钟。可来了
终于等到你
来了来了
模仿？
小李快看哥哥在前面等你
说不定在周围看着
片片nb
小白无疑
哇 第一次
十分钟，出息了呀！
你非要大半夜更吗想看又不想看
热乎的
前面看完就睡觉的 我同意！！！！！
10分钟就这么多评论吗
10分钟我出息了啊！！！终于更新了！！！
太热乎了
十分钟~耶
来了来了
来了！
九分钟!
来了来了
10分钟！！！
热乎热乎
看完睡觉+2
烫烫烫烫烫
十分钟大门
热乎的
来了来了！！
看完就睡
同上
蹲了个前排！
mouse
我也想的看完睡觉哈哈哈
