一个人前
好家伙第一
主角是真的帅
第一第一
米帅
头条
早啊
我出戏了
美剧入坑作
米帅
迈克尔斯菲尔德
热乎
第三条弹幕
热乎
最喜欢的美剧 没有之1
好耶.！
刚刚，热乎
热乎 
第一 第二季 神作  无敌
因为他的我哥哥
妈宝男妈宝男
超级好看
"绝命毒师和越狱我都看了好几个解说了,真的看不腻"
小黑屁屁帮
看到是越狱，赶紧先三年再看
三分钟？
早
4分钟还热乎
演技都真的好
妈宝男
五分钟
超感神探女主
牛了
魂锁典狱长
肖申克救赎
哇
来了来了
终于等到你  我的斗
第二季都没看完
米帅！！！！！！！！！！！
妈宝男牺牲得真男人
吗吗吗吗吗吗吗吗吗
真的看的第一部美剧
当年我妈看越狱看得连饭都不做了
茶包
三连了
8分钟热乎
当年是米帅，现在是米胖
来的早
男主好帅！
苏法南
苏克雷绝对的好兄弟！
卧槽 好帅
主角如果是黑人，抢银行就全剧终了
111111
妈宝男！
热乎热乎
跨过狐狸河的男人
回忆杀
男主超帅
浴霸
体验生活
坑爹老哥
路西法？
叫小糖啊哈哈
还真是
WUHU
本剧战斗力天花板
这个女律师好眼熟，超感警探女主。
哥宝男
俺也一样
“我只向上帝下跪”
我我我
高中租DVD看的
浴霸！
让mike给他做假账？
土木工程
哥哥确认第六季要拍了
撒旦
典狱长真好人
这开头已经感觉到神作的气息了
他就是黑人
但是我拒绝
当时我还是小学生，跟着我姐姐一起入了美剧的坑，后来绿箭侠、行尸走肉
这个剧的节奏第一次让我知道什么叫“美剧的节奏“
贝利克最搞笑了
确实
洛圣都欢迎你啊
！超感神探的女警
好热
6
14
经典bgm
Prison break
帅
路西法还打牌
该来的还是要来，21世纪最早看的美剧，
典狱长是个好人
米帅现在还很瘦哈哈哈哈
我是从绝命毒师
泰姬陵是个坟，这是想换媳妇吗？
入坑是邪恶力量
浴霸
死神系列的坑还没填呢
浴霸
来早了
新鲜出炉
看的第一部美电视剧
好嫩  真帅
热乎 热乎！！！
如果遇到现在的美国警察，直接枪了，全剧终
当年确实被惊艳到了！
你这欠的系列有点多
第二季不行
速度与激情2里那个开RX7的人
典狱长倒了血霉遇上这伙人
19分钟热热还能吃
为了刺激
妈宝男
当年还是看的碟片哈哈
小猪
看完了5季 感觉妈宝男最惨
他哥前女友
都是光头，对脸盲不友好
死了又活，活了又死的
来了来了
米帅出柜了
不是亲哥 大哥笨笨 弟弟聪聪明
宋小宝别装了。我知道是你
死了
是的
就想到肖生克
典狱长是好人
贼喜欢第一季！是！
还可以选住所吗
好家伙，芝加哥
你币有了
狐狸河监狱
结构工程师
不浅那就是深咯
gay又怎样，还是喜欢米帅
妙啊
然后两个人一起去了DC宇宙当起了抢劫犯
火速点赞
妈耶我出息了
妈宝哥
哇 启蒙美剧啊
当初真是看通宵啊
哈哈，马克扎克伯格说芝加哥大学不算大学
无敌破坏王林肯
迈克真是超帅又有智慧
开新坑
做假账的朋友是不是肖申克看多了哈哈哈
黑人已经被击毙了
我也是
还能有要求？
太帅了
终于安排越狱了
比利海灵顿？
俺也一样
我来
现实生活中也是高材生
最爱的美剧！！！
贝利克最后也升华了
妈宝哥最惨了
寒冷队长
好家伙
你是想老婆死啊。。。
姆爷
弟弟和哥哥：寒冰队长和热浪
最爱妈宝
感兴趣
这个男主是真的帅
热乎
妈宝男
典狱长有点惨
肖申克的救赎
熟悉的bgm
好家伙
妈宝男
邪恶力量+1
入坑作
老贝！！
温特沃什米勒那时候真的帅
好毛
+1
记得是两天两夜撸完的
当时是一集一集追的
必须三连
长得奇帅
难道不是肖申克
“我不在乎”
典狱长 是太惨了
老dc了
虽然已经看了两遍，但是不影响我再听一遍
VeryCD
的确如此
这几个镜头感觉在致敬肖申克的救赎
fox影视出品
梦开始的地方
克里斯
还能挑监狱得到
主要还是监狱题材新颖
第一部神作，后面就不行了
！越狱！
666热乎
老玛丽苏了
他在狂笑
阿布
小黑
第二季就开始拉胯了
太熟悉了
撒旦！
大堂经理：你快走吧
妈宝男在索纳监狱那是一个惨
霹雳游侠，时空游侠，还一部忘了
路西法
我偏不！
监狱风云游戏里的角色原型哈哈哈哈哈哈
越狱来了！
老苏真兄弟
当年我也好喜欢
啊啊啊啊
冰冻队长
爷青回
收藏了  等更新
中国也能挑啊
热乎的
好看
老友记
妈宝哥
好家伙
苏克雷真兄弟
这不就是反贪风暴的情节吗
求之不得
想被黑暗收割处死
好像冷冻队长
主角太帅了
这个坑开的有点大哟
神剧
fox river
烂尾了，后面两季不好看
茶包永远的神
T bag ！
48分钟啊
绝命毒师女高管
我的青春
追到第二部，被男主哥哥劝退
x档案
撒旦
又挖坑
555一开始讨厌，后来爱上的队长
衡山后学祝小芸有礼了
犬夜叉了一个月没更了
欲情故纵2333
掀起越狱狂潮！
Prison breaking 
GTA
他是gay
完全为了兴趣
超感神探
阿母
妈宝男！
后几部不太行了
这是纸鸭子
哇，爷青回
是我了，第一部美剧。
老子唯一追完的美剧，《绝命毒师》我都没追完，
还敢掏口袋
这个角色只能白人演，黑人演的话就没下一集了
拳王贝利克
这是纸鸭子
T2pac
米帅真帅
nb了
逃
入坑剧
犬夜叉呢？
我是第一万个赞！哈哈哈
冰冻队长牛批
天啊
被直接击毙就尴尬了
拓展业务
我只向上帝下跪
帝博格永远的阴影
看前两季就好了，后面烂尾
监狱里个个都是人才
天啊，，
挺可爱的
高产
tbag马上就来了
那个把答案写在身上的人
bgm爷青回
象征爱情的坟墓吗doge
又一个坑
真启蒙美剧，怀念
想起了肖申克监狱里哭的和娘们似的大队长
第一季神，二也不太醒了l
爷青回  最爱美剧 没有之一
因为监狱里都是男人啊
终于有这个了
真入坑作
为了自由
只要有钱，装甲车都给你弄来
你直女，当然不懂
这不是美国，警察怎么可能让他活下来
爷青回！
库伯不是没有被抓到吗
恶搞吗，DB酷伯不是抢了大笔钱跳伞失踪了吗
卧槽，还能选离家近的监狱？
扎克伯格锤子，芝加哥大学经济很厉害
大学时光，秒回
这是mini 
米勒是gay
老倒霉蛋了  大家记住他
来了来了
如果抢银行的不是白人，已经被击毙了
雷雷真的好
个个都是人才
太帅了
Gay有什么可惜
典狱长手动做模型
长得帅穿狱服都帅啊
罚叔
《人 不 坏》
哎真帅啊
卧槽，终于来了
寒冷队长和热浪
我看着感觉节奏还是挺慢的
还掏口袋，直接枪毙
终于解说了
初中看过的
爷青回
肖恩
入美剧坑就是从他开始
入坑之作
林肯公园亲操刀BGM
fox river
死神催更
哇
我就是从他开始的
离家近有用吗，又不能回家
一定要做完全套，不然罚款
大堂经理就是典狱长的秘书 你们看出来了吗
