bgm好评
热乎着
没有对比就没有伤害
作死up妙啊
辛苦警察了
这个滑板太烫手了
up表示不需要滑板
穿火车的警察
不能让警察闲着
不能让警察同志闲着
警察同志辛苦了
警察：天空是蔚蓝色，窗外有千纸鹤
警察：我tm
警察：我谢谢您帮我减肥嘞
辛苦警察了
警察同志辛苦了
宝箱好多好多
一堆宝箱
富了
绝了
up用心了
up用心了
辛苦警察同志
警察同志辛苦了
警察：追了半年终于让我追到了
警察追个人比追女孩子还难
滑板烫手
辛苦警察了
警察：天空是蔚蓝色，窗外有千纸鹤
up牛逼
6666
我仿佛看到了天文数字
警察：我tm
下个版本见到警察的时候警察就瘦了
哈哈哈比追女孩子还难真实
来啦
警察追人就好像追女孩子一样
天空是蔚蓝色，窗外有千纸鹤
天空是蔚蓝色，窗外有千纸鹤
再来一次
nb
这不比博人传燃？
这不比博人传燃
回忆起了我玩地铁跑酷的日子
up玩的挺丝滑的
地铁跑酷萌新玩家前来观看
警察得到了短暂的休息
警察活过来了
整活up
警察：等等我马上到
警察：我太难了
警察：我太难了
警察：我太难了
见世面了
30000金币
警察终于追到了
警察终于追到了
强
100万分玩家路过
警察：谢谢您嘞
这不比博人传燃？
来了来了
滑板多容错率低其实不难就是手有点酸
说错了是容错率高
节奏大师 doge
五百万还能勉强反应过了，这一千万我撑不过十秒
警察同志辛苦了
警察同志您辛苦了
开启2倍速即可享受极速模式
开启2倍速即可享受极速模式
开启2倍速即可享受极速模式
打开2倍速即可享受极速模式
两倍速我晕了
每次这会我都会被两个火车卡死
警察同志辛苦了
警察这都追上了？
警察追了这个人两小时
哦哦哦哦哦哦哦哦哦哦哦哦
牛
最多也就跑过20多分钟
虽然是没用滑板的
眼睛有点刺痛
只要你肯坚持，可以弄到无限分，就是很累很浪费时间
我再开个2倍速
先别说这地铁还挺长的
磁 悬 加 速
正片开始
从西伯利亚到好望角的铁路干线
敬业的保安
正常操作
佩服，三个小时
6666666
天文数字
辛苦了
警察:你有可能会跑酷，但我绝对不会输
只有一千万分让我服了
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
跟倍速似的。。。
6
回忆起了我和警察叔叔玩耍的日子
长啥？应该不停的绕圈圈吧
牛
好好好
看着都有点紧张
地雷跑酷
氪金且技术
比博燃
卡点牛逼了
这个警察也敬业
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
1：40
01：40
手机好烫吧
看和玩的感觉是不一样的
时间的长度
拇指麻了
十万分突然觉得好慢
注意左上角那个闪着绿光的数字
卡点成功
从美利坚跑到阿富汗
到后面100万后速度就不变了
我开始紧张了
辛苦
厉害
？
晕
这警察要是没追她追成个瘦子我不信
实在是厉害
好厉害
ohhhhhhhhhhhhhhhhhhhhhhhhh
Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
芜湖
我有个疑问，停着的火车和走的不会撞吗
我甚至一度怀疑我打开了倍速
这个游戏告诉我们跑酷最厉害的永远是警察
有种倍速播放的感觉了
苹果看广告滑板多到用不完
亚  欧  大  陆  桥
我差点以为我开了一点五倍
你币有了
nb
nb
正片开始
我零氪1000万分。。
你币有了
这个硬币是必须要吃的吗，我感觉这种我根本不想着吃金币了
牛逼
走的路线都不一样 有啥意义？
太牛了
结束了罪恶的一生
我以前很喜欢的游戏
七百三十一万路过
熟练的让人心疼。
你币有了。
一条 钥匙
nb
哈哈哈
up辛苦了
？？？？
看得我好紧张
新版本那个门跳起来很挡视线
二倍速新世界
Nb
前面半个小时都没有的 你不知道人有失误的吗 ，给你你随随便便跑到10万分 
5万分的时候大概就差不多这个速度 ，之前玩过 
保安：我才是最强的！
这老汉也是真不离不弃
话说这地铁是真的长啊
一直有个问题，这不是火车吗，为什么叫地铁跑酷
牛逼
投币了投币了，辛苦啦
只是说跑了两个小时，算上中间的失误一起的吧，看弹幕说只要二三十分钟，咱也没玩过不太清楚
保安体力好啊
别跑了 晕车了
厉害
太闲了…
高铁跑酷
辛苦了
↑他说的是录制时长，可能含有失败的时间
我感觉有点晕
爷青回
Tql
不走线了
汤姆猫跑酷我跑过500万
也不是特别快
好家伙
警察这能追到？？？？
好家伙
一千万分才三万金币？？？
辛苦了辛苦了
其实到后期速度不再变快了也就习惯了
警察挣这点工资不容易
不就是个涂鸦吗？追了这么远！
果然对我来说都是没区别的，都做不到
只怀念12年时候的地铁跑酷，没有那么多花里胡哨
只怀念12年时候的地铁跑酷，没有那么多花里胡哨
tqltql
腱鞘炎警告
