优秀！
上去就是一棍
赵雅芝的铁粉实锤了……哈哈哈哈哈哈
白骨精对吧
沙地哇 沙地哇
红孩儿
吃俺老孙一棒
女儿国国王？
好可爱
哈哈哈
这个要200元？
这是白素贞乱入了？
棒好棒
这是数码宝贝进化了啊
好奇怪，但又很合理
哈哈哈哈哈哈哈
666
悟空的发量惊人
特效绝了
好可爱呀
女王大人
是蛇蛇吗
哈哈哈好可爱
真是个人才啊
红孩儿太可爱了
还有昴日星官
阿孙真猛啊
这个有内味了
琵琶精
蜘蛛精
哦 不对 是女儿国国王
好清秀的悟净
哈哈哈哈哈哈哈好可爱
棒棒哒
太可爱啦
好漂亮的兔兔
豪华特效
这200够么？够了我给你1000再拍5集
离谱
三打白骨精
哈哈哈哈
整活的越来越卷了
6666
感觉很熟悉，但又不知道哪里不对
各种奇怪的发型，哈哈
把她拉长！！！（不是~
这个我知道，是卫庄
离谱的666
啊～啊～啊～啊～
建议给小朋友康康​
我的儿，脱光了也打不过我。这句台词记得特别清楚。
卧槽，长得漂亮的都得吃棍子
猴哥拿的是火柴棍吗？
玉帝哥哥
支持原创，三连了
这么可爱被念紧箍咒就合理了
家具贵，
压龙大仙
哈哈
感觉特效挺贵的
必须三连
哈哈哈哈哈好可爱
可不止200
打灭～
蜈蚣精
蜘蛛精
天竺公主
6666
赏下了
妙啊～
玉兔
竟然看的津津有味
已经不错了
三打白骨精
哈哈哈哈好可爱
趣经女儿国
哇哦
爱了爱了
这成本可不低
这新人就离谱
萌萌西游记
我想起了阿凡提哈哈
姥姥捆仙索
蜈蚣精
头饰亮了
腻害
你是个人才
可不三打白骨精吗
蛇妖
蝎子精
红孩儿！！！
我可不是娇滴滴的女王
哈哈哈 可爱
好可爱
盘丝洞
三打白骨精
二师兄的鼻子呢！！！！
牛批牛批
白龙马呢
人偶都不止200了
太好玩了 三连支持
哈哈哈好可爱
200怕是材料费
牛逼
没有看到蹦床不真实（doge）
三打白骨精
这个离魂好牛
光bgm都不止200
哈哈
一个模型N的造型
这叫低成本
火钳刘明
要不要这么可爱，绷不住了
可爱
红磷大蟒
好可爱
撞天婚
牛
哈哈太可爱了
这也太可爱了
萌西游
火钳刘明
这个白骨精我喜欢
我是导演的话，必须人女王好三藏结婚
必须让女王和唐僧结婚
200？
200快比那些动不动就几亿块的拍得好多了
可可爱爱，恍恍惚惚
女王来啦
啊哈哈哈哈哈
火钳刘明
白——骨——精——
聊斋志异
牛逼
聊斋奇女子
牛逼
666
好看好看
hao ke si q
好可爱啊
