有点吓人
戴着耳机这块儿感觉身临其境
高技术力suki
大佬是专业级选手吧
没有海洋生物？
绝对会有什么
质感绝了
压迫感
这是去找海皇妈妈吗
深海迷航（dog
牛逼
开始难受
和星际穿越的那片海好像
这单独拿出来，绝对是3A大作cg水准
这里的画面绝了
+1
这不一定是地球，怎么会有生物
手动才有感觉啊，自动的是来观光的吗
好了，我开始慌了，已经开始呼吸困难了
必须三连
最爱看这种了
跃迁引擎启动（）
和无人深空一模一样hhh
不开灯？
座椅加个头枕更科学点吧，颈椎撑不住太强的加速
这是电喷射切换燃料喷射？
都能太空随便飞了，隔热很难吗
牛啊牛啊
已经开始害怕了
航空专业看到也确实觉得不行，不过，当没学过
别问，问就未来科技
汉斯季默配乐
无所不能的飞船
发现敌方潜艇
有点无人深空的味道
有没有可能，其中一个山体就是潜伏的生物
我的手机也有飞行模式诶
好牛逼
真的很棒！
小时候的梦想了
好像一些大片的开头。
泡水里还能动？这飞船五菱宏光pppplus
星际公民啊
这也太厉害了，三连奉上
较差海况的时候就是这个样子的（出海人确信
手动挡永垂不朽
前进四
已三连
无人深空
别为杠而杠了，说话谁不会
这飞行员的皮茄克很细节
来只利维坦
有没有可能，手动驾驶不犯法
1000十人好啊
扫描出来一张嘴就好玩了
对啊，1点还有1000+，这就很离谱
我好害怕
（（（呐～（（（呐～（（（呐～（（（呐～
救命，每一帧都好值钱
问就是量子科技
1000+你们好
呐～
呐～
好真实
就是开不了口让她知道～
这个画质，现在的三a也很少有能媲美的
我现在能回答你的话，还叫科幻嘛
估计是设计字体比设计字母更麻烦吧
同学们记住，深海别开灯，会引起注意的
这个小飞船真好用
无人深空
无人深空
就是很像无人深空
有海娥号那味了
FG300
深海迷航
这个画面好像超级战舰那个
这么厉害的飞船还用声呐和探照灯？？
为什么是加速冲入大气。。。。
众神之父赐予我视野
这么牛的作品居然没人评论
"Oh,boy♂next♂door♂↑"
利维坦呢
民间人士？
原力
这里细节有一点点问题，海面波纹线性面积与实体比对比例有出入，看着很突兀
一点半
牛X！！!
火钳刘明
看看评论，作者有解释为什么不用中文
手刹细节
利维坦，克拉肯
别在科幻作品里找现实啊
一点半，两千人
