良作无人系列
火钳刘明
火钳刘明
哈哈
火钳关注
哇！好可爱！
好棒
suki 
老君！！
Up好厉害
《消失的追番键》
火钳刘明
老君嘛
怎么感觉是李白呀
前面说李白的，作者只说是一位小公子没有指明说是谁所以咱们还是不要随便乱说
呜哇！画得好棒！好干净的画面！
火钳刘名
靠好好看
好喜欢啊
谢问
好可爱
火钳刘明
好好听
火钳刘明
做的好好！
火钳刘明
现在关注了我就是老粉了
老粉
无关风月
G2er!d
好喜欢
老君
老君呀
好棒！
火钳刘明
欢迎回来
不知道第几遍了，这种潇洒恣意的少年郎真的好戳我啊
这张绝了，家人
火钳刘明
别藏了，那450个人
火钳刘明
火钳刘明
太棒了！！
好好看
公子怎么称呼啊
火钳刘明
小公子看这里！
火钳刘明
火钳刘明
真好，暖暖的
我突然感觉，好悲伤
G2er！！！是吧！！！！
就是在人前总是在笑，但是却总是一个人在角落落寞
现在关注 我就是老粉了
火钳刘明
好可爱哈哈哈哈哈哈哈
救命 我咋还有点脸红呢 【捂脸】
云雨覆盖，真的有人不懂吗？
好爱啊
kksk
我是老粉哈哈哈哈！！！
现在关注，以后我就是老粉了
好棒！
互赞互粉互关
火气刘明
《云雨覆盖》
礼貌问BGM！！
垂杨紫陌洛城东。总是当时携手处，游遍芳丛。
达达利亚好耶
聚散苦匆匆，此恨无穷，今年花胜去年红。
知道为什么莫名像神里凌人
火钳刘明
《济公前传》
火钳刘明！！！
BGM《逍遥》
李白的别跑！！！！！！
好喜欢！！！
好喜欢这个风格！up加油！
火钳刘明
好好看啊！！！！我币没了[喷血][点赞]
这个画风好好康啊！
好好看
第四遍，好心动
好帅好帅好帅好帅！！！
虽然但是乍一看还以为是绫人
好棒好棒
神里绫人？
喜欢
喜欢喜欢！！
我直接自信“嗨老公！”
火钳刘明
我现在是刀子看多了吗 为什么看这么可爱的东西都会觉得有刀 
俺来关注叻
梦开始的地方！
太可爱了哈哈哈
火钳刘明
他需要工作吗
想起老君了...
我靠我就说怎么这么眼熟原来抖音关注了太太
好有感觉！
好好看！
火钳刘明
表白吧，UP我爱上你了
好像又回到了18年
芜湖芜湖芜湖芜湖
是你 神里绫人
没别的意思，觉得他好像老君
好绝
520条评论
火钳刘明
火钳刘明
好帅！！！
涨粉有点快
火鉗劉明
火钳刘明
这个刘海好看
哇
干净又卫生嗷
火钳刘明
啊啊啊啊啊好爱
哈哈哈哈哈哈哈哈哈哈好可爱！！
好可爱！！！
火钳刘明
呜呜呜呜，太喜欢了，再循环一遍
唐寅啊
入坑——
好好看！
老君?！
我是老粉！！！！！！！！
好看!
。
不行，我老是想到，活着里面的富贵，和着一模一样！！！我刚看的
确实好像老君！
火钳刘明
火钳刘明
这画风好舒适好有少年感啊！！！
火坩刘明
让人心动
啊啊啊啊
好有意境噢(・o・)
好喜欢
火钳刘明！
火钳刘明
好温柔啊～
在抖音刷到过!还关注了!
喜欢！！！！！！
李白
好喜欢你的画风啊！
好喜欢这个画风！
柳永吗这不是
欲买桂花同载酒，终不似，少年游
火钳刘明
火钳刘明
好耶
呜呜呜呜真好看
好看
哇塞
大数据记住我！！！多腿
好棒啊
画风好喜欢！！！
火钳刘明
火钳刘明
我光速入坑！！
好喜欢啊
火钳刘明
嘴巴没痣，差评
典将军，比比谁酒量更多
这里咋像曹昂动态皮肤
火坩刘明
真的好喜欢好好看啊！！！
一人潇洒春常在
火钳刘明
你们都别抢，他早已和我成婚
啊啊啊啊啊啊！好喜欢
火钳刘明
火钳刘明
火钳刘明
草，怎么虚拟世界好多我喜欢的帅哥呜呜呜呜呜呜
好看啊
爱死了
kksk
就这么几秒，鬼知道我看了多少遍
好棒
请问追番键在哪（苍蝇搓手）
火钳刘明
才知道这歌……色！
老君
好像老君
我真的刷了亿遍了
啊啊啊，这个笑好温柔，awsl
火钳刘明
火钳刘明
天子笑分你一坛
火钳刘明
火钳刘明
好帅！！！今晚就梦他
求BGM
求BGM
少年感
梦开始的地方
火钳刘明
构图好好
每日n刷
每天一遍
我真的好爱，不知怎么哭了
牛逼—————劳斯我爱
芜湖！
前两天还是几千粉呢 今天就10万了吗 涨粉真的好快呀 
梦开始的地方 
不知道为什么有股伤心感。
BGM：逍遥
火钳刘明
梦开始的地方
刚看完一个超恐怖的视频来看这个好多了
好喜欢这个风格！
说老君的那几位你们别走
火钳刘明
火钳刘明
代了！！！
啊啊啊啊啊啊我刚也眨了下眼睛
大大你画的真好鸭
再来亿遍
梦开始的地方
好可爱
这里好帅啊
梦开始的地方
入坑
画风好棒
梦开始的地方
老师好强
火钳刘明
每天一遍
火钳刘明
好洒脱
火钳刘明
第五遍了家人们太绝了
G2er!
BGM:逍遥
bgm：G2er的逍遥
他不会孤独吗
每天不止一遍
火钳刘明
这个笑啊啊啊好美！
好喜欢，循环了
老公老公老公老公老公老公
这个小脚脚好可爱
好潇洒啊
喜欢这个表情
哈哈哈哈哈我已经是老粉了
火钳刘明
火钳刘明
真的好爱这种画风
好帅啊
又刷到了！！！
因为这部开始关注up!
再来一遍
梦开始的地方
首页通知书
老君！！！
再次两个硬币
火钳刘明
火钳刘明
惊艳的一世
火钳刘明
火钳刘明
好喜欢！！！
逍遥小公子
太好看了，我也只是每天看了N遍而已
太好看了，我每天也只是看了N遍而已
太好看了这个
看着手笑真的杀我！！！！
恭喜你发现了宝藏
这个画风真的好舒服太爱了我靠靠
这个笑真的好温柔，啊啊啊
感觉好孤独……，是错觉吗
现在快点关注变成老粉！！！！
很快啊，关注就被我点了
哇哦
已经追番
好可爱
大美人
一个人一壶酒四季独游（不知道为什么好洒脱可是又孤独的感觉www）
好可爱，相对他好
火钳刘明
请叫我春色
温馨提示投币右上角
是老君吗
我觉得有点像李白(dog
每天都要来看一遍
好像李白
好好看
好喜欢这个画风啊啊啊啊呜呜
好喜欢！
凭实力刷到三次了
梦开始的地方！！
火钳刘明
梦开始的地方
火钳刘明
我这币留着有何用
梦开始的地方！
好帅啊
火钳刘明
火钳刘明
呜呜呜妈妈我陷入爱河了
会画你就多画点儿
唐寅本寅了
梦开始的地方
好爱!
火钳刘明
梦开始的地方
BGM《逍遥》
嗷嗷嗷～
男欢，女爱
火钳刘明
宝藏up主
我老公啊啊啊啊啊啊啊啊
她画一个人的时间我估计就只能画那一个酒壶还没她的好看
梦开始的地方
火钳刘明
梦开始的地方！！
梦开始的地方
梦开始的地方！
似那诗中谪仙人
火钳刘明
BGM：逍遥
好像老君
梦开始的地方！
老君～
我又来了
火钳刘明
好爱好爱
wow
爱了爱了
真的好看奈斯
再来亿遍
太太每次更新我都会重温一遍这个太绝了太绝了
欣宝！
再来亿遍
这首歌，我哭爆，真的，好听
梦开始的地方~
梦开始的地方 
梦开始的地方
kksk
梦开始的地方
每天亿遍
追翻键这此！
我是在这里入坑的！
尘不到是你吗呜呜呜呜呜
梦开始的地方
梦开始的地方
我现在宣布我已经是老粉了！！！
这里是梦开始的地方！
好喜欢
嘎嘎粉上了
循环播放！
梦开始的地方
梦开始的地方
终于让我找到你了大师！！！
《桃花庵歌》
啊啊啊啊啊啊啊啊
yyds！！！！！！！！
老粉循环
又喜欢又觉得好像已经物是人非了（
突然想起了奚平
梦开始的地方
梦开始的地方
梦开始的地方
每周必看
不知道为什么，觉得他好孤独啊，为什么呢
邵凡安！
梦开始的地方
bgm：逍遥
每周必看
梦开始的地方
梦开始的地方！
梦开始的地方
梦开始的地方啊啊啊太温油了
莫名想到了老君┭┮﹏┭┮
火钳刘明
欲买桂花同载酒，终不似，少年游
梦开始的地方
好温柔呜呜呜
梦开始的地方
入坑！！！！！
梦开始的地方
开头好像老君啊
梦开始的地方
梦开始的地方
梦开始的地方
♡追番
呜呜呜太太您是我的神
凌人兄你在这里干嘛呢
梦开始的地方！
好仙气又有尘世风俗的感觉啊啊啊啊
好有古代的感觉
每周必看
老师！！原来是您啊！！
梦开始的地方
梦开始的地方！！！
柳永…
好温柔好爱
哦i怄气哦我
各位，开头见！！！
正中我心
老粉哭泣www
有点像李白诶
梦开始的地方
""
