草，马戏
为什么我的雷神不会飞
太强了！
+1
火钳刘明
马戏！！！！
太帅了
来电溜(了)
帅死了
影寻找真姐姐的路上遭遇了坎瑞亚的伏击
阿尔法突袭是吧
感觉是刻晴的废案，借尸还魂了
NB
火钳刘明
火钳刘明
咖喱？？
机械打异能谁教你……不好意思走错了
和自己的分身打了几百年都不分胜负的雷神有这么强
牛顿：我是谁？
这个是佐助幼年那个片段吧。
巨帅
卧槽牛皮
火钳刘明
有这技术就做这个?
狂风 臣服于我
太帅了
火钳刘明
火钳刘明
太强了！
救命看完才知道这是自制
雷神会飞的吗！
妙影（幻视）
雷神当然会飞，她打坐不就是悬空的嘛
？？？？？
而被雷神叼打的将军在雷神自闭的时候，镇守了稻妻五百年
摔
以头抢地尔
律者都会飞的啊！（大声）
电生磁，磁悬浮
upnb
这是超能力大战
神子在给我10秒吧
太帅啦
太帅了
怎么我的雷神就没能飞起来？
这AMBAC离大谱
什么东方式打架
不能飞的，因为他给我们池子里放的是将军，不是雷神
帅爆了
？镇守个啥，外面的时间不就几分钟
火钳刘明
公子：还行，比我快一点
这里一股东方既视感
高达是吧
我的雷神怎么不会飞
这真的不是空律吗…
作为神，会飞很正常吧！
万叶：你没有自己的BGM吗？
别忘了2.0的脚踏虚空
肃清妖兽，以救神州苍生（错乱
视频很帅，在游戏里被暴捶的时候也很靓仔（
好仙啊
好帅啊
封见主义
火钳刘明
NB
我超
飞雷神
此刻，寂灭之时！
《早期大战凯瑞亚珍贵视频》
快住手，这根本就不是二创
独眼─小宝
飞………飞雷神！
头朝地，卒
md太帅了，三连拿去，再刷一遍
好家伙，在来一遍，大佬收下我的三连
利威尔兵长
住手啊，这已经不是二创了啊！
此刻，寂灭之时!
我愿称为飞雷神
会飞还行，毕竟雷系都是高机动
这收刀也就看了80多遍
这么卷吗？
电生磁，所以会飞，很合理
《飞雷神》
这飞行能力。你怕不是真正的风神。
卧槽！
覆 灭 坎 瑞 亚 
千鸟，拔刀！
现在压力来到了官方这边
独眼小宝危
卧槽，太帅了吧
wdf
这就是凯瑞亚吗？
雷之呼吸一字型
剑光如我，斩尽芜杂
雷电战机！
原神3d弹幕
这样的穿梭敌群有点违和
飞雷神
独眼小宝！！
前面的因为你抽的是雷电将军
感觉这个轨迹像璃月雷神
某科学的梦想一心
你就说像不像刻晴吧
《某 科 学 的 梦 想 一 心》
歪比巴卜
我很快就投币了
压力来到官方
帅
火钳刘明
狠狠的爱了wc
太厉害了大佬
太帅了吧
女王降临(狗头)
坎瑞亚，不是凯瑞亚
wc
一股东方味
太帅了！！
东方
天命？
雷之呼吸，一之形，梦想一刀
好
雷之呼吸·一之型·霹雳一闪
又稳又快的刀，这就是影追求的武艺的极致吗
牛呀
好家伙
姐姐，我来救你了！
666
。。。居然会飞
压力给到温迪这边
坎瑞亚覆灭前的珍贵影像
你这雷神怎么会飞啊
火钳刘明
好帅啊
太帅了!
真  飞雷神
火钳刘明
太卷了，请务必继续
剑仙
这不是二创啊喂
梦想一心
独眼小宝
卧槽！好帅！不愧是我老婆！
这身法跟观赏鱼学的？
在，我的雷神为何不拿刀拿鱼叉
雷之律者在深渊
阿尔法突袭
刻晴开大
磁悬浮雷电影
小宝不会用追踪导弹吗
动作指导——一方通行
为什么不把刀插回去
辫子甚至都没有发光（
吊炸天
雷电臣服于我
结尾来个收刀就好了 0 0
为什么我的雷电将军不会飞？
雷神征伐坎瑞亚视频
预告完结，正片何时开始？
这是独眼大宝
我擦，毫无违和感是怎么回事？！！
雷神OS：月亮那边是另一个世界的敌（玩）人（家）
我要这币有何用
这个雷神，快进卡池！
帅
狂风，臣服与我！
你让某些国漫情何以堪啊
牛蛙
？二创？
这叫飞雷神
真.飞雷神
老婆老婆老婆老婆老婆阿影我永远的老婆啊啊啊啊
老婆好帅
起飞
《原神：平行宇宙》(bushi
雷霆，臣服于我！（bushi）
东方是吧
帅
奶香的一刀
费劲，一个无想一刀不就完事了（
这就是飞雷神吗
这是刻晴吧doge
我超
在看月亮上的琪亚娜
达达鸭，哈哈哈
这简介怎么有声音啊
nb
火，为什么不火！？（滑稽）
大制作啊
应该收刀
雷神估计是把派蒙吃了所以会飞
NBNB
电光如火，影顺主宰
神子，再给我十秒吧
又是二创？？？
右击空白处一键拾起材料
立体机动！！！！！！
雷之呼吸 柒之型 电雷神
你她吖的就是雷电芽衣？
空：你姐在我手里，我劝你识像着
卧槽
宝藏UP关注了
！！！！！！！！！！！！！！！！
再来一遍
诸君，我好兴奋啊！这么多小宝杀起来一定很爽吧！
二创吗
辫子好像没亮，这，恐怖如斯！
火钳刘明
wocwoc老婆你好帅啊
天理带七神覆灭古国吗
帅
此刻正是，逆熵破产之日！
呃呃呃呃
风之翼呢？斗气化马？
很有东方的味道
快把雷神换刻晴
求时间节点
这么看，公子拉了
666
快住手啊，这已经不是二创了！
肃清妖兽(小宝)，以救稻妻众生(doge)
卧槽 助手
牛蛙、
牛蛙
让雷鸣涤荡所有的罪孽！
高血压
老婆太帅了
压力来到了官方这边
我擦，我老婆好帅
我擦，好帅的老婆
不要乱叫，这是我老婆，你们这些曹贼
你是真，还是影？
现在压力给到官方
雷神降魔，抽卡保底之辈，勿扰
雷神忘记了自己不会飞
帅炸了
草，忽略
雷之呼吸，霹雳一闪
跟秽土二代的登场好像
搞得和pv好像
Riden blade！（
雷电将军单挑F8
我超 雷神
逆熵(狗头)
住手啊，这根本不是二创
公子：这个我熟
压力给到原神
卧槽
为什么都喜欢虐小兵
小宝！不要
剑光如我，斩尽芜杂
真女人从不回头看爆炸
这尼玛是二创？？？
显赫刀剑+突击一闪
bloom怎么关了
卧槽
热知识，牛顿是火化的
这叫飞“雷神”
决战紫禁之巅
无念，断绝！！！
飞   雷神！！！
凡人修仙传？
为什么将军会飘
我的雷神不会飞
小----宝
你弱爆了！（
这材料不能浪费
官方做的不如这个
神里流
官方：我不要面子的？
小---宝
天街巡游
这阿婆指定有点什么副业
阻手啊，这不是二创了
压力给到公子
斩尽牛杂
将军冒号，我也学飞雷神。
看琪亚娜的雷军
坎瑞亚战争
