爷青回
无人之竟
我擦，早啊
热乎热乎
哟呵
放箭放箭！
好家伙
三国杀战棋？
蒸蒸日上
我直接加入战斗
来了
全都回来了
血的张春华等会要摸光牌堆了
虎牢关
张春华家暴现场
这司马懿怎么看怎么像安度因
张春华铁索连环就离谱
被老婆支配的恐怖
应该体力流失特效
三人局怎么有四血主公
蒸蒸日上
经典
？这啥技能摸那么多
放箭！
你过来啊！
不科学啊，这弹幕
1
1
你过来呀！
承包空屏！
你这是闪还是挡啊
哈哈哈哈哈哈哈
典中典
夭寿了，甄姬提刀砍人了
热乎
11
晓明哥是你吗
带制作
哇哦～
你俩不是一伙的？
朴素的选将
我擦这个表情，好像黄教主
ZBC
你过来啊！
你华哥永远是你华哥
老的老，肥的肥
我还以为是玩爆丸
暂停成功  报告 什么都没看到
这不是牧师小哥？
斗地主啊
安度因是你吗
斗地主模式
好家伙大制作
帅啊
热乎的
好沙雕哈哈我喜欢
全都去spa
hhhh
斗地主
这明明是 挡  不是闪 dog
zbc
插眼
道理我都懂，可是这大象为什么跑这么快？
在这停顿
家暴现场
大魏招雷术
斗地主啊
手杀斗地主模式吧
斗地主啊
这里好诶*罒▽罒*
斗地主局啊
蒸蒸日上
斗地主模式
斗地主局啊
卖血啊春哥
zbc！
春华的铁锁也解
没必要
7分钟！
ZBC
哈哈哈哈哈哈哈哈哈哈哈哈哈
正片开始！
斗地主吧
哈哈哈哈哈哈哈哈
哈哈哈大嘴
家暴现场
我去，张春华加强了？
小人
春哥当年可是1打7的存在←_←
不愁弓箭尽
白喝滴！雷霆嘎巴～无情辣少
安度因味太冲了
判定没开始怎么摸牌的？
蒸蒸日上
这司马懿也太沙雕了，没运筹帷幄那感觉啊
6666
一个内一个反
九分钟，热乎
斗地主吧
锁血
怎么多了张
四血的张春华打不死
杀两次？
无情哈拉少
安度因果然是黑子
被队友坑了报仇hhhhh
为了送判定牌
拿改判啊
外强中干
两个反贼杀主公？忠臣呢？内奸呢？
三国杀竟然站起来了
这地主不给弃了就离谱
这个是我们的吉安娜=张春华
雷霆嘎巴
这是配合 
张春华yyds
这还解链就离谱
蒸蒸日上
春哥进入最强形态
孙悟空大闹蟠桃会
这个，好像是新演员
你过来啊！
猜到了 挂闪电必定有这一手 
《刘》
老肩巨猾
蒸蒸日上
草草草
《刘备进入直播间》
蒸蒸日上
规则好像是杀上家保下家
斗地主模式
来早了
蒸蒸日上
反馈拿判定牌！细节
你不是刚当闪打出去？洗牌堆了？
《孙权进入直播间》
好经典的张春华打铁索
ZBC～无情哈拉少！
哈哈哈
闪
大魏伏特加整这高
牛逼
斗地主模式啊
ZBC
———————闪—————————墙——————————
还雨露均沾。。。
好家伙，各位拷走拷走
刘焉：？？？不要给我
俄罗斯的黄果
哈哈哈果然是斗地主模式
经典
无懈没读条保护
你春哥还是你春哥
你的死活与我何干
雨露均沾刀法
蒸蒸日上！
啊～～～～～
桃，哈哈哈哈哈哈，真实
哈哈哈哈哈
在抖！
洛神
小人防酒杀
父亲在上，魂佑江东
糟糕要白给了
红红火火
被克制了啊
杀！
活了活了
哈哈哈哈
小人防酒杀
味儿太冲了
阿门有我梁姐取冀州便是指日可待
给地主春哥贴兵，然后接着开南，可真是人才
砍人送牌啊
hhhhhh
Dota2宙斯大的音效!
这也敢卖啊？司马兄
永远不要让春哥一血并且拿到连弩
这司马懿太猥琐了
冰杀，应变进斗地主可还行
AK 呢，怎么直接两张杀？？？
蒸蒸日上
砸蛋
蒸！
这不比x燃?
高手意识
就是安度因啊
单走一张杀，伞兵
压倒性优势！
这是故意打队友司马反馈拿牌好判定闪电打地主张春华
蒸蒸日上
23333
春哥现在3血被劈直接起飞
家暴了！张春华打司马懿！
你的死活与我何干
这司马懿就是个彩笔
哈哈，还把铁锁解了
虚焦
你还能反馈??????
哈哈哈哈哈哈哈哈
这是黑米粥呀！可惜服装限制了身材！
哈拉少
细节，箭没了
天命？哈哈哈哈哈
凉凉
26分钟
打得不错
安度因味太重
这也解啊
你把司马懿演成猴了，建议以后去演猴
春哥为什么要出杀呢
蒸！蒸！蒸！
哈哈哈哈哈哈哈
白马定叫他有来无回
就是安度因演员
蒸蒸日上！
闪电劈死
蒸，都可以蒸
哇
春哥爱了爱了
斗地主模式啊，想啥呢
哇哦
虎牢关音效，好久没听到了
哇哦哇哦哇哦哇哦哇哦
我就说一句，这游戏不充钱的都得衮，进房间给你踢了，白嫖党还想跟我充钱巴巴玩？[嗑瓜子]​
热乎
蒸蒸日上
斗地主模式，地主可在回合开始摸一张，且可弃两张手牌去掉判定区一张
哇哦
GG，劈出个过牌狂魔
所以给地主春华上判定就是给地主刷牌得
闪
一个敢连一个敢解
司马懿这是改啥？
好家伙，这雷一炸不得了
这不是无中生有？
裙子缝好评
这个司马懿，看上去不太聪明的亚子
哈哈哈好贱啊
裙子缝好评
汪大东是你！
安度因黑瞳好帅
春哥铁锁解了没毛病啊，万一闪电炸了呢？
最后一下没有拖鞋，莫的灵魂
这里有那么一丝神似尹正啊233
等等，闪电牌？盲猜被电死
神马超无敌
此间乐，不思蜀
哈哈哈哈哈哈哈哈哈
觉醒了
不是，这铁锁连不连有啥区别啊
??
经典小人
蒸蒸日上
蒸蒸日上
春华用铁锁
ZBC
这是红决斗改黑铁索
三国杀 还没凉？
没必要啊
斗地主啊
哇哦
哇哦
蒸起来
拉稀了
那块布就很讨厌
全都去spa！
飞扬弃两手牌解掉兵粮，伤逝摸1，摸牌阶段摸2
这个砸蛋太真实了
让张角来
司马懿的确很像安度因。。。。
都没玩过斗地主模式吗？主公有双刀加英姿的效果
这马好真（dog）
这长江天险之后
弓箭手，准备放箭
蒸蒸日上啊，我八年没去客户端玩了
非法组队
扔鸡蛋还行
虎牢关bgm
安度因
甄姬不是有黑桃5的青龙吗？！司马你在干什么？
大魏招雷术
疼起来了
伤敌一千，自补八百
曹贼进入直播间。
蒸蒸日上
无邪可击笑尿了
家暴
蒸蒸日上
当面NTR
老婆的牌也偷?
ICU大乱斗
前面的春哥不会跳闪电？
这个铁锁
闪电
三国杀，有牌面！
这是斗地主模式吧
说三人场的 没想过剩三个人吗……
马-1
这不得起飞喽
蒸蒸日上
王·炼狱刚雷！
哈哈哈，丢鸡蛋
哈哈哈哈
刘焉：不！
哈哈哈
一个敢连一个敢解
硬送觉醒
这张春华怎么有点像霍建华
细节闪防觉醒
这个视频太好看了，两个妹纸不错，配音也好听！
春哥要开始了
这是猴子变的吧
这脸邹巴的
家暴现场
无情哈拉少
专业
一个刘老板失去了梦想
太嫩了
太谐了
好 觉醒了
箭支充足，尽管取用
蒸蒸日上
呆妹？？
bgm不是虎牢关
才看出来是斗地主模式
甄姬好美啊
蒸蒸日上
233
蒸蒸日上
蒸蒸日上
老四害了
张春华全部都防出去了，老四害了
小人防酒杀
甄姬好大
蒸蒸日上
飞扬呢 跳判定的技能呢
这是格挡
你管这叫闪
老曾？
送牌然后司马懿改闪电判定
大嘴
主动被动可太秀了
蒸蒸日上
好一个锁定技
春华：铁锁酒杀，队友别闪
蒸蒸日上
插
斗地主模式
三国打
春哥弃两张牌扔了闪电啊
ak 无限杀
哈哈哈 斗地主内讧 太真实了
家暴现场
张伟?
斗地主
个人战
斗地主 主攻可以丢2张牌 弃置一张判定牌 所以这2个校尉操作 哈哈哈
你过来呀
春哥居然不弃判定
ak来了嗷
连营
经典小人
哈哈哈哈
黄晓明是你吗
蒸蒸日上
太rm真实了吧
热乎的
叭吔鹤立
不弃判应该是有酒或者桃
好多桀哥
蒸蒸日上
这个表情，老牧狗了
蒸蒸日上
