一
刚刚
二
1
热乎
第一个弹幕
播放1
热乎！
出息了
热乎
刚刚。
好早
热乎了
好早好早
刚刚
刚刚
来了，来了
我出息了
来了来了
一分钟
卧槽刚刚 播放量1
趁热来
1
2
第三个弹幕
这么快
111
热乎
1分钟热乎
热乎的
来了来了
222222
热乎一分钟
一分钟，烫烫烫
嗯嗯
1播放太可了
热乎热乎
沙发
没暗号 放心观看
一分钟！
热乎一分钟
两分钟 第一次这么早
1111
一分钟
1
抢占前排
来啦
热乎
1分钟热乎
热乎劲儿
烫手
播放1 弹幕20
收藏了就等于看了
热乎
这本书是说社会规律的
一分钟。
热乎的
刚刚，出息了！
好热
去年的书单还没看完
新鲜新鲜的
因为这本我有
第六十条
没有弹幕，可以更专注的看表情包了
早早早
1
来了来了
咦，热的
2分钟
我来了
热乎
课代表：
2分钟热乎
小心牛顿老师在你镜子后面  。
你是否看见一只鸡
两分钟
2分钟
挡下
2min
两分钟
热乎 3分钟
两分钟
热乎
2分钟，妈妈我出息了
三分钟
热热热
第一！！热乎！
第一嘛
3分钟
内科 外科 生理 药理 病理5本
热乎
烫手三分钟
三分钟！！！！！
第一！热乎
4分钟
1
热乎
刚看完……
来啦来啦
我 的 本 质
3分钟啊，烫
关上前两分钟大门
妈耶，四分钟，有点烫嘴
确实
5分钟！！！
3分钟
五分钟，来了来了
热乎
四分钟 我出息了
烫手
5分钟！！
看过
5分钟
哈哈哈
2
前排围观
剛看完！！！
五分钟！！！！！！！！
5分钟合影
来了来了
好的
好家伙！《贫穷的本质》下午刚下单，现在就推了！
热乎
？
去年推荐的买了都还没看
强烈推薦！！！
五分钟
5分钟！
6分钟，凉了
突然有种虚荣心被满足的感脚
书皮真好看
利伐沙班片
我需要课代表
上次的几本还没看完
承包空屏
啊这，刚刚上课的时候无聊看的书
吊图一堆
看了
哈哈
五分钟妈妈我出息了
热乎
六分钟
？？？
快乐
弹幕呢！
哦 度过
烫手
也看过
联想到了美剧《无耻家庭》
热热热
nonono
7分钟
哈哈哈哈
对
这本书并不支持
烫手7分钟
7分钟出息了
7min
有幸看过，还热乎
贫穷到看电子版白嫖
预言家
出息了，7分钟
刚看完这本书
流入币市
8分钟内
热乎
反脆弱的作者？？？？
刚刚看完！
高产似那啥
看了一半了
看你的视频算吗
8分钟！！！！
热乎热乎！
8分钟
还有楼市
热乎
獐子岛
5分钟
都是老板们说的话
新鲜火热
9分钟，我又出息了一次
九分钟
好家伙。。。。
关上十分钟的门
九分钟
13分！
来了年更作品
热乎
b站的大多数人可不是“贫穷”状态，别随便对号入座，印度贫民窟那种才是
攒钱，投在可靠的资源上就能生钱。
烫手
？人呢？绝了
马老师太多，一时不知道说的哪个
不瞒了，摊牌了
热的热的
十分钟的大门
这本看过  好书！
听说你现场演讲没风骚起来，好失望
你们都不往后看？
白嫖万岁
哈哈哈哈哈哈哈 jinpi
去年的台词
11分钟，妈妈我出息了
热乎的
十分钟十分钟，还来得及
昨天我才看了上期好书推荐，今天又来了，老婆好爱我
我刚买 
是的
11分钟
张三出来了
这书只能提升认知。没什么方法论
这本有
我记得去年也有一期，让我们认识这个魔幻的世界
拉人下水，人心险恶
喔
于是最终我在这里看半佛老师的视频
热乎
11
哈哈哈
大学看过这本
热
不，大概率没有下一代
把希望寄托在B站学习区里
高产奶牛
阿半你可来来的太及时了
热乎的
热乎的
强推，各种意义上都是佳作
我来了
明白了 这就卸载b站
哈哈
烫手的13分钟
灰犀牛
这是大实话，中国14亿人，b站才多少用户？
又到一年读书日
卧槽我这么早
懂了这就关掉视频
14分钟
什么图都有
ofo使用说明书
懂了，玩王者该买皮肤还得买，别玩的跟廉价游戏一样
直接好家伙
长城外贴瓷砖项目书233
十四分钟热乎
我信你个鬼，里面东西更贵
热乎
如果没看错，应该是防止血栓的药，25元一片吧好像
但是 不努力 就注定穷 除非出生好
ohhhhhhhhhh前排
全到了比特币 哈哈哈
喜欢
在知识的海洋狗刨。
听懂掌声
我爱你
你穷是因为你在投胎时不努力
这本我看完了
前阵子买抑郁症的药说明书也是这么长
不是不存在贫穷，而是大多数人都是相对的贫穷
都看书去了
镜子后面有牛顿顿顿老师
来了
我怀疑你在明示潘子
热乎热乎的！
看沙雕视频不花钱却杀时间
看过
垃圾书...
才看完去年视频的我~
新馆
马斯克
我靠我第一次这么前排啊
贫穷的本质还用读吗？
17
#查询UP主受教育程度
正愁没有书看
疫情吗
这个数我看了后就就拿了诺奖
热乎
你还有一次机会，不过是千万分之一的概率！
去年五本书一本没读
哈哈哈哈
读书日！
热乎
烫
哈哈哈哈
比如在B站看小视频
啊…这…
哈哈哈哈哈哈看过，超喜欢
你是在说华为吗？
每个人都有自己的评判标准，贫穷的程度也是因人而异
热乎！！！！！
努力适应贫穷？
热乎的
111
醍醐灌顶，当头棒喝，卸载农药
烫手
有趣起来了
我最喜欢看里边的插图
长城贴瓷砖比其他两个好实现点
无耻之徒，每次主角们快要成功的时候就会因为家庭和自己的性格失败
截屏干嘛，愣着啊
看了无耻之徒之后开始反思自己变得自律，真的害怕自己变成菲奥娜
去年疫情就看过这本书了
他妈，感觉你前半部分和去年式一样的
马斯克
看过一点
现在还得纯真了
刚刚看完合上这本书
巴纳吉
我只看了小狗钱钱
裆下
听懂掌声
高产
就现在，我在裆下
烫手
我应该关掉这个视频去学习
看过这本，内容忘了。。。
涉及了一点
没看过 有什么好说的
三体
911
这个系列好像出过
平穷陷阱
老师又来传播知识了！
《母猪的产后护理》
太高产了 快看不过来了
来了
来了
