我第一火钳刘明
来了来了
来了
刚刚！
ldl
来了
早
1
先发弹幕，再慢慢看
来早了
1播放？囤一囤弹幕再来
niubi
严谨
索尼大钱！
两分钟！
底大一级压死人
lei了lei了
确实
左手生活可还行
我也想问
真实哈哈哈哈哈哈哈
对啊就真的喜欢拍照就买个微单
老子是第一
觉得人家做的不好为什么要看呢。。。
四分钟
不喜欢看右上角谢谢
二维码内容：你好闲啊。。。。
太真实了
怎么没有弹幕
你要笑死我
我变色了
奇妙音效
我觉得你的角度真的好棒 每次看你的视频都会有很多收获 继续冲鸭！！
哈哈哈哈哈哈哈哈太真实了
这个bgm让我总是想看进度条
我觉得苹果更好
挖掘机？蓝翔？
来啦来啦！
dbq 我分不出来。。这没什么细节能让我找叭。。
泪目
太可爱了！
来太早
 是我了没错
哈哈哈哈太真实了全是ppt照片
哈哈哈哈哈哈
哪来的弹幕水军 弹幕礼仪不要了？
我也超喜欢这个广告！
打不过
哈哈哈哈哈哈ppt太真实了
完全赞同
awsl
由我来组成弹幕
没人
诺基亚N95 一代神机
太真实了
awesome～
满分作文
不喜欢可以出去啊
awsl
太真实了
哈哈哈，太真实了
这弹幕还没有呢评论都满了 
是呀
真实！
没人
bgm…
听不太懂
頭一次前排
哈哈哈哈哈哈哈哈哈有道理
对对对  就是这样
可爱！！
过于真实
你怎么这么快
太真实了
拍猫片
说苹果相机就不行了 说沸腾机相机就好
左边华为
角度刁钻
这个不错
对对对！！我也是这样！
好可爱
我觉得何同学说得很好啊，你需要随手记录的照片用很一般的手机也可以拍得很好的，没必要上到11
bgm  daftpunk？
很棒
开心
泪目
666
太真实了，不就是我吗
好棒哦
来了来了
去冰的奶茶
卧槽来了老弟
实在手机没有地方可以差异化了
糊了是因为对焦地方的问题
这让我想起流传的人类科技发展达到了瓶颈
来了来了！
满分作文开始
何同学立意总是这么好
来了来了
666666
果冻效应么哈哈哈
先抑后扬？
真实
哈哈哈哈哈哈哈哈哈
这个二维码扫出来是“你好闲啊”别问我怎么知道
终于更新了
miboy发布十分钟就开始刷屏黑了，太好笑了吧
长残了
233333
可是你知道一只好猫比手机还贵吗
也是
666666
何同学好帅啊
逐渐呆化
真好
开场四款手机都是经典啊
前景，北京，光效，都很明显
kule 
把前面键盘侠的脸打肿了，舒服
太不容易了
我不做摄像头了 jojo！
一语惊醒梦中人
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈这可还行
真实
前方高能！！！！！
但他不能打电话
拍这种画面需要一个稳定器
拍华为的时候咋不那么说
蛋没了
泪目
文案高能预警
非常好
厉害
徕卡
牛逼
很棒啊
  说的买了单反就能拍出来似的
这个镜头不止一千多吧。。。
泪目了
太真实了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
都给我哭
这锯齿..
有彩蛋哟
哈哈哈哈哈哈哈哈
哈哈哈哈
文身的花臂
只要是个手机 都打不过单反 p30的是来搞笑的吗
awsl
坚果牛逼！
玛德牛逼啊
厉害厉害
以后买相机
ww
泪目
右边啊
對啊
不断增加的摄像头是手机的畸形发展史
a6000流批
能揣进兜里的小进步还是有意义的
这句话太对了
哈哈哈哈哈哈，我停了好几次终于！！！
华为也有一部类似广告片
再来一次
哈哈哈哈哈哈哈哈哈哈哈
还是个残幅
这样能刺激手机镜头的发展
airpods一代那个跳舞的广告贼好看
6400
相机它不香吗
daftpunk
等待何同学永远是值得的
tokyo hot（doge
所以吹变焦多么无缝的真的果吹
架这个手机的脚架不知道可以买不知道多少一样的手机
满分作文！！！！！
现在像素的升级已经没有意义了
哭了 这开头 是怎么做出来的
5s
对我一直有这个感觉
哈哈哈哈哈哈哈
索尼打钱
你就是来晒猫的吧！！！
对对
是iOS
大花臂乱入
熟悉的教室熟悉的内容
啊這個我超喜歡
mate30pro呢
那个阴阳怪气说计划生育的脑子不需要可以捐出去
索尼大法好
哈哈哈哈哈哈哈，过于真实
好了，秒了
这个真的好
这么大的雪，iPhone居然不关机？？
华为呢
《误解》都是正常手持拍摄
By innovation only.——APPLE
华为的时候就不这么说了
莱卡
底大一级压死人
来啦来啦
哈哈哈哈哈哈
就是嘛
 松徕
蠢朋克！！！
超级真实
啧，
手机在摄像功能的探索确实有点浪费研究资源
同款DG25
看到这个iphone了吗？拆了也不给你！
哈哈哈哈哈哈哈哈哈哈或
哈哈哈哈哈哈哈哈哈哈太真实了
小何来啦
你好闲阿！！！！
背景虚化呀
有理有据
这是理科生！？
苹果广告确实很有创意
iphone冻关机真实
哈哈哈哈哈哈哈哈哈哈
暂停扫码
坚果好
我的5s！！！
2333333
孩子别老说大实话
赞赞赞
科长
我感觉眼眶湿润了
底大了十几倍呗，那有啥可比性
好棒
前方高能
承包这没弹幕的屏幕
666
哈哈哈哈哈哈哈哈哈哈或或或
开头就给你币
说的太好了
应该放错了，中间的是相机的！！！！！！！！！！！！！！！！！
对
应该放错了，中间的是相机的！！！！！！！！！！！！！！！！！
苹果的广告真的牛逼
6666666
看右边显示屏！
看哭了
这个思辨很到位
我来啦啊啊！
那么问题来了 这个索尼是什么型号
啊啊啊我好前！
华为进来看看
lightsaber把我炸出来！！！
91
看哭
对呀
并不是糊了，对焦的位置在底部
感动
这么一看人眼是真牛逼
你币有了
厉害
价位对比
噜噜噜噜噜
鸡皮疙瘩
我也有
哈哈哈哈哈哈哈哈哈哈哈哈
可以手机是随身带的，对于普通人来说，并不是要创作，只是想更好地记录
音画不同步么？
刷华为的是傻批？何同学说的是所有手机厂商，针对苹果一家？
对，我就是这么向别人解释的
这个温度iPhone能用？
服了服了，牛批牛批
索尼大法好
一语点醒梦中人啊
woc54分钟3.3w币
没错 我也这样说过苹果的广告
我哭了你们呢
这手！！
我开了
泪目
手机是jpg，相机是png
哈哈哈哈哈哈哈哈
小何棒棒
噗哈哈哈哈哈哈太真实了都是上课拍图
发条何？
差点哭了
真实
太赞了
到底哪里搞来那么多复古手机
nb
现在1万多人同时在看
鸡皮疙瘩起来了
晒猫，你币没了
哈哈哈哈
真好，我们不用摄像的手机党的心声
部分场景可以
满分作文
今天来看了好几次。终于更新了。
旁边的画面是一样的！
还真哭了
真实
真实
你你你，活该上邮政大学
真是啊
对啊
满汉仇恨地说着233
我都不知道该看哪个了
Lumia1020！
棒
哦吼
泪目
666
岂不美哉
希望苹果把手机信号搞好点
这个很棒
真相了
小米1亿像素呢
满分
太赞了
秀
前面的建议多出去看看
太真实了
跟我一样
苹果比华为并不是贵在相机上啊，系统的独特性，设计
太棒了叭
好可爱！！！
说的好！！！
