有啊！！！！看过啊！！
开花？
只有十几集啊！
"虽然没好好看过电视剧,但这首歌真是深印脑海啊"
第一个弹幕嘛
相思
好看啊  剧情还是不错的
鬼畜鼻祖
他的主题曲好听
哪里找无鬼畜版的
你就倒下了
这个孙悟空讲道理有点越看越帅呢
泪目
剧情还是相当精彩的
这个真心剧情太好了 就是特效…
那图鲁
改编不是乱编
阿修真好看
快乐齐天
哪里分不出来了？
大圣
主题曲一出   我直接炸了
女娲:我的补天石哟~
就是分不出来
如来m没了
去掉官方鬼畜观感肯定会好很多！剧情真的好！
有点着急
抗压吧的蛆虫gck
←我脸盲认不出真是抱歉了您内
阿依纳伐
如来不要脸
BGM把我炸出来了
最帅唐僧
能分出来的那位，你真牛逼
新倚天的女主都TM一张脸
这个悟空小时候觉得很帅啊，现在。。。
分不出来
翻牌已经不看了
主题曲刘欢，片尾曲毛阿敏全是国家队
我的战斗力只有6000，他起码1W以上
卡卡罗特
真分不出，倒不是因为人，因为妆太像
这是西游记续集的东海龙太子
佛光开智
看过，故事不错
好像是老鹰
不用鬼畜的电视剧，他自己就是鬼畜
不好意思 我确实没分出来
赵敏和周芷若辨识度不要太高好吗
泪目良心BGM
来了老弟
从从头头到到尾尾从头到尾没没有有没有表表情情表情，，，看看的的看的好好难难受受好难受
小时候有一天翘课看大结局 看的哭的啊
经典
讲道理，这部当时也是辣眼睛，只是同行衬托，现在的可以戳瞎眼睛
白莲花2333
的确好剧，配乐非常棒
黑子
这孙悟空是西游记续集里的白龙马
曹荣
当然经典啦
如来不要脸加一，真的不喜欢这个如来～
小姐姐好看啊
为啥我记得不是谆谆善诱，而是恐吓呢？把那个人吓得
武状元@
我是真的有点分不出来
黄海冰真好看
我已成仙 快乐齐天
悟空不是不死之身吗
新xn
都是回忆呀
西游记里猴子鬼点子可不少，出事了不都是他想办法解决问题的吗
五官周边粘的面具你以为能做表情？
这个悟空是李连杰版倚天屠龙记里的少林龙爪手，也是该片的武指之一
认不出人脸这个就黑的过分了，但神烦也跟着黑，跟过分了
真的分不出来啊
谢逊！！是你
阎王：求求你别入地狱了
wc，童年的回忆
按原著描述的话其实悟空没有生死这个概念
如来有点贱呦
童年
无天比如来好
分不出来
看过鬼畜真的骚
童年！
如来是为了啥
从小就觉得 这版的孙悟空完全没有笑脸，板着一张脸
没有表情，的确很难受
确实好看(｡･ω･｡)ﾉ♡相当喜欢
Jojo我不做人来
我觉得应该是好看的
我喜欢哪个哪吒
分不出那是严重脸盲可以去去看看了
分不出
红豆生南国
不能分不清人脸的那位你到底在看啥，天线宝宝?
谢罪
没有好笑
这真的探讨人的内心
刘欢唱的主题曲
真的说的太好了！
