足够的知识，让我们变得自信、从容
5分钟！
唉？这也是个思路
看过这个，刷了几遍
收藏了，正好暑假的时候看
常识多看看科普就能掌握不少
此话怎讲
= =
这个真的好看
《国产纪录片也能拍出那么震撼的画面》好家伙。。。。的
这个好看
这个最好看
这个很好看啊！！！必看！
TOP6最好看，一定要看！
1
1
1
1
1
1
1
1
1
1
1
1
1
先赞后看
说得好
1
哈哈哈哈哈哈
比如准备作案
三连
哇哦
紧跟时事
这个蒙娜丽莎真是笑疯了2333
睡着之后居然坚持断断续续看完了
这个片非常强大
这个看过五六遍
小时候看过
还有法医宋慈纪录片
看过，b站有资源
阴谋论！！！
已三连和关注
bbc又不是全是垃圾
声音好好听
P5的BGM把我炸了出来哈哈哈
信息差
BBC的动画片更恶心，以后不会让孩子看了
纪录片是没的说
三连
普通人谁能明白，这个化妆品有没有价值呢？有那么多时间看书和做实验吗？工作也很忙啊
舌尖上的中国可能要哭昏在厕所
你看到的都是别人希望你看到的
我们学校放这个
你不如直接说名字
这个真的好看，画质太棒了
学过法医学表示一点不慌
建议大家看一看，提升智力的纪录片
top6一定要看 基础知识
top1yyds
推荐TOP6艺术类和TOP1科学类
bbc自然类纪录片还不错的
建议法医学的看一看
终于出现一个我看过的了
很好看 艺术生去看！！
知识点 1503 达芬奇 卢浮宫
这个最好看
不知为不知，是知也
紧跟时事
好看
这个我们老师给我们看过，画面很好
有趣
忍受缺点的太搞笑了
直接连我身份证得了
哈哈哈推荐的里面唯一看过的纪录片
就是不应该在我们国家出现
任何情况都是
人类对这个世界而言是癌细胞，吃的巨多，繁殖能力巨强，扩散还很广。
波普尔：大胆假设，小心求证
学过地理的都了解时差
我推荐大国崛起
不懂就问哪里可以看到
也可以看工作细胞哈哈哈哈哈哈
特普10
BBC纪录片还是很可以的
必须三连
bbc拍纪录片还是王者级别的，动物世界什么的
国内王者级就是cctv9了
看过！
没常识的我哇的一声哭出来
双面针直呼内行
下一条是水龙？
石琼璘？
这是日本新干线
这个我们生物老师推荐过 
完美的作案
针味十足
罗平？
这关个巨好看
工作细胞＋1
BBC拍科普的和别的是不同拍摄组
四连了
笑死
蒙娜丽莎那三集很好看
这画那么牛B啊 怪不得不卖呢
前面比如准备作案笑死我了！！！
昨天就三连了！慢慢看
上班终于可以合理摸鱼看剧了     我是在自我提升  哼！
???????
最近在看南太平洋
那部纪录片可以学物理学的时差
刑侦是普通人需要的常识？还不如说你喜欢的纪录片top10
长按四连了，回家看
准备作案？？？
为这句话四连
噢噢噢噢噢
矮大紧
懂了知识改变命运
越化妆皮肤越差，然后继续化，恶性循环
讲解好评
航拍中国
这部纪录片高中的时候看过，很震撼，很美丽，在我心里也是纪录片南拨万
地球脉动永远滴神
Sc
自信从容能换钱和职位么
换个麦吧，一直喷麦
比如我之前一直不知道星星真的会闪烁，第一次见到的时候被吓得两个小时缓不过来
我以为要神雕侠侣了呢
@高晓松
p5牛逼
职中的人才
比如你准备犯罪
这个真的巨牛
薛之谦？
张三必看 考试要考的
阿针啊 
高晓松
起飞
社死不要紧，态度要好应该还行……
点名某佛
收藏大于点赞，这不对
含针量
这可不是封建思想哦
记得有一篇课文就是讲这个的
专业的知识让人变得高傲，自负。
她在生气
比如你正在准备犯罪
来了来了
柯南加这个直接完美犯罪
TOP5可以学时差 大家去看！
说得好！
为这段多面性思维点赞
消费主义的思想
小时候超爱看 电影频道
对破案感兴趣
这片牛掰
我是腾讯VIP看的
每集一个入狱小技巧
一来就是基本功
腾讯还是算了
奇趣美术馆！
BBC的部分记录片是很好的参考
这个我自己琢磨过！一会去看看
永远的神！
一呼一吸顷刻之间，这是地球对生命的供养。这颗星球因我们而生，这颗星球更被我们点亮
BBC的《人类星球》《地球动脉》也挺好看的
这个当时我想找找了很久，真的很牛逼
入狱小技巧
怎么才能让我媳妇看见
比如你在犯罪但不知收尾
这个推荐，大爱
，，
我正在看世界历史
肉毒素
在哪可以看到
生物真是迷人，它不懂科学，但它的存在就是科学
1
老师给我们看过
在哪里可以看
转发给她
这还用了特效的
贻笑大方：被专家、内行耻笑
BBC。。。。。。
某针退出直播间
之前在b站看过！
比如你是张三
双面针:你在说我?
没有中国通史吗
刻板印象不可取
p5
@张三
银行什么的就这么要求，就得化妆啊。
啊啊啊啊这个我看过，
这个特别好看！！！！强推
这个超级有趣
是我了
上历史课的时候看的
哈哈哈哈哈
完美作案
历史老师放过工业革命哈哈
这个超好看
去哪看？？
yyds
确实
看过！超好看
怎么不是封建思想，这和裹小脚无异，不是说现在才有的东西一定不是封建
水性杨花
锤娜丽莎
女生视角确实是这样的，不化妆就是不重视
仿生学开龙脊？
doa
点错啦是一
码一下
感觉不是很好看
这部确实一般
jue
壁壁c
哈哈
女神异闻录5永远的神
比如你现在正在犯罪
喜欢！
不愧是你！果然是你！！！这部是在初中看的，真的宝藏纪录片！！！
永远记住资本主义对切尔诺贝利的抹黑
BBC的纪录片只有自然方面的能看
矮大紧你直接抱我身份证算了
封建思想一般是指维护封建统治的旧道德、旧礼教所形成的思想观念的泛称。
马督工狂怒
这个吹爆
《》
王俊凯快来看宇宙天文奥秘
超有趣的 一定要看！！！
影响世界的中国植物
王俊凯快来看
语文老师：贻笑大方前边就不要加“让人”了
这个给学生放过！
工作细胞
化妆品就是化学合成物，天天涂脸上，不有毒才怪。
点错了，不好意思
滚到收藏夹吃回去吧
打着科普的名义，背后都是利益
E
yyds
这个看过！
这个超级有趣
点错了
让人贻笑大方？ 这是个病句呀
UP离麦太近啦吧······
点错了
某讯VIP魔杀了我的求知欲
你好
jue  qu   攫取
说女性视角就是这样的那位 不要代表全部女性呀 说你自己就好了
看完可以提升自己
BBC的纪录片是享誉全球的，但凡有点知识的人都知道
师夷长技以制夷
你可以没有知识，但是希望你知道基本的常识
比如你在犯罪
比如你在犯罪
常识：通常不认识
啊啊啊啊啊啊啊啊yyds！
家人们冲啊！
看过
对，真的好好看
邢啊
BBC纪录片也不行了，造假
BBC
你我只是宇宙中的沧海一粟
化妆品（不是护肤品）大多数都对皮肤不好
我们的考试题目
知道越多越谦卑
东京一年
杰哥，你干嘛？
点错了…想选1的…
盲猜top1 地球脉动
啊这
女生视角能不能加个有些女生？只是我没有
两面针：你直接报我身份证吧
BGM：Lake Arrowhead (Radio Mix)给我点赞(⊙o⊙)
来，进收藏夹吃灰吧
骄傲自负
牛
神思者
那么在哪里可以看
这个看过了
这些都在哪里看
爱你爱你
比如：某gcz网
矮大紧：报我身份证得了
属于是想变成气泡音就把麦贴的近近的结果一直喷
张三：感谢
不应该讲意大利语吗？难道在法国几年就会法语了
现在白嫖bbc的片，长大了做bbc的敌人
无知不可怕，可怕的是偏见
3
不得不说央妈出品的纪录片真的YYDS
说女性视角的那位，请不要代表全部
张三狂喜
点赞收藏 撤
bgm
我就因为缺乏常识经常被室友说笑哈哈
这个好看
这个好看，生物老师让我们看了
某行针
基本演绎法
收藏比点赞多
感谢up
初中CCTV9看过，好像是这个哈
我们初中历史老师课上给我们看过！
清华美院眯眯眼这种常识不要也罢
世界历史好像我看过一部分
BBC的精华纪录片电视剧集整体是好的  要看要看的
那我也来评判批判你的视频
让人贻笑大方
CCTV不服
对的
这个好看
这个生物老师经常给我们放
BBC的阴间镜头吗？
我怀疑你在说兔八哥，但是我有证据
什么？这个音乐...这不是我们学校午写音乐吗淦！
带象工会
能不能整一下目录啊
@半佛仙人
点名某针
看过不错
碼起来
淡妆
收藏了
BGM:Lake Arrowhead (Radio Mix)
收藏不看系列（dog.jpg）
无知不是障碍，傲慢才是
不好意思 现在这么多科普机构翻车 纪录片都不敢看了
弹幕好笋
666
所以保持清醒，少开腔
散吧，散吧。纪录片和只提供信息不提供知识
看过超好看
p5的BGM
看过
bbc的很多纪录片还是牛的
  科学老师放过
同时我也推荐各位查找卡尔萨根
BGM:Lake Arrowhead 
双面针？？？？！！！
这个好看！！！也很有趣！！
选错了对不起
这个特别特别好看
点错了，草
ccTV10  大真探
植物学老师推过
有人看过穿越虫洞吗
这个超棒！
P5天下第一
看过
收藏夹吃灰去
诶，我真的想到了天然护肤品这一点耶
top1居然不是舌尖上的中国
看看人体内的怪物
BBC的纪录片确实好…
无知者才能无畏！
这个看起来好有趣
点错了
点错了……
比如说你正在犯罪
无知者无畏
这个超好看！
DNA动了
我终于看过
仿生学原理 开龙脊
我听男的气泡音觉得都很猥琐
我要把声音关小了dbq
桂林山水甲天下
乖乖到我的收藏夹里吃灰去吧
暂停先看片去了
让人贻笑大方，语病了
上过学的人不都知道？这还得看记录篇？
BBC
斗转星移超好看
所以你得多投币让up主换麦
在没有B站的时候买光盘看的巨好
下次一定
看过！
嗯~
只要你购买大会员你就可以在B站看到（狗头）
化妆又不是衣服，裸脸就不尊重了？
开始作者叫我收藏，我说下次一定，结果看到现在就立马收藏nice
硬核版·工作细胞
点错了
TOP 0 舌尖上的中国（狗头）
牛逼！
这不沈腾吗
航拍中国不也还可以
看完了
打开去看发现自己已经看过了这部
这个纪录片很有趣
之前在b站就能看
bbc拍动物是专业的，拍人嘛没一句实话
然后就睡着了
对，就是不应该在我们国家出现
默认化妆为一种社会共识或者强制要求，甚至引以为豪的人真是无语
哇
啊哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇
TOP1很好看
高晓松
点错了
点错了！！！
同意，我巨不喜欢化妆
植物的那个我也看过啊啊啊超级好看
矮大紧
点错了
搞错了
三刷了
所以先就不化了
‘’‘’
小日子越来越有判头了
bbc自然类的纪录片绝对是世界第一的存在
女神异闻录的bgm就是赞
啊啊啊按错了
BBC的一些纪录片其实还是很不戳的
淦，手点错了。。。
我很喜欢化妆
比如某针。。。。。。。
但是人类有可能成为永恒
针味十足！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
语文老师：让人贻笑大方是病句！！！
走进科学呢？1
画面很bbc
看过
美国一个昆虫 破案
看过  好看
小时候看过
比如你是张三
你永远得不到真像，只能得到一种精心设计的叙述方式
