谢你吉言
谢谢(*^▽^)/★*☆
祝大家都考好，大家都开开心心平平安安的过这个暑假！
谢谢
承你吉言
高三14全体高分
二组211
高分
承瑞纳祥
风华绝代
婷婷玉立
尽善尽美
借您吉言
希望！
承你吉言
借您吉言
耶
？去年四川分就很低，今年题难度大的多，笑死，一本线只低了8分，我需要速效救心丸
借您吉言
可以哎
谢谢
就是我，一模一样
`借你吉言
不，今年涨了
一本线541…
借您吉言
吸吸欧气
真实
感谢
借您吉言
我三连了
后天查分
浙江现状
大家高分
借您吉言
今年更高
真的我考崩了
借你吉言，已三连
借您吉言
谢谢了
江西理科519一本线 笑死
已三连
大家高分！
哈哈哈哈确实
今年好像更高哈哈
好耶耶耶耶
借您吉言
借您吉言
祝诸君高考大捷
可恶，白嫖失败
借您吉言
jjjy
虽然但是，去年已经考完了
谢谢已经大一了
三连借你吉言
后天后天！
理科一般都降了，文科肯定涨了
牛儿
借你吉言
借您吉言
真实
笑死了，这不就是曾经的我吗
天津现状
今年都涨了
明天
借你吉言，一定考上
我信了，三连
可恶，但已经大一了
借你吉言，我已三连
借您吉言
我他妈才是个文科生啊，凭啥扩招理科啊
居高不下
让人无法拒绝
后天查
加油，大家都高分
祝我高分！
下下届（2020入学）笑容突然僵硬
吃瓜吃到自己
借您吉言
hhh
大二师兄就喜欢这些
四川：就你还想上大学？
借你吉言！
哈哈哈哈哈哈
吸
已三连，希望好运
后天出分
真实
借您吉言
大家一定高分
祝我高分
呜呜呜中考考差了
明天查
600！
借您吉言
领取好运
三连了
三连了
上岸
借你吉言，看过这个视频的人分数一定高。
领取好运  已三连
前面河南的朋友等等我
640+求求了
我信了，三连了
安徽文科生518喜提大专
祝我好运
可恶啊，白嫖失败
我考完了
已三连 领取好运 
三连了
已三连
555
可恶
已经查了，准备复习
上岸上岸！！
拜托了！
白嫖失败
高分！！
已三连
借您吉言
祝我们都高分！
祝我高分
借大家吉言
山东的怕怕的
白嫖失败
理科重本521
"已三连,希望好运"
承你吉言
为什么没有中考版啊啊啊啊
没看答案真实
压根没发答案！
好耶
太真实了
马上赞
借你吉言~
借您吉言
查分必高20+~
借您吉言
高分
三连了，考不好找你
借您吉言
反转反转再反转
后天上个520拜托了
信了信了   借您吉言啊啊啊
太真实了
借您吉言
可恶，骗我三连了
已三连
高分高分！
重庆根本没有答案
考砸回来刀了你
明天祝我600+
黑龙江没出
借您吉言
已三连
真没看过
真实
分数不高砸了你
好耶！
祝大家高分
借你吉言！
后天
不，福建连真题都没有
三连了，求好运
哈哈哈，太真实了
借你吉言啦
祝大家都拿高分
580借你吉言
我们广东历史缩招
借你吉言，三连奉上
已三连
谢谢谢谢
三连了
对
三连了
还有两个小时
安徽的绝望了
是我了
江西559文科一本线。。。
今年就没答案
对希望我们都能考上
这，不给三连真的
三连，祝我好运
安徽：那我走？？
祝我高分
祝各位好运
已三连
上岸!
已三连
我给我妹妹三连考不上我就刀了你
果断三连！！！！
回头来看扩招真是害人
真实
大家高分
后天！
借您吉言
借你吉言！
今年理科才480
出了出了美术生590
借你吉言！
说错了，580
借你吉言！
三连了
借你吉言，
后天查分！
出分了耶
白嫖失败
来跟我一起大声说：河～～南～～～
无法白嫖 借你吉言
借您吉言
浙江也没有
哈哈哈哈哈哈
我必过线！！！冲！
祝我过线！！
白嫖失败
求好运
我下下届
借您吉言
三连了，还有不到两个小时，考砸刀了你
祝好专！祝好专！祝好专！祝好专！
借你吉吉
借你吉言，已三连
借您吉言
肯定考不好了，慌得一批
三连了
压根没发答案哈哈
果断三连
并没有忘干净
白嫖失败
真实
已三连
领取好运
三连了
你币有了
已经三连 祝我好运
后天
已三连
一会就查分慌张啊~
好活
已三连
借您吉言
查完分表示今年安徽实在太卷了
冲这句话就点赞了
借您吉言
白嫖失败
祝我过一本，进入好大学
剃刀党亚瑟搞事？
马上三连求求了让我顺利上本科
已上岸
三连了三连了
北大！
白嫖失败
高分拜托！！
后天希望有惊喜
广东考生:后天
下下届是我们
借您吉言
三连了，救救孩子吧
已三连
已三连
祝我们都高分
真实
祝我高分
祝我高分
祝我高分
后天
山东还没出
祝我高分
祝我考好
高分！！
明天明天求求了
领取好运！
哈哈哈哈哈哈哈真实
最好是，已三连
518分喜提大专
哈哈哈哈哈哈哈
g给三连，你赢了你
   浙      江   
保佑我考500分。。
借您吉言
祝我高考成绩必胜
借您吉言
高分
哈哈哈哈哈哈哈哈哈哈或或或
已三连
三连了
整个陕西省文科北大收两个
安徽文科哭了，不仅分数线高，连高校招生人数都减了
哈哈
三连了
三连啦
嘿嘿嘿，一个小时以前就查了分
高分，xdm，保佑
请收下我的膝盖
祝自己高分！
许愿高分
冲啊，必然nb
借你吉言！
:)今年更高，吐了
已三连
借您吉言
安徽文科生：请打开麦克风交流
上岸！！！！
借您吉言！
祝我600！
不传谣不信谣
借您吉言
已三连
借你吉言，你币有了
安徽文史560
已三连 分数不高回来找你算账
哈哈哈哈哈哈一模一样
后天
广西文科真高
高一本线175分，谢谢这三年的辛苦
明晚明晚！
耶耶耶耶耶耶耶耶耶耶耶耶耶耶
白嫖失败
保佑985！
借您吉言
祝大家高分
三连保佑！
三连了
已三连
哈哈哈哈哈哈哈
直接三连
白嫖失败，借你吉言
祝我高分
借您吉言
压根没有答案
图个吉利
加油
好运好运好运好运好运好运
大学见uu们明天查分480！！！！！！
入职顺利！
白嫖失败，借你吉言
炸了，刀你
辽宁人已经查完了
领取好运了
录取吧求求了
上二本求求了
C
已三连
如果不是系统限制我一定给你来个10连
三连了
领取好运
压根没出答案～～～
祝我高分！
已三连
福建压根没答案
祝我高分！
你币有了
借你吉言
已经开始紧张了
白嫖失败
三连了
借您吉言
广东
已三连
四川文科比去年高
真实
三连了，借你吉言
三连了，借你吉言
压根没有标准答案
绝了
借你吉言球球了
借你吉言芜湖
好耶
借您吉言
领取好运
