第一个弹幕
前
5:12
来了来了
成为自己的勇者
彩！
哇 赞啊
好看
中华
再来一遍
"没错,说的就是我们的家,14亿中华儿女的家/"
5.12 祖国不会忘记
这里指抗洪救灾！！！！
风华正茂！
泪目了家人们
汶川地震14时28分，和这里差不多
前排前排！
我们幸福并感恩着！！！
我也是种花小镇的一份子
做的太棒了！
nice
国际歌！
还有自古以来的各种洪涝
人民的英雄，英雄的人民
21分钟 热乎
这里好美啊啊啊啊
这就是，新华社的质量！
国际歌
彩！
我们联合！
热乎的
骄傲
感动
我说 要有光
种花 中华
国际歌！
98洪水，08地震
可爱的中华
非常有教育意义
汶川
我骄傲，我是个中国人！
此生无悔入中华
光是信仰啊
红领巾
风华正茂
太棒了！
6
98抗洪
08抗震
20抗疫
出个电影吧 好喜欢动画呀
抗洪，地震救援
我们的祖国是花园 花园的花朵真鲜艳
国际歌！
ヾ(✿ﾟ▽ﾟ)ノ
抗疫
可爱的中华
动画做的很好
好好看呀
泪泪
你相信光吗
无悔入中华
生生愿在中华家
《小镇》
我们的祖国是花园 花园的花朵真鲜艳
这个厉害了
做的好好
你币有了呀
原来种花就是中华
人老就是泪点低
好棒
可爱
樱花
好看
好美
满腔的热血已经沸腾
bgm听哭我了
OHhhhhhhhhhh！
谢谢，所有人
兔子们节日快乐呀
少年应有的模样
泪目
泪目
没有生而无畏的英雄  只有选择勇敢的凡人
超级赞！！！
我爱种花 我爱中华！
我爱中华！
前
好耶好耶
三连了
我爱中国
伟大出自平凡，英雄来自人民
类目
可爱的中华！
好耶
是五十六个民族五十六枝花吗
突然想哭是怎么回事
好想哭
我留着这币有什么用
有光啊
再来亿遍
此生无悔入华夏
荣幸之至，生在中华
爱了
棒！
此生无悔入华夏
自强不息
比星空更远
我们幸福并感恩着
泪目
已三连
听到这可爱的声音，眼睛里莫名充满了泪花
nb
我们感恩并继续前行！
直接泪目
英雄的人民站起来了
心里有光
我太荣幸啦
国际歌起！
此生无悔入华夏
凝聚力量，人心
红领巾
中华
这真是中国审美好漂亮
好棒！
再来亿遍
这里从不缺少勇者
泪目
好耶
这是病毒吗
抗疫
有点想哭
太赞
好美
我还以为是游戏宣传片
赞
喜欢喜欢
泪目
可爱的中华！
好喜欢这个故事！！
国际歌
此生无悔入华夏，生生愿在中华家！
5：12
那兔！
此生无悔入华夏，来世还做中国人
愿祖国繁荣昌盛！
传承
心中有光，那你，便是光！
风华正茂！
大片即视感
国际歌！！
国际歌
国际歌
汶川
泪目
看哭了
此生无悔入华夏
那兔的声音吗
把100周年快乐打在公屏上
100周年快乐！
100周年快乐
服装细节 好评！
唐山大地震 汶川大地震……
星辰大海
再来亿遍
种花
中国总是被他们当中最勇敢的那些人保护的很好。
鸡蛋花吗刚刚
汶川大地震
国际歌
国际歌
国际歌
英雄来自人民
以凡人之躯比肩神明
好美，愿可爱的中华繁荣昌盛！
风华正茂
画风好可
泪目
过分了
111
太棒了！
妈呀 想哭
我叫徐山
中华我的家，我的信仰
有一股奥日的感觉
此生无悔人华夏
心中有光，细节啊！！
泪目
好看
五十六个民族 五十六朵花
中     华
太好哭了
祝中国繁荣昌盛，中华之美芬芳馥郁
好耶
泪目
泪目了
1
泪目
太牛了
国际歌
赞，文宣越来越好了
太棒了
国社威武
国际歌一起来就受不了了
太美了
这个钟细节了
泪目了
这是莲花
好棒
爱我中华
眼眶已湿
再来一遍
好感动
我不相信光，我只相信中华
三连已给
08年汶川地震
国际歌yyds
泪目！
我爱中华
花好月圆
白嫖失败
泪目了
哇钟表时刻
这是萤火意志的灵树吗哈哈哈
热乎
泪目
就是差了一个关键的种蘑菇没有画出来
背景音乐：国际歌
看哭了
节日快乐
汶川抗震
在一起 就可以！
我爱种花，爱我中华
红色！
此生无悔入华夏！！！
再来亿遍
开头见～
衣服越看越像光遇
泪目
泪目了泪目了
ccccccccc
激动的泪目了
泪目
国际歌
此生无悔入华夏，来世还是中国人！
这里真的哭了
听到国际歌，泪目。
赞
不惧挑战，迎难而上，中华民族在奋斗中前进！
三连在看
抗疫
好高清
为什么这么好哭
此生无悔入华夏
好可爱啊这个画风
好赞耶
5.12
我们的目标是星辰大海
这就是中华！
寒毛耸立
火钳刘明
国际歌！
我也是！！！
生日快乐
