首评
我第一吗？
麦粒，我滴超人！
背景乐配的太赞了
ooooo
抱抱不哭
牛逼！
来来
呜呜呜，我的胡桃
卧槽，这质量
身体素质刚刚的
又要开卷了吗
桃桃好棍法
太太我的超人！
原魔高光时刻
这个不是萍姥姥哦
画质又提升了，好耶！
桃子可爱捏
可怕的进度条
泪目
六命锁血
这是史莱姆吗
无憾而终岂是不幸？
湿身胡桃
是火本（误）
太流畅了吧！！！
无敌！
犯规了
可以用边上的火炬挂火打雷史莱姆
胡桃老婆！！
萍姥姥我的神
太厉害了
前方打戏高能
萍姥姥？
帅死了
泪目了
恭喜你发现宝藏！
几秒不见S
好耶
不！！！qq人！
卧槽，太强了
声优太顶了
萍姥姥
我至今忘不了当时进入这一处的震撼
要走好远啊
长得像只是因为原神里面老人的模型基本就是这样吧
无敌
太厉害了
做的好呀
卧槽七分钟
做得很好！！！
wow！
泛式.jpg
太强了
小小预言：建议屏蔽“刀”
開頭驚豔
一般路过-未来骑士-艾琳
配音絕了
这个哭腔太棒了
往生堂历代堂主活的坦坦荡荡，不会有遗憾在生死边界徘徊
配音也是演技
鬼打墙呢(doge
住手啊这根本不是二创
火钳刘明
虽然很好，但在水里张嘴真的没事吗？
我也哭了
牛蛙
这做的太厉害了
好棒啊
有刀
这是胡桃传说任务那个本
这时候还没有神之眼
解释一下，胡桃呆的这个地方停留的都是对世间有遗憾有留恋的灵魂，胡桃爷爷没有遗憾，所以不会在这儿
《逐火之蛾》
呜呜呜萍姥姥
前面的，只要你的嘴出气水流进不来
艾琳酱我是你的粉丝啊
胡桃对生死应该有自己的看法，不一定是很悲伤的
牛蛙牛蛙
坦率地活坦率的走
故事来源：胡桃背景故事
无敌了这质感
这几个分镜暗示时间流逝
蝶引来生
桃桃可爱
护摩之杖：那时候，我还只是一根烧火棍
为什么不从tp点传送
美少女的事你少管（狗头）
进度条有点儿东西
恭喜你发现宝藏
tnnd给我火啊！为什么不火！！！！
太卷啦！
卷啊
黑樱枪狂怒
生于死者，往生。死于生者，往死。
胡桃传说任务秘境？
太强了！
never let you go
这个不是萍姥姥啊
太强了
tp点只有旅行者知道怎么用
史莱姆有点强啊
你管这叫二创？？
护摩确实是棍
传送是旅行者专属
鬼打墙
关于我跟着哭这件事
是神之眼故事
飘落的叶子都是鹅掌楸唉~
卷，实在是太卷了
卧槽
我好不容易酝酿的情绪一下子没了啊喂
胡桃老婆胡桃老婆
萍姥姥！！呜呜呜
高武世界的人身体素质强正常
堂主看我了！堂主心里有我！（
泪目
太强了
我永远喜欢胡桃，麦粒太太你是我的神
好唉
不咽下去就行
无妄坡
胡桃老婆（飞扑）！！！
离谱的质量
弹幕，满上
好耶！是胡桃！
黄金树归树（不是）
有人出金了（bushi）
抱抱胡桃
笑死，压力就没离开过官方
豁，这朝霞
你三连有了『doge』
火，tnnd为什么不火
二创，指创死官方
这身体素质
我的追番键呢？
愣着干嘛？点赞啊，投币呀！！
凯瑟琳不是也会吗
不用画背景真是太好了
冷知识：条未过半
配得好好
cv细节处理得好棒
好漂亮！！！！！
逐火之蛾（bushi）
画面开始离谱，大大厉害
官方，你看他
胡桃学过棍法
往事堂秘传枪法
这就离谱
厉害
注意这时胡桃还没有神之眼
打戏超厉害
太强了
你告诉我这玩意儿叫二创？！！！
堂主
槽卧
那个是凯瑟琳开的玩笑，并不是真的会传送
二创？创死官方！
护摩就是胡桃家的祖传烧火棍
不要再让我看到破碎的平台了
这里还没有神之眼，直接开打也太强了吧
吊打某些动画
6666
这个不是萍姥姥啊，人家都没死怎么会出现在这里
是个活人啊，可能就是萍姥姥
为满弹幕努力！
坦率
细节超载☞
火钳刘明
太强了！这是二创吗？！！太强了！
都给我哭
为啥莺儿也在这？
老婆
无敌
！！！！
因为只有这一种老妪模型，你也找不出别的了
啊啊啊啊啊
仙人也是活的呀，不会来到这里呀
还是哭了
记得在这里除了有老的，还有年轻的，小的
细节，此时胡桃还没有神之眼，无法使用元素力
不是
萍姥姥是仙人为什么不可以进入生死交界处？
仙人肯定也有办法来这啊，璃月这边不是玩空间最厉害的嘛
tnnd这都不火，还有什么才能火
老婆好美
太强了
抱抱桃桃
绝！！！二创真卷
NPC不都是一样的建模嘛
钟离在后边看着
这么强的吗！
这里如果把头发扎起来就更严谨了 才 才不是想看老婆扎头发的样子呢 
原神建模路人脸都一样，有啥办法
是的
敢不敢跟我比划比划
不是水史莱姆我不赞同
刚刚的是回忆吧，这是现实
出行怎么不带上护摩之杖啊
这就是二创吗？创死我了！
现在的人才啊，技术力加点太厉害了
突然想起仙剑3bgm落入凡尘
未来的胡桃
敢打我老婆，我这就上号杀几个史莱姆去
这动画绝
表情很细
什么萍姥姥？这是原神著名女演员
可轻策庄的若心婆婆也是这样的
胡桃吃桃
我滴天呐！
满级史莱姆
璃月港下雨啦！！！
胡桃老婆
爷的搅史棍呢？
这声音，绝了，泪目了
提前周年庆了
胡说，是我老婆（
是胡桃神之眼的故事
萍姥也合理，香菱胡桃师傅
为什么打戏的甩手一股火影味
这一天她拿到了属于自己的神之眼
这边压力给到原神官方
？？
这配音太牛了
要是每个角色的背景故事都能出一集动画就好了
经典鬼打墙呢
胡桃用的棍法
md上号了
这时候还没神之眼只能物理hhhhhh
雷史莱姆：这我能吹一辈子
这配音也太像了吧！！！
你管这叫二创？！
萍姥姥？？？？
背景故事里只是说了是一个老婆婆，这个老人大概率就是萍姥姥
yysy这是另一个老婆婆的亡魂（肯定不是萍姥姥就对了）
莺儿，我这就下来陪你
绕了5圈，谢谢堂主
按照胡桃的神之眼故事来说 这哥老奶奶应该是火神
太强了
史莱姆殴打小胡桃
是不是滤镜加多了，感觉有点糊
火 给我火
不对吧，我记得祖父死了胡桃是笑着的？因为什么不能哭来着
好好看作品吧，不是死了人就算刀的
棒球棍
我要上号看我的胡桃
