第一！先收藏再看
一年一度
一口几个林志炫啊
！！好听啊
刚来就有了，好幸福！
热乎播放
羡慕，有多少学校今年毕业典礼都没有
属实玩儿明白了
三分钟前
4分钟，nice
21毕业生报个到
我姐姐也在这个学校诶
火钳刘明
刚开始像原神登录音乐
声乐系的吧
好好听
高能预警
哇
青大排面！！！
好漂亮
准研究生前来观礼
毕业典礼天花板ヾ ^_^♪
右面那个黑皮哥哥我好爱
火钳刘明
有排面
111
666
666
666
咋让我的学校看见这个视频
这是啥歌
这声线爱了
三分钟前
后面白色衣服小姐姐，爱了爱了
好哇塞啊
声音好听
早来早享受
好听，加油吧，同学们，奋斗向前
专业
07届毕业生实名羡慕
好漂亮
摄像的是学弟学妹吗
应该一男一女 比较好
野生字幕菌在哪里呀
火钳刘明 
看的太认真，来不及发弹幕
毕业演唱会
lihai
太好听了吧
太棒了！
诶哟bu不错哟
看呆了
在现场
好多人在看 13：14
园长（bushi
后面那位
霸气
终于在现场！感恩青大！！
这是仙女吗？
弹幕被我承包了，第一第一
哇
词改成青春了
哇！
这歌叫啥名字
和声就离谱了
研究生，歪日，学姐好漂亮！
呜呜呜
专业
你曾是少年
都在认真听歌
去年的那个帅哥
Darling在看没
认真听歌，看漂亮学姐
经典雨刷器
前面的什么叫也，明明就是帅气！
启奏：好听极了
666
牛哇牛！
李健
好好看
核能预警
呜呜呜，我的青春
来了来了呜呜呜呜呜
声音好好听
这种毕业典礼我怕是会喊破喉咙
声音和长相都好像园长hhh
果然每年青大毕业典礼都不会让我失望
还热乎
第一第一
20伯个小老板
好看
青岛音乐学院
认真听歌
我在下面挥手
小哥哥带的啥串啊
戴眼镜的小姐姐很棒
男生笑得好甜
这音色真好
唱的真好啊
安中人悄悄来报个到
she——你曾是少年
好听
河南财政金融学院贺电
好爱这个姐姐的声音
属实太羡慕了
羞涩地笑了
武汉科技大学打卡
慕了慕了
好感动啊，仿佛听到SHE的和声，有点想哭
后面姐姐好漂亮！！！
哇
厉害
每年假装一次青岛大学毕业生
想毕业
明德博学守正出奇
为什么没有弹幕
声音都好好听！
工学的集美声音好好
博士要考到青岛大学去
好家伙，又看你们一次毕业
好好听啊和声
20年毕业的遗憾太多了
我今年毕业没有毕业典礼呜呜
好像林雨墨
如果不坚持和咸鱼有什么区别
好好听啊！！！！！！！！！
那个男生好帅啊
感觉有双翅膀   能飞越高山和海洋
后面小姐姐好看
承包空屏
杰哥杰哥
青岛大学才女这么多吗
许多年前   你曾是个朴素的少年
哇
我永远爱青大的毕业典礼
好听
爱上一个人就不怕付出自己一生
这个袍子下次就不要穿了 T恤校服就好
从B站知道的大学
氛围感满满
11级校友发来祝福
请问蓝色是硕士嘛?
后面小姐姐好好看
爱情公寓的雨墨是你吗
好听好听
青岛大学的毕业典礼永远不会失望
相信爱会永恒   相信每个陌生人
社团的歌
笑死我了，有个小姐姐好漂亮，就呆呆的挥手
蛇团的歌
在现场！
牛啊
开口惊艳
工大
青岛人骄傲！
雨墨是你吗
当我和世界初相见  当我曾经是少年
小凡美美哒
相如~相如
才发吧
别说话！好好听！
好好听！
西交发来贺电
好爱这个妹妹的声音
青春的气息呀
哇塞！
我一声龙啸凌云志
这里这里是全曲最好听的地方
黑色本科蓝色硕士红色博士
？？
学士服
开口跪
400+了
这段和声太好听了呜呜呜呜
美女姐姐们
好汀!!!
是的呢
了不起的人！！
青大青大
刚来就有！简直不要太幸福！！！
一年一度青岛大学打卡时间
好好听
蓝色是硕士红色是博士黑色是本科
好多雨刷器
满满的青春
是的
是
闪闪发光的自信啊
喜欢她这段
是
好基友一起走
排面！！！！！！！
我感觉都好了不起
青大从不缺漂亮姐姐
来看看东南大学120校庆！！也很好哦
哇！好厉害！
天差地别的毕业典礼
好想念演讲会哦，羡慕你们开了自己的演唱会
好像邓园长啊啊啊啊啊啊!
这姐姐真的不错
假装我也毕业了
这一切还得从《起风了》开始说起
