等我中考考完了我就把我收藏夹里的这些东西全做出来！
BGM:追寻你
去我的收藏夹里吃灰吧。
舒肤佳（幻视）
我寻思我也没眨眼呐
？？？？？？
他试图教会我
？这能不会
在我收藏夹里吃灰吧！
收藏从未停止，实践从未开始
收藏夹里吃灰
止步于此
我寻思我也没眨眼啊 
收藏从未停止
我错过了哪一步
进收藏夹吃灰吧
这个我做过，没成功，不知道哪里出了问题
挺有意思的
又不是多难的东西 玩梗适度……
我好像会了
他在试图教会我
传说中内卷
厉害了
还算简单 
这歌词口齿不清
实践从未开始
可怕的收藏量
我回来但是又没完全会
看到胶水的那一刻我心里就在想，算了吧
收藏从未停止，实践从未开始
手残还是nc
？？？
求bgm，有了踢我
啊
？
进收藏吃灰
已经不会了
那个斜线比例是多少啊
收藏从未停止，实践从未开始
蹂躏这张纸（doge）
我吃菌子了？
挺简单的
吃灰吧
这收藏量
简简单单
她，会魔法吧
藏灰。
？？？？？？？？？
？？？
好美的歌声啊
好简单！学会了！！
比点赞还高的收藏
？？？
好的，进收藏吃灰吧
止步于此
明年高考题！
bgm：《找寻你》
差点睡着
蹂躏这张纸
大家准备好后面要开始施法了啊啊啊！
收藏惊人
惊人的收藏量
五等分
明年高考题，谢谢！
雷天使（幻视）
我真没想到，我从小玩的东西现在居然火了。
跟结婚那个礼花类似的结构
懂了，下个学期立体构成就靠你敷衍了
这么简单？
我会了
眼睛：我学会了，手：我终于会了，大脑：不你们都不想做
发生什么事儿
可怕的收藏量
4.1万点赞，5.2万收藏，这都是什么人啊
？
1
没什么，我居然会做
?
赞藏对比
收藏大于点赞+1
寄
我想做
看完了，请问up同款手哪里有？
这收藏亮
？为什么突然加速
惊人的收藏量和惊人的观看量
眼睛：我会了
什TM舒肤佳呀
曲对币有
？？？没看清
这个我应该能学会，，，吧，，，
收藏从未停止，动手从未开始
我觉得我学会了
突然加速 这么快怕我学会吗 
幻术
已经晕了
今天力量哥又打哪套卡组？
好麻烦算了吧
学生党上课把玩玩意
《内卷》
我试图学会
我晕了
怕我学会是吧
收藏从未停止，实践从未开始
欢迎来到收藏从未停止，实践从未开始系列
脑子说会了
很简单吧
卷！都可以卷！
止步于此
