我的天太神了我的妈咪
良作无人
这一幕好绝
救命太牛了
年轻姥爷好帅
好会画..画风好看又不和原画脱离
救命帅死我了
好绝好绝，就好像邪恶莫蒂让主角莫蒂看清瑞克是什么样的人
哇！好帅
好看，质量好高
好牛
有生之年
等火了叫我
今夕是何年？！！！！
门的那边永远不会有外婆
火钳刘明
？良作无人
火了告诉我
绝
强
kksk！
火钳刘明
这还实验性质…！！！！！！！！！大大这就够好了！
快给我火啊！！
好帅啊
双厨狂喜！！！
好绝
好厉害！！！！
好强
大家一定一定要点赞啊啊啊
现在画面上只有一个人了
瑞克和莫蒂有您了不起！！
GA!!!
太牛了
拼图
太棒了！超喜欢
能火，能火
好厉害！超厉害的！
恭喜你发现宝藏
牛
等火了叫我
能者先赏
太牛了 三连了
这里也太好看了
火钳刘明！
火钳刘明！！！
恭喜你发现宝藏
现在关注就是老粉了。
黑化盖蒂
火钳刘明
啊啊啊啊啊啊啊啊啊好帅
《实验性质》
吹爆
火钳刘明
良作无人 X 能者先赏 ✓
质量好高
现在关注以后就是老粉了
恭喜你发现宝藏
邪恶莫蒂！
刀我
火钳刘明！
太强啦
这他妈是手书？？？？！！
好帅！好有节奏感
我的妈，好痛啊
卡密！你！是我的神！
双厨狂喜！！！
致敬2001太空漫游！！！
这一段我太喜欢了，拼图粘在全家福上！
良作无人系列
My love left to be a rock and roll star      我的爱人离开我去当摇滚巨星
He told me please don't worry      他告诉我 不必担心
Wise little smile that spoke so safely      他脸上明智的微笑让我安心
Six kids stuck in a bedsit      一间卧室的六个孩子挤在那个地方
To sunswept poolside riches      有机会成为泳池边晒着日光浴的富翁
Pink feather coats and jumbo jewellery      穿戴着范思哲的粉羽外套与大颗珠宝
Gonna be a hoop phenomenon      他要成为篮球巨星了
曲对币有
He's gonna be Hakeem Olajuwan      他将成为奥拉朱旺
He said over the payphone      他在公共电话里对我说道
I try to keep my cool but      我努力保持冷静但是
Bye bye baby blue     再见了我那有着婴儿般蓝色眼睛的爱人
Caught up in a rush it's killing you      将你卷入的涌动激情会取走你的性命
Screaming at the sun you blow into      朝着你突然闯入的烈日尖声喊叫吧
Curled up in a grip when we were us      当我们仍未分开时我们蜷缩紧紧相拥
Fingers in a fist like you might run      你的拳头如同你准备逃跑般紧绷
I settle for a ghost I never knew      我爱上了一个我从未了解的幽灵
Super paradise I held on to      曾紧握着心中最美好的天堂
But I settle for a ghost      但我却爱上了一个幽灵
（翻译来自网易云）
太牛了。。。，，。。！！！
拼图 太绝了
绝了！！！
卧槽
好哇！！
感谢蓝色字幕组
太强了！！！
画风越来越离谱
太绝了！
太棒了吧！
这也是我的高中回忆​
我擦，我直接先赞
给我火！
Dad.
Dad.
Dad.
Dad.
爱了
啊这
神仙
BGM:The Other Side Of Paradise 
芜湖，这个灵感是来自于漫画支线的，也就是姥爷还在美国航天局的时候吗
三连！都要三连！
今夕是何年？！！！！
黑莫
卡密!
绝了
直接上去
是我初中三年的回忆啊
曲对币有
求BGM
莫蒂的自信就是自大，而自大的莫蒂会是所有人的麻烦。
火钳刘明
太绝了
太强了！！
币下次丕定给
币下次丕定给
给你三连又何妨
你初中经历了什么
我去，神啊
看的鸡皮疙瘩起来了 好绝
谢谢宁
啊啊啊啊啊啊啊啊啊老师好牛
不希望他火又希望他火
妈咪好牛
火钳刘明
第6577粉
你怎么能把这爷孙俩画的这么好看
曲对币有
强！！！！
哦哦哦哦哦！！！！！！
火钳刘明
三连了
我去，GA！
见姥爷直接三连
火钳刘明
感谢底层字幕君
你怎么还不三连
上热门了
绝了
失去你，我的余生都是个荒诞而放肆的酒鬼了
rick rick rick
火钳刘明
这音乐我熟
我天好绝
姥姥太好看啦
创建一个宇宙去融入一个不存在的家庭
为啥没有BP和squancher？？
再看亿遍
姥爷好帅
高中中午大屏幕大家一起边吃饭边看很下饭
火了叫我
曲名是啥快快
必火
这首歌！！！
刀我
应该更好
太强了
第一幕就杀我！！！
我靠
厉害
吼
第一次觉得morty帅
呜呜呜额
Summer巨帅！
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
恭喜你发现宝藏
提前预警：此别ky，谢谢
哇哇哇哇哇！！！
能者先赏
超爱邪恶莫蒂
呜呜呜快带我走
有啥可ky的……？
恭喜你发现了宝藏。
evil组！！
今夕是何年？
7018粉，露个脸
谁能拒绝他向你伸出来的手！！
这次一定，下次不一定
求bgm
进来就必须留个币才能走
双厨狂喜！！！！！
好丝滑
姥爷好帅！！！
恭喜你发现了宝藏
今夕是何年？
giao
好棒啊
裤
邪恶莫蒂的眼变成红的了！
这个summer好好看qwq
姥爷带我走！！！
双厨狂喜
太绝了啊啊啊啊
大佬
先三连后看，人生灿烂
火钳刘明
那场爆炸摧毁了所有
牛
1.25倍超赞的
恭喜你发现宝藏
恭喜你发现宝
rm！！！
kksk
太牛了太牛了
好绝
再见我婴儿蓝眼眸的爱人
太棒了
恭喜你发现了宝藏
火钳刘明
手机端热门第一个了！
好帅啊姥爷
莫蒂也好酷儿
看我都看到了什么
绝对能火！！
邪恶莫蒂的瑞克其实只是一个傀儡 
下次一定
火钳刘明
莫迪拿着瑞克的一块拼图
细节RM城只有右边和上边被捏碎了，左边完全没碎
二刷，太厉害了
GA呜呜呜！！双厨狂喜
看看我刷到了什么好东西
进来的都给我留两个币再走
7579粉丝来报道
kksk
lidlid
一个字：绝
谢谢字幕君
我超喜欢邪恶莫蒂的那一集
给我火
summer和姥爷最像
“the ice-cream gonna melt…”
三连再看，人生灿烂
！！！！！！！！！！
最喜欢的歌和最喜欢的动漫！！
啊啊啊啊啊
！！！！
姥爷！
？好神奇
我就喜欢杂的
绝对能火！！
我去，帅炸了
刀啊
求BGM
为什么加载不出来
WC
火钳刘明！！！
给我火！！！
好强！！！！
姥爷怎么不流口水
绝绝绝
火钳刘明
不！！！
这流畅度太绝了
等等别走
火钳刘明
火钳刘明
太棒了，RAM有您了不起
丝滑
呼刚刚手机的铃声跟背景音乐卡上点了好合适哇
真的牛逼
火了我就是老粉！！！
火钳刘明
绣湖是吧
可以拿来做头像不 三连啦
太强了靠！！！！
nbnbnb
这里是暗示外婆被炸死了对吗？
挖槽！！！！
太强了啊啊啊啊 太太你！是！我！的！神！！！
父女相遇
哇哇哇
bgm！！！！
我一直可以发现宝藏的
太绝了太绝了！！！！
每个画面都能当壁纸啊啊啊啊啊
请速速画完！！！太太是肾！！！
才华
炒冷饭乐队！！！
牵强的融入并不能永存，就像后补上去的衣服最终会全部坏掉
牵强的融入并不能永存，就像后补上去的衣服最终会全部坏掉
邪恶莫迪何尝不是莫迪的另一种人格
再来亿遍
我焯！
Bye Bye Baby Blue
啊
太意识流了
火钳刘明
这里写rick'n roll star更好
还是我，这里poolside rickes
果然是邪恶莫迪
太爱了呀
顾斌斌你TM再别刷B站了
不可思议！！！！
假发琦玉？
牛逼牛逼
火了记得赞我
哇塞
每一帧都是壁纸
太帅了！！
GA排面！！！
太强了
首页来的
隔代亲
你发现宝藏的能力一直可以
双厨狂喜
拼图形式的姥爷的照片被扔了
好细节，照片被扔了
我的鸡皮疙瘩
感谢蓝色字幕菌
火钳刘明
ga！
啊啊classic animals
最喜欢的动漫
因为姥爷很幸福
我靠双厨狂喜
这个贝斯让我捂了
这个贝斯让我捂了
、、
这不是手书，是个神作！！！
好牛。。。
火钳刘明
恭喜你发现宝藏
火钳刘明
曲对币投
喜欢！
7年，碎心
爱！
哇哇哇，现在居然还有人做
？
wc
一定会火
我靠 真的是2022年
瑞克好像我课代表
BGM:The Other Side Of Paradise
这个瑞克画得好帅
帅到 爆炸
我也是初中三年看完的，好怀念
你这俩人怎么日里日气的
再来亿遍
我靠，竟然用的是这首歌
EM呜呜呜呜呜
瑞克最伟大的发明是他的女儿
come with me
曲对币给
太帅了
有生之年
邪恶莫蒂是真帅啊
像玛奇玛唉
大木博士和小智妈妈
莫蒂不可能这么帅doge
三连拿去 别说了
画画，快画！！！！！！！！
wubudabululubu！！（不是原句）
但却也是那场曝炸创造了所有
说一声瑞克不一定是，莫蒂家族的也许是为了完成自己的计划，加入的莫蒂一家
再见我婴儿蓝眼眸的爱人
宝宝蓝
summer有胸？？？？？？？？（bushi）
神
绝了
进度条不简单
感谢蓝色字幕
再来亿遍！
融化的冰淇淋呜呜呜
他也是人，有血有肉的人
他俩要是长这样，我原地结婚好吧
最后两个币给你了。
今夕是何年
我好像被剧透了
于是瑞克闭上了双眼
姥爷太帅了
再见了我那有着婴儿般蓝色眼睛的爱人
硬币是什么，我不知道
the other side of paradise
好酷
双厨狂喜
头皮发麻
啊啊啊啊啊好帅啊啊
太强了
姥姥好漂亮
这两天看了好多次了
啊啊啊啊啊啊啊啊姥爷我爱你！
啊啊啊好好看啊
啊啊啊啊好看死了我的天啊！！
我咋没看见看懂，
这种画风我喜欢
这个视频火了记得赞我！
首页通知书
首页通知书
首页通知书
首页通知书
首页通知书
首页通知书
首页通知书
首页通知书
