yeah第一第一
1
好耶！
哈哈哈哈哈哈哈哈哈哈哈哈
好耶！！！
博舒最帅～
哈哈哈哈哈
看到这个动作的时候下意识模仿了！
牛逼！
好帅
妈呀牛逼
太nb了
哇，第一次这么早
龟龟，众神归位
啊啊啊啊啊爱死博舒了
开始教了?
哇…撒…
谁家高压锅啊，响老半天了（恼）
我超，老婆！
天呐太厉害了
您
稍微。。。
稍微
喜欢喜欢
hhhhhh
哇哦～～～～～
绘汤师！！
这也太厉害了吧！
哈哈，好活
开始魔法！！
这是在干啥
？？？？？
居然出了sr
哇！！！太厉害了
你真的想教会大家？
好！！！！复！！！！杂！！！！！！
《有些》
主题曲！！！！！！！！！
发质真好
我将以高达姿态出击
禁止在麻瓜面前使用魔法！
VR系up主（
好牛啊妈妈呀
要大蛇，得先在地上凿八个洞，再灌满酒
美术生好卷啊！
博舒！！！牛逼！！！！！
太牛了！！！
正片开始
救命 好强
yys打钱！
开始了
哈哈哈哈哈哈
哈哈哈哈哈哈
太强了我的天
邻局都被吓跑了吗
博舒你好非
想想美术馆
tql
也不必如此牛批
想想美术馆
博舒好牛
卡拉OK
这是夏磊老师配音的吗！！
众神像
酒吧
绝了绝了绝了
牛！逼！
展览
博舒赛高！
牛逼牛逼
博舒这小头衔妈呀
真的太强了
绘汤师打钱！！
我的天啊…………cool！
《妈妈在拖地》
老徐：我骂我自己
您！
看麻了
牛
博舒好帅啊！
牛啊！
這是一個抽不到大蛇的非酋的進擊？？？？同樣非酋抽不出SP的我....哭了
您
阴阳师玩家送上三连
您
等下，我先暂停给个三连。
yys！
yys打钱！！！！！！！
牛哇
哇哇哇，好帅呀
看到删去草稿那里我好心痛
牛逼
后撤步！777
比如：啤酒馆演讲
您
好强
果然和我玩的是一个游戏啊，放心了
正片开始
爹咪，，，，
卧槽
太厉害了
上头了上头了
亿些细节
太卷了
太强了。。。。。
太强了
亿些细节
让我崇拜你～
时常会忘记这是手画3D
你不许欺负他！
哈哈哈哈哈
哈哈哈哈哈
强炸了
牛逼
好强
我听着像甜甜老师的声音？
逐渐离谱了起来哈哈哈哈哈哈哈哈哈哈
不对不对
就摁卷
yys打钱！
靠！ 开始了
不要磕啊！
头发太优雅了
《稍微有些》
太牛了！
来了来了  切入主题
手上咋还有仨六啊
我能！（真全图梅之寒玩家）
卷王
卷！都可以卷
哥你太帅了
啊这
这个牌子晚上是不是还会亮
这不打钱说不过去了
666
太强了
禁止在麻瓜面前使用魔法！
哈哈哈哈哈哈哈
我也没抽到阎魔也没抽到
博舒太牛了
哇，第1次这么早。
nb
厉害
是夏磊老师配的
求网易游戏高薪聘博舒去当美工
暂停看艺考成绩
众神归位
牛逼！
太强了
博舒好厉害！
哈哈哈哈哈
我不行诶
我甚至试了一下，做不到
作品的第n次利用
哈哈哈哈哈
您
两小儿辩画
痒痒鼠诶
所以这是广告吧
woc
绝绝子
《稍 微》
这太强了……
一键三连了
他是不是想教我？
快跑
果然
我趣，都这么牛的吗
翔出老千
帅到我了
我都抽到了
耶高马尾！
网易何德何能？zen何德何能！？？？h
所以博舒是不是忘记了城堡的事
退！退！退！
我要这硬币有何用
《稍微》
梦幻联动！
币没了
博舒：“海豹叉出去！”
老婆厉害啊！！！
太牛了
哈哈哈哈
众神归位
？！！？？？！
艺人相轻（bushi
太神了
但我只是孤勇者小学生
夏磊啊啊啊
zen给博舒让位
众神归位
太牛了
你是我的神
是夏磊老师
阴阳师哈哈哈
?痒痒鼠
好强！
芽芽值得，zen不值得T^T
咩，阴阳师，双厨狂喜
这发质，酸了酸了
666666
优雅，太优雅了
埋他！！！！！！
发质好好
集齐九个能换玉藻前不亏[doge]
开始了！！！
活不下去了，可以去网易试试
这可不兴冲阿
恰
太牛了！！！！！
我痒痒鼠何德何能，给博舒跪了
博舒好牛！
66666
网易何德何能
恰
给老婆投币！
2D的我都画不出来。。。太强了博抒
也太帅了吧
这是3D啊！牛牛牛牛牛牛牛牛牛牛牛牛牛牛牛
啊啊啊啊啊啊
阴阳师打钱
厉害啊！
这马尾发质真好
讲解可以忽略，一句也听不懂
网易快给舒哥打钱
哈哈哈哈哈哈哈哈哈哈
这不会也是……
网易打钱！
我何德何能 能看到卢浮宫的作品
翔画了个翔
开始了
我已经晕了
我喜欢你啊啊啊啊
八岐大蛇
单马尾vr头盔挡害是不是可以扎双马尾
吸欧气！！
哈哈哈哈太真实了
可以可以
网易何德何能
真实
哈哈哈哈
稍微
大蛇丸吧这是
要素察觉
暂停看勾玉，好穷啊哈哈哈
生根发芽！
三百八十多抽才拿到大蛇我酸了
虽然但是哈尔的移动城堡呢我的舒
真好，肯定不晕车
生根发芽！
头皮发麻
太牛了！！！
网易打钱!
听得我尿急
不对劲！
稍微复杂
可恶！快把翔埋了！
我的天太牛了
粉红色小鼓风机
我听不到
为什么我就够不到
这游戏最近阴的很，骗氪买水军diss式神，想入坑的快跑（玩了三年的大冤种的警告
你也玩阴阳师？
？？？？！
万人血书博舒去当主美
太牛了
网易:你是不是玩不起？！
谁跟我一样，努力暂停看战绩后，膝盖烂了
太离谱了吧！！
？？？？？
阴阳师打钱
稍微复杂
您
真不愧是艺术家的团建～
博舒太有毅力了。。。
我做不到那个
开始0.5倍速观看
生根发芽吧
《稍微》《有些》
网易你何德何能
到处找跳过剧情的按钮（doge）
曹丕的文人相轻，刚考完文论DNA动了
此时，卷王觉醒了
《人类群星闪耀时》
芽芽好帅！
博舒真的是真正意义上的真真正正的卷王。
你是我的神！
嗯确信你就是清华第八，央美17。名副其实！
完全看不懂
打钱！
VR手办
太强了！
网易打钱
好卷啊
气球撒气
附议
博舒牛啊！
后朋克
博舒好帅
哈哈哈哈哈哈哈R
特地退回去看大家的頭銜哈哈哈哈哈
牛掰
太可爱了
一笔？
《學 生 代 表》
这不是大主持人吗
6个六！！！你出老千
投币了！！！
这个关节 太牛了
我要这币有何用
试了一下舌头抽筋了
Molchat Doma哈哈哈哈哈
不愧是卷王！
哈哈哈哈哈哈哈
doomer！！！
阴阳师！
画室老师：来听起来我给改一下
phhhhhhhhhhh
不对劲
事情变得不对劲了起来
卧槽
逆子给我出来打钱
要不是我在吃饭
nb！！！！！！！
啊这！！！
哈哈哈哈哈哈哈
你画画就画画解说什么？是想要教会我？
