NB
amd，yes
111
intel：完了我成小锐龙了
这么感人啊
AMD！YES！
谢谢你amd
可以买3A笔记本了
小嘴超了频
烫，烫嘴
高情商：亚健康，低情商：恶臭
YES
amd yes
黄舅舅是真黄世仁
AMD，YES！
小嘴超了频
《TDP》
AMD yes
AMD:你价格贵，你性能差
这是
盖了帽了。我的老baby
2分钟热乎的
干翻奸商英伟达
啊啊啊啊，你来晚了啊
来了！
两分钟，热乎
烫嘴。。。
你就是幼稚园杀手？
别念啦
全体起立
好家伙
AMD YES
火鸡杀疯了
yes
AMD yes
师傅别念啦
牛
鲨疯了
o！！！！！！！！！！！！
杀人诛心（干得漂亮）
等等党终胜
Amd最大的问题不是性能，而是产能
BGM起！！！
AMD yes！
AMD，Yes！！！！！！！！！！
没说3080的功率，有点不讲武德
ohhhhhhhh
amd yes!
wow！！
！！！！！！！！！！！！！！！！！！
AMD YES！
全体起立！
《  也  都  是  》
六个字母！两个符号！！
xe呢
yes
又是华缩
5分钟
五分钟！
腹泻式更新（dog）
杀人诛心
杀疯了
等下一代的光追上来，盖了帽了
AMDYES!
芜湖 起飞
哈啊哈哈哈哈啊哈哈
出拳没有章法，这怎么破
好家伙，我直接好家伙
还是vaga8.。。
好啊，垄断什么的最恶心了，a卡杀啊
ohhhhhh
当面ntr
万年不变的vega8
Yes 
草砸场子
背刺
真就杀人诛心啊
拳打英特尔，脚踢英伟达
这就有点拉了
什么叫专业！  这TM就叫专业
AMD：玩家们，请把你想说的那句话打在红色的公屏上，好吗？
懂了，下一台主机3A平台莫属了
腹泻式更新
A M D  Y E S ！
夫 目 前 犯
脚踢牙膏厂！拳打皮衣黄！
"AMD, Yes!"
瑞思拜
战未来！！！
热乎的
"杀人还要诛心,好可怕啊"
辛苦了
7分钟！
功耗低就是行
拳打英特尔，脚踢英伟达
这波 伤害极大，侮辱性更强
杀疯了
卧槽
热乎
那N卡可以两个一起开吗？
7分钟，热乎
"AMD,YES!"
